,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Jul,1985,0,1000.0,-16.0,,,,,,,,,
3,00Z,1,Jul,1985,3,850.0,1413.0,19.6,17.4,87.0,14.94,175.0,18.0,306.7,351.8,309.4
4,00Z,1,Jul,1985,4,700.0,3054.0,10.2,8.3,88.0,9.91,175.0,13.0,313.8,344.8,315.6
5,00Z,1,Jul,1985,5,500.0,5790.0,-2.9,-5.6,82.0,5.07,150.0,16.0,329.4,346.7,330.4
6,00Z,1,Jul,1985,6,400.0,7530.0,-11.1,-19.1,52.0,2.12,140.0,16.0,340.5,348.4,340.9
7,00Z,1,Jul,1985,7,300.0,9680.0,-25.3,-35.3,39.0,0.64,115.0,22.0,349.6,352.2,349.7
8,00Z,1,Jul,1985,8,250.0,10980.0,-34.7,-44.7,35.0,0.29,115.0,26.0,354.3,355.6,354.4
9,00Z,1,Jul,1985,9,200.0,12490.0,-49.7,,,,95.0,37.0,353.9,,353.9
11,00Z,2,Jul,1985,0,1000.0,-23.0,,,,,,,,,
14,00Z,2,Jul,1985,3,850.0,1402.0,19.4,18.1,92.0,15.63,160.0,14.0,306.4,353.6,309.3
15,00Z,2,Jul,1985,4,700.0,3059.0,12.4,10.3,87.0,11.37,160.0,12.0,316.2,352.0,318.3
16,00Z,2,Jul,1985,5,500.0,5820.0,0.6,-4.4,69.0,5.56,130.0,16.0,333.7,352.9,334.8
18,00Z,4,Jul,1985,0,1000.0,9.0,-26.1,,,,130.0,12.0,247.1,,247.1
20,00Z,4,Jul,1985,2,850.0,1426.0,18.4,17.7,96.0,15.23,160.0,31.0,305.4,351.2,308.2
21,00Z,4,Jul,1985,3,700.0,3076.0,11.4,10.1,92.0,11.21,190.0,17.0,315.1,350.3,317.2
22,00Z,4,Jul,1985,4,500.0,5820.0,-1.9,-12.9,43.0,2.85,120.0,23.0,330.7,340.7,331.2
23,00Z,4,Jul,1985,5,400.0,7560.0,-11.1,-23.1,36.0,1.5,190.0,19.0,340.5,346.1,340.8
24,00Z,4,Jul,1985,6,300.0,9700.0,-26.5,-37.5,35.0,0.51,100.0,21.0,347.9,350.0,348.0
25,00Z,4,Jul,1985,7,250.0,10990.0,-36.3,-51.3,20.0,0.14,80.0,39.0,352.0,352.6,352.0
26,00Z,4,Jul,1985,8,200.0,12500.0,-48.9,,,,95.0,43.0,355.2,,355.2
27,00Z,6,Jul,1985,0,1000.0,-2.0,,,,,,,,,
30,00Z,6,Jul,1985,3,850.0,1425.0,18.4,16.1,86.0,13.73,175.0,21.0,305.4,346.7,307.9
31,00Z,6,Jul,1985,4,700.0,3079.0,12.6,8.5,76.0,10.05,175.0,20.0,316.4,348.2,318.3
33,00Z,6,Jul,1985,6,500.0,5840.0,-1.1,-7.1,64.0,4.52,10.0,,331.6,347.2,332.5
34,00Z,6,Jul,1985,7,400.0,7590.0,-11.9,-17.9,61.0,2.35,145.0,7.0,339.4,348.1,339.9
35,00Z,6,Jul,1985,8,300.0,9730.0,-26.5,-35.5,42.0,0.62,145.0,18.0,347.9,350.4,348.1
36,00Z,6,Jul,1985,9,250.0,11010.0,-37.3,-44.3,48.0,0.3,60.0,15.0,350.5,351.8,350.5
37,00Z,6,Jul,1985,10,200.0,12520.0,-50.7,,,,60.0,17.0,352.3,,352.3
39,00Z,7,Jul,1985,0,1000.0,2.0,,,,,,,,,
43,00Z,7,Jul,1985,4,850.0,1426.0,19.6,18.8,95.0,16.35,205.0,21.0,306.7,356.1,309.7
44,00Z,7,Jul,1985,5,700.0,3079.0,12.4,10.9,91.0,11.84,195.0,15.0,316.2,353.5,318.4
47,00Z,7,Jul,1985,8,500.0,5840.0,-1.7,-4.9,79.0,5.35,235.0,13.0,330.9,349.2,332.0
49,00Z,7,Jul,1985,10,400.0,7540.0,-12.1,-14.2,84.0,3.2,15.0,,339.2,350.8,339.8
51,00Z,8,Jul,1985,0,1000.0,-1.0,,,,,,,,,
54,00Z,8,Jul,1985,3,850.0,1429.0,20.0,17.7,87.0,15.23,240.0,8.0,307.1,353.2,309.9
55,00Z,8,Jul,1985,4,700.0,3076.0,11.4,9.2,86.0,10.54,240.0,30.0,315.1,348.2,317.1
56,00Z,8,Jul,1985,5,500.0,5810.0,-3.9,-6.2,84.0,4.84,200.0,27.0,328.2,344.7,329.2
57,00Z,8,Jul,1985,6,400.0,7550.0,-13.1,-17.0,73.0,2.54,130.0,13.0,337.9,347.1,338.4
58,00Z,8,Jul,1985,7,300.0,9690.0,-27.3,-32.1,64.0,0.87,195.0,25.0,346.8,350.2,347.0
59,00Z,9,Jul,1985,0,1000.0,-11.0,,,,,50.0,,,,
62,00Z,9,Jul,1985,3,850.0,1417.0,20.0,17.8,87.0,15.33,230.0,10.0,307.1,353.5,309.9
63,00Z,9,Jul,1985,4,700.0,3070.0,10.4,8.4,87.0,9.98,,,314.0,345.2,315.9
66,00Z,10,Jul,1985,0,1000.0,-2.0,,,,,,,,,
69,00Z,10,Jul,1985,3,850.0,1415.0,17.0,17.0,100.0,14.56,235.0,9.0,303.9,347.4,306.6
70,00Z,10,Jul,1985,4,700.0,3056.0,9.0,9.0,100.0,10.4,300.0,5.0,312.4,344.8,314.4
72,00Z,10,Jul,1985,6,500.0,5790.0,-2.5,-2.9,97.0,6.22,240.0,4.0,329.9,351.0,331.2
73,00Z,10,Jul,1985,7,400.0,7510.0,-11.3,-13.5,84.0,3.39,,,340.2,352.5,340.9
75,00Z,11,Jul,1985,1,1000.0,2.0,26.4,24.6,90.0,19.94,120.0,15.0,299.6,358.1,303.1
77,00Z,11,Jul,1985,3,850.0,1445.0,18.0,15.7,86.0,13.37,140.0,15.0,305.0,345.2,307.4
78,00Z,11,Jul,1985,4,700.0,3087.0,11.2,6.2,71.0,8.57,135.0,10.0,314.9,341.9,316.5
79,00Z,11,Jul,1985,5,500.0,5830.0,-3.1,-9.1,63.0,3.86,135.0,15.0,329.2,342.5,330.0
80,00Z,11,Jul,1985,6,400.0,7560.0,-14.7,-19.5,67.0,2.05,110.0,11.0,335.8,343.3,336.2
81,00Z,11,Jul,1985,7,300.0,9680.0,-29.1,-36.1,51.0,0.59,90.0,23.0,344.2,346.6,344.4
82,00Z,11,Jul,1985,8,250.0,10960.0,-39.7,-45.7,53.0,0.26,70.0,29.0,346.9,348.0,347.0
83,00Z,11,Jul,1985,9,200.0,12430.0,-56.7,,,,,,342.8,,342.8
85,00Z,12,Jul,1985,1,1000.0,41.0,26.6,25.1,91.0,20.56,155.0,12.0,299.8,360.2,303.4
87,00Z,12,Jul,1985,3,850.0,1466.0,20.0,18.7,92.0,16.24,175.0,18.0,307.1,356.3,310.1
88,00Z,12,Jul,1985,4,700.0,3117.0,11.4,8.5,82.0,10.05,175.0,8.0,315.1,346.7,317.0
89,00Z,12,Jul,1985,5,500.0,5860.0,-3.5,-7.5,74.0,4.38,175.0,10.0,328.7,343.7,329.6
90,00Z,12,Jul,1985,6,400.0,7600.0,-12.5,-17.5,66.0,2.43,120.0,12.0,338.6,347.6,339.1
91,00Z,12,Jul,1985,7,300.0,9720.0,-28.9,-33.3,66.0,0.77,75.0,21.0,344.5,347.6,344.7
92,00Z,12,Jul,1985,8,250.0,11000.0,-39.1,-46.1,47.0,0.25,75.0,27.0,347.8,348.9,347.9
93,00Z,12,Jul,1985,9,200.0,12490.0,-51.1,,,,75.0,44.0,351.7,,351.7
96,00Z,13,Jul,1985,1,1000.0,36.0,26.2,25.2,94.0,20.69,150.0,8.0,299.4,360.1,303.0
98,00Z,13,Jul,1985,3,850.0,1457.0,18.6,16.9,90.0,14.46,170.0,13.0,305.6,349.1,308.3
99,00Z,13,Jul,1985,4,700.0,3110.0,12.6,6.6,67.0,8.81,190.0,9.0,316.4,344.4,318.1
101,00Z,13,Jul,1985,6,500.0,5860.0,-2.3,-8.3,63.0,4.11,130.0,10.0,330.2,344.4,331.0
102,00Z,13,Jul,1985,7,400.0,7500.0,-12.7,-18.7,61.0,2.2,85.0,6.0,338.4,346.5,338.8
103,00Z,13,Jul,1985,8,300.0,9720.0,-28.3,-38.3,38.0,0.47,85.0,18.0,345.4,347.3,345.5
104,00Z,13,Jul,1985,9,250.0,11000.0,-38.1,-50.1,27.0,0.16,85.0,38.0,349.3,350.0,349.3
105,00Z,13,Jul,1985,10,200.0,12500.0,-51.1,,,,60.0,42.0,351.7,,351.7
