,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Aug,1985,0,1000.0,3.0,,,,,,,,,
2,00Z,1,Aug,1985,2,850.0,1425.0,19.0,17.5,91.0,15.04,120.0,19.0,306.0,351.4,308.8
3,00Z,1,Aug,1985,3,700.0,3069.0,10.4,7.9,84.0,9.64,95.0,19.0,314.0,344.2,315.8
4,00Z,1,Aug,1985,4,500.0,5800.0,-3.5,-3.8,98.0,5.81,110.0,21.0,328.7,348.4,329.9
5,00Z,1,Aug,1985,5,400.0,7530.0,-14.3,-22.3,51.0,1.61,125.0,20.0,336.3,342.3,336.6
6,00Z,1,Aug,1985,6,300.0,9650.0,-29.7,-33.5,69.0,0.76,130.0,20.0,343.4,346.4,343.6
7,00Z,1,Aug,1985,7,250.0,10930.0,-39.1,-45.1,53.0,0.27,80.0,10.0,347.8,349.0,347.9
8,00Z,1,Aug,1985,8,200.0,12410.0,-52.5,,,,135.0,7.0,349.5,,349.5
14,00Z,3,Aug,1985,2,1000.0,38.0,26.4,24.9,91.0,20.31,120.0,8.0,299.6,359.2,303.2
16,00Z,3,Aug,1985,4,850.0,1454.0,14.4,11.8,84.0,10.33,170.0,13.0,301.2,331.9,303.1
17,00Z,3,Aug,1985,5,700.0,3098.0,10.8,8.5,86.0,10.05,200.0,9.0,314.4,346.0,316.3
19,00Z,3,Aug,1985,7,500.0,5820.0,-4.1,-7.8,75.0,4.28,305.0,8.0,328.0,342.6,328.8
20,00Z,3,Aug,1985,8,400.0,7550.0,-13.5,-18.5,66.0,2.24,315.0,8.0,337.4,345.5,337.8
21,00Z,3,Aug,1985,9,300.0,9670.0,-29.1,-35.1,56.0,0.65,320.0,4.0,344.2,346.9,344.4
24,00Z,4,Aug,1985,1,1000.0,39.0,26.2,24.4,90.0,19.69,140.0,7.0,299.4,357.1,302.9
27,00Z,4,Aug,1985,4,850.0,1463.0,17.8,16.9,94.0,14.46,125.0,2.0,304.8,348.2,307.4
28,00Z,4,Aug,1985,5,700.0,3066.0,10.6,8.1,85.0,9.77,95.0,4.0,314.2,344.9,316.0
29,00Z,4,Aug,1985,6,500.0,5790.0,-5.3,-7.1,87.0,4.52,60.0,11.0,326.5,341.8,327.4
30,00Z,4,Aug,1985,7,400.0,7510.0,-14.5,-21.5,55.0,1.73,75.0,12.0,336.1,342.4,336.4
31,00Z,4,Aug,1985,8,300.0,9630.0,-28.5,-37.5,42.0,0.51,65.0,8.0,345.1,347.2,345.2
32,00Z,4,Aug,1985,9,250.0,10910.0,-38.5,-46.5,43.0,0.24,60.0,4.0,348.7,349.7,348.7
33,00Z,6,Aug,1985,0,1000.0,9.0,26.4,23.4,84.0,18.51,140.0,9.0,299.6,353.9,302.9
34,00Z,6,Aug,1985,1,850.0,1426.0,19.0,16.2,84.0,13.82,150.0,23.0,306.0,347.7,308.6
35,00Z,6,Aug,1985,2,700.0,3080.0,11.0,7.8,81.0,9.57,150.0,21.0,314.6,344.8,316.4
36,00Z,6,Aug,1985,3,500.0,5840.0,-2.7,-7.7,68.0,4.31,135.0,19.0,329.7,344.5,330.5
37,00Z,6,Aug,1985,4,400.0,7570.0,-12.7,-19.7,56.0,2.02,105.0,23.0,338.4,345.8,338.8
38,00Z,6,Aug,1985,5,300.0,9690.0,-28.3,-34.3,56.0,0.7,145.0,17.0,345.4,348.2,345.5
39,00Z,6,Aug,1985,6,250.0,10980.0,-37.3,-45.3,43.0,0.27,80.0,,350.5,351.6,350.5
40,00Z,6,Aug,1985,7,200.0,12480.0,-50.7,,,,90.0,22.0,352.3,,352.3
42,00Z,7,Aug,1985,0,1000.0,9.0,25.4,25.0,98.0,20.44,100.0,10.0,298.6,358.3,302.2
44,00Z,7,Aug,1985,2,850.0,1424.0,17.6,17.3,98.0,14.84,145.0,14.0,304.6,349.0,307.3
45,00Z,7,Aug,1985,3,700.0,3054.0,9.4,7.2,86.0,9.18,155.0,20.0,312.9,341.6,314.6
46,00Z,7,Aug,1985,4,500.0,5780.0,-2.3,-5.9,76.0,4.95,160.0,15.0,330.2,347.1,331.2
47,00Z,7,Aug,1985,5,400.0,7520.0,-13.1,-20.1,56.0,1.95,120.0,20.0,337.9,345.1,338.3
48,00Z,7,Aug,1985,6,300.0,9650.0,-27.7,-38.7,34.0,0.45,115.0,23.0,346.2,348.1,346.3
49,00Z,7,Aug,1985,7,250.0,10940.0,-38.1,-46.1,43.0,0.25,120.0,25.0,349.3,350.3,349.3
50,00Z,7,Aug,1985,8,200.0,12440.0,-51.5,,,,100.0,35.0,351.1,,351.1
52,00Z,8,Aug,1985,0,1000.0,3.0,,,,,,,,,
55,00Z,8,Aug,1985,3,850.0,1423.0,18.6,16.1,85.0,13.73,165.0,73.0,305.6,347.0,308.1
56,00Z,8,Aug,1985,4,700.0,3059.0,11.0,,,,205.0,15.0,314.6,,314.6
58,00Z,8,Aug,1985,6,500.0,5790.0,-2.5,,,,145.0,12.0,329.9,,329.9
59,00Z,8,Aug,1985,7,400.0,7510.0,-12.7,,,,120.0,12.0,338.4,,338.4
60,00Z,8,Aug,1985,8,300.0,9650.0,-28.1,,,,110.0,13.0,345.7,,345.7
61,00Z,8,Aug,1985,9,250.0,10930.0,-37.7,,,,130.0,20.0,349.9,,349.9
62,00Z,8,Aug,1985,10,200.0,12430.0,-49.3,,,,110.0,34.0,354.5,,354.5
65,00Z,10,Aug,1985,1,1000.0,13.0,28.4,26.4,89.0,22.27,270.0,3.0,301.6,367.7,305.5
67,00Z,10,Aug,1985,3,850.0,1443.0,20.4,17.7,84.0,15.23,65.0,4.0,307.5,353.7,310.3
68,00Z,10,Aug,1985,4,700.0,3095.0,13.0,9.6,80.0,10.84,140.0,5.0,316.9,351.1,318.9
70,00Z,10,Aug,1985,6,500.0,5860.0,-1.7,-6.5,70.0,4.73,90.0,13.0,330.9,347.2,331.9
71,00Z,10,Aug,1985,7,400.0,7600.0,-12.1,-18.1,61.0,2.31,90.0,13.0,339.2,347.7,339.6
72,00Z,10,Aug,1985,8,300.0,9730.0,-33.3,,,,275.0,256.0,338.3,,338.3
74,00Z,11,Aug,1985,0,1000.0,4.0,,,,,,,,,
77,00Z,11,Aug,1985,3,850.0,1436.0,19.0,16.2,84.0,13.82,60.0,3.0,306.0,347.7,308.6
78,00Z,11,Aug,1985,4,700.0,3087.0,12.0,8.4,79.0,9.98,125.0,4.0,315.7,347.2,317.6
79,00Z,11,Aug,1985,5,500.0,5830.0,-4.3,-6.6,84.0,4.69,125.0,5.0,327.7,343.7,328.7
80,00Z,11,Aug,1985,6,400.0,7550.0,-13.5,-17.9,69.0,2.35,125.0,12.0,337.4,345.9,337.8
81,00Z,11,Aug,1985,7,300.0,9600.0,-27.7,-34.7,51.0,0.67,95.0,39.0,346.2,348.9,346.4
82,00Z,11,Aug,1985,8,250.0,10890.0,-37.3,-44.3,48.0,0.3,95.0,35.0,350.5,351.8,350.5
83,00Z,11,Aug,1985,9,200.0,12390.0,-49.5,,,,95.0,38.0,354.2,,354.2
85,00Z,12,Aug,1985,0,1000.0,-6.0,,,,,,,,,
88,00Z,12,Aug,1985,3,850.0,1430.0,21.6,21.1,97.0,18.93,350.0,2.0,308.8,366.5,312.2
91,00Z,12,Aug,1985,6,700.0,3072.0,13.0,12.3,96.0,13.01,20.0,2.0,316.9,357.9,319.3
93,00Z,12,Aug,1985,8,500.0,5830.0,3.0,-0.8,76.0,7.27,90.0,10.0,336.6,361.8,338.1
94,00Z,12,Aug,1985,9,400.0,7560.0,-12.7,-14.7,85.0,3.08,125.0,9.0,338.4,349.5,339.0
95,00Z,12,Aug,1985,10,300.0,9670.0,-25.7,-30.0,67.0,1.06,,,349.0,353.3,349.3
97,00Z,14,Aug,1985,0,1000.0,3.0,,,,,,,,,
100,00Z,14,Aug,1985,3,850.0,1431.0,19.4,18.2,93.0,15.73,135.0,13.0,306.4,354.0,309.3
101,00Z,14,Aug,1985,4,700.0,3089.0,11.6,10.9,95.0,11.84,100.0,15.0,315.3,352.5,317.5
102,00Z,14,Aug,1985,5,500.0,5830.0,-1.5,-10.5,50.0,3.46,80.0,26.0,331.1,343.2,331.8
103,00Z,14,Aug,1985,6,400.0,7570.0,-13.1,-24.1,39.0,1.37,75.0,34.0,337.9,343.0,338.1
104,00Z,14,Aug,1985,7,300.0,9710.0,-26.1,-38.1,31.0,0.48,75.0,49.0,348.5,350.5,348.6
105,00Z,14,Aug,1985,8,250.0,10960.0,-37.3,-47.3,35.0,0.22,75.0,53.0,350.5,351.4,350.5
106,00Z,14,Aug,1985,9,200.0,12460.0,-49.9,,,,70.0,63.0,353.6,,353.6
114,00Z,16,Aug,1985,0,1000.0,0.0,,,,,,,,,
119,00Z,16,Aug,1985,5,850.0,1426.0,18.8,15.7,82.0,13.37,170.0,9.0,305.8,346.2,308.3
120,00Z,16,Aug,1985,6,700.0,3064.0,11.4,6.5,72.0,8.75,140.0,8.0,315.1,342.7,316.7
