,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,7,Sep,1985,0,1000.0,9.0,28.0,26.9,94.0,22.96,190.0,3.0,301.1,369.3,305.3
2,00Z,7,Sep,1985,2,850.0,1438.0,19.8,18.4,92.0,15.93,213.0,3.0,306.9,355.1,309.8
3,00Z,7,Sep,1985,3,700.0,3093.0,11.4,8.4,82.0,9.98,240.0,4.0,315.1,346.5,317.0
5,00Z,7,Sep,1985,5,500.0,5830.0,-3.3,-9.3,63.0,3.8,135.0,6.0,328.9,342.1,329.7
6,00Z,7,Sep,1985,6,400.0,7560.0,-13.3,-28.3,27.0,0.93,130.0,9.0,337.6,341.2,337.8
7,00Z,7,Sep,1985,7,300.0,9686.0,-27.9,-39.9,31.0,0.4,105.0,14.0,345.9,347.6,346.0
8,00Z,7,Sep,1985,8,250.0,10970.0,-37.7,-43.7,53.0,0.32,105.0,22.0,349.9,351.2,349.9
9,00Z,7,Sep,1985,9,200.0,12460.0,-52.1,,,,90.0,29.0,350.1,,350.1
13,00Z,8,Sep,1985,1,1000.0,15.0,26.8,25.8,94.0,21.47,165.0,4.0,299.9,363.2,303.8
15,00Z,8,Sep,1985,3,850.0,1444.0,-2.3,-5.6,78.0,2.98,200.0,222.0,283.7,292.4,284.2
16,00Z,8,Sep,1985,4,700.0,3061.0,11.4,6.4,71.0,8.69,170.0,5.0,315.1,342.6,316.7
17,00Z,8,Sep,1985,5,500.0,5820.0,-2.5,-9.5,59.0,3.74,155.0,6.0,329.9,342.9,330.7
18,00Z,8,Sep,1985,6,400.0,7550.0,-13.7,-15.7,85.0,2.83,330.0,,337.1,347.3,337.7
20,00Z,9,Sep,1985,1,1000.0,21.0,27.2,25.2,89.0,20.69,105.0,6.0,300.4,361.4,304.1
22,00Z,9,Sep,1985,3,850.0,1447.0,19.6,16.1,80.0,13.73,115.0,12.0,306.7,348.2,309.2
23,00Z,9,Sep,1985,4,700.0,3102.0,12.4,8.4,77.0,9.98,115.0,9.0,316.2,347.8,318.1
24,00Z,9,Sep,1985,5,500.0,5850.0,-3.1,-5.7,82.0,5.03,20.0,6.0,329.2,346.3,330.2
25,00Z,9,Sep,1985,6,400.0,7580.0,-13.1,-18.1,66.0,2.31,85.0,8.0,337.9,346.3,338.4
26,00Z,9,Sep,1985,7,300.0,9660.0,-28.3,-34.3,56.0,0.7,115.0,11.0,345.4,348.2,345.5
27,00Z,9,Sep,1985,8,250.0,10930.0,-39.3,-45.3,53.0,0.27,90.0,21.0,347.5,348.6,347.6
28,00Z,9,Sep,1985,9,200.0,12410.0,-53.3,,,,70.0,22.0,348.2,,348.2
30,00Z,11,Sep,1985,1,1000.0,48.0,25.2,24.4,95.0,19.69,80.0,10.0,298.4,355.9,301.9
32,00Z,11,Sep,1985,3,850.0,1469.0,18.2,17.2,94.0,14.75,105.0,19.0,305.2,349.5,307.9
33,00Z,11,Sep,1985,4,700.0,3115.0,10.8,8.0,83.0,9.71,120.0,19.0,314.4,344.9,316.2
34,00Z,11,Sep,1985,5,500.0,5850.0,-3.1,-5.8,82.0,4.99,135.0,19.0,329.2,346.2,330.2
35,00Z,11,Sep,1985,6,400.0,7570.0,-14.5,-18.2,73.0,2.29,,,336.1,344.4,336.5
37,00Z,12,Sep,1985,1,1000.0,34.0,26.8,24.7,88.0,20.06,105.0,8.0,299.9,359.0,303.5
39,00Z,12,Sep,1985,3,850.0,1454.0,18.2,14.4,78.0,12.28,150.0,13.0,305.2,342.2,307.4
40,00Z,12,Sep,1985,4,700.0,3097.0,9.4,5.6,77.0,8.21,115.0,12.0,312.9,338.6,314.4
41,00Z,12,Sep,1985,5,500.0,5820.0,-4.5,-11.5,58.0,3.19,90.0,10.0,327.5,338.5,328.1
42,00Z,12,Sep,1985,6,400.0,7550.0,-14.3,-24.3,42.0,1.35,90.0,6.0,336.3,341.4,336.6
43,00Z,12,Sep,1985,7,300.0,9661.0,-30.5,-38.5,45.0,0.46,120.0,13.0,342.3,344.1,342.4
44,00Z,12,Sep,1985,8,250.0,10930.0,-40.3,,,,140.0,17.0,346.0,,346.0
45,00Z,12,Sep,1985,9,200.0,12410.0,-53.1,,,,,,348.5,,348.5
47,00Z,13,Sep,1985,1,1000.0,35.0,26.4,24.7,90.0,20.06,155.0,8.0,299.6,358.5,303.1
49,00Z,13,Sep,1985,3,850.0,1454.0,18.0,16.0,88.0,13.64,155.0,5.0,305.0,346.0,307.5
50,00Z,13,Sep,1985,4,700.0,3099.0,10.6,8.0,84.0,9.71,100.0,5.0,314.2,344.7,316.0
52,00Z,13,Sep,1985,6,500.0,5840.0,-4.3,-5.1,94.0,5.27,85.0,4.0,327.7,345.6,328.8
53,00Z,13,Sep,1985,7,400.0,7590.0,-13.3,-16.0,80.0,2.76,90.0,6.0,337.6,347.6,338.2
