,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Jan,1985,1,1000.0,128.0,17.6,12.6,72.0,9.24,358.0,1.0,290.8,317.1,292.4
4,00Z,1,Jan,1985,4,850.0,1515.0,13.6,3.6,51.0,5.86,340.0,6.0,300.4,318.1,301.4
6,00Z,1,Jan,1985,6,700.0,3127.0,6.2,-15.8,19.0,1.6,260.0,12.0,309.3,314.7,309.6
8,00Z,1,Jan,1985,8,600.0,4367.0,-2.3,-5.3,80.0,4.32,251.0,24.0,313.4,327.4,314.2
10,00Z,1,Jan,1985,10,500.0,5790.0,-9.9,-11.1,91.0,3.29,240.0,39.0,320.9,332.0,321.6
11,00Z,1,Jan,1985,11,400.0,7470.0,-21.1,-24.1,77.0,1.37,235.0,71.0,327.5,332.4,327.8
12,00Z,1,Jan,1985,12,300.0,9540.0,-37.1,-43.1,54.0,0.28,245.0,99.0,333.0,334.1,333.0
14,00Z,1,Jan,1985,14,250.0,10780.0,-43.3,,,,255.0,109.0,341.6,,341.6
15,00Z,1,Jan,1985,15,200.0,12240.0,-57.1,,,,255.0,98.0,342.2,,342.2
19,12Z,1,Jan,1985,1,1000.0,127.0,18.6,15.6,83.0,11.26,295.0,12.0,291.8,323.8,293.7
21,12Z,1,Jan,1985,3,850.0,1509.0,11.0,4.0,62.0,6.03,320.0,9.0,297.7,315.7,298.7
24,12Z,1,Jan,1985,6,700.0,3105.0,2.8,-9.2,41.0,2.73,320.0,10.0,305.6,314.3,306.1
27,12Z,1,Jan,1985,9,600.0,4339.0,-2.7,-11.7,50.0,2.62,286.0,32.0,312.9,321.6,313.4
29,12Z,1,Jan,1985,11,500.0,5770.0,-9.1,-14.1,67.0,2.58,245.0,57.0,321.9,330.7,322.4
31,12Z,1,Jan,1985,13,400.0,7470.0,-20.1,-28.1,49.0,0.95,230.0,53.0,328.8,332.3,329.0
33,12Z,1,Jan,1985,15,300.0,9550.0,-36.9,-47.9,31.0,0.17,245.0,83.0,333.2,333.9,333.3
34,12Z,1,Jan,1985,16,250.0,10780.0,-47.9,,,,250.0,97.0,334.7,,334.7
35,12Z,1,Jan,1985,17,200.0,12220.0,-58.3,,,,240.0,101.0,340.3,,340.3
42,00Z,2,Jan,1985,1,1000.0,135.0,16.4,13.6,84.0,9.88,260.0,5.0,289.6,317.5,291.3
44,00Z,2,Jan,1985,3,850.0,1512.0,-11.1,-16.1,67.0,1.29,160.0,7.0,274.5,278.3,274.7
46,00Z,2,Jan,1985,5,700.0,3112.0,3.4,-13.6,28.0,1.92,280.0,10.0,306.2,312.5,306.6
49,00Z,2,Jan,1985,8,600.0,4348.0,-5.5,-24.5,21.0,0.88,257.0,30.0,309.7,312.8,309.9
51,00Z,2,Jan,1985,10,500.0,5770.0,-11.7,-26.7,28.0,0.87,230.0,53.0,318.7,321.8,318.9
53,00Z,2,Jan,1985,12,400.0,7450.0,-22.3,-30.3,48.0,0.77,235.0,72.0,325.9,328.8,326.1
55,00Z,2,Jan,1985,14,300.0,9510.0,-37.3,,,,250.0,101.0,332.7,,332.7
56,00Z,2,Jan,1985,15,250.0,10740.0,-47.7,,,,245.0,105.0,335.0,,335.0
58,00Z,2,Jan,1985,17,200.0,12190.0,-55.9,,,,255.0,136.0,344.1,,344.1
70,12Z,2,Jan,1985,1,1000.0,131.0,20.4,15.8,75.0,11.41,200.0,9.0,293.6,326.3,295.6
72,12Z,2,Jan,1985,3,850.0,1514.0,10.8,4.8,66.0,6.38,320.0,4.0,297.4,316.4,298.6
74,12Z,2,Jan,1985,5,700.0,3110.0,3.0,-10.0,38.0,2.57,135.0,5.0,305.8,314.1,306.2
77,12Z,2,Jan,1985,8,600.0,4346.0,-2.7,,,,192.0,33.0,312.9,,312.9
79,12Z,2,Jan,1985,10,500.0,5770.0,-9.7,,,,260.0,67.0,321.1,,321.1
81,12Z,2,Jan,1985,12,400.0,7470.0,-18.9,,,,225.0,85.0,330.3,,330.3
82,12Z,2,Jan,1985,13,300.0,9550.0,-33.5,,,,245.0,87.0,338.0,,338.0
84,12Z,2,Jan,1985,15,250.0,10810.0,-42.9,,,,235.0,81.0,342.1,,342.1
85,12Z,2,Jan,1985,16,200.0,12280.0,-52.5,,,,245.0,78.0,349.5,,349.5
90,00Z,3,Jan,1985,1,1000.0,141.0,14.0,13.6,97.0,9.88,200.0,5.0,287.1,314.8,288.9
93,00Z,3,Jan,1985,4,850.0,1519.0,10.2,6.6,78.0,7.24,15.0,9.0,296.8,318.2,298.1
95,00Z,3,Jan,1985,6,700.0,3111.0,1.2,-3.8,69.0,4.14,280.0,17.0,303.8,316.7,304.5
98,00Z,3,Jan,1985,9,600.0,4337.0,-4.1,-18.1,33.0,1.54,285.0,33.0,311.3,316.6,311.6
100,00Z,3,Jan,1985,11,500.0,5750.0,-13.3,,,,290.0,53.0,316.8,,316.8
103,00Z,3,Jan,1985,14,400.0,7420.0,-22.7,,,,285.0,80.0,325.4,,325.4
106,00Z,3,Jan,1985,17,300.0,9470.0,-35.7,,,,260.0,101.0,334.9,,334.9
108,00Z,3,Jan,1985,19,250.0,10730.0,-41.3,,,,255.0,85.0,344.5,,344.5
109,00Z,3,Jan,1985,20,200.0,12210.0,-49.5,,,,235.0,120.0,354.2,,354.2
121,12Z,3,Jan,1985,1,1000.0,131.0,22.8,12.8,53.0,9.37,155.0,4.0,295.9,323.3,297.6
124,12Z,3,Jan,1985,4,850.0,1515.0,11.4,-6.6,28.0,2.76,285.0,7.0,298.1,306.7,298.6
127,12Z,3,Jan,1985,7,700.0,3097.0,-1.7,-3.9,85.0,4.11,275.0,19.0,300.6,313.2,301.3
130,12Z,3,Jan,1985,10,600.0,4331.0,-3.1,,,,268.0,41.0,312.5,,312.5
133,12Z,3,Jan,1985,13,500.0,5750.0,-12.7,,,,260.0,66.0,317.5,,317.5
135,12Z,3,Jan,1985,15,400.0,7410.0,-25.1,,,,270.0,72.0,322.3,,322.3
136,12Z,3,Jan,1985,16,300.0,9440.0,-39.3,,,,280.0,87.0,329.9,,329.9
137,12Z,3,Jan,1985,17,250.0,10660.0,-48.7,,,,260.0,87.0,333.5,,333.5
140,12Z,3,Jan,1985,20,200.0,12100.0,-55.7,,,,235.0,109.0,344.4,,344.4
153,00Z,4,Jan,1985,1,1000.0,148.0,16.0,14.2,89.0,10.28,50.0,10.0,289.1,318.2,290.9
156,00Z,4,Jan,1985,4,850.0,1520.0,9.8,5.0,72.0,6.47,270.0,5.0,296.4,315.6,297.6
159,00Z,4,Jan,1985,7,700.0,3105.0,3.0,,,,275.0,19.0,305.8,,305.8
161,00Z,4,Jan,1985,9,600.0,4334.0,-4.7,,,,280.0,30.0,310.6,,310.6
163,00Z,4,Jan,1985,11,500.0,5750.0,-12.9,,,,285.0,43.0,317.2,,317.2
164,00Z,4,Jan,1985,12,400.0,7420.0,-24.7,,,,270.0,57.0,322.8,,322.8
166,00Z,4,Jan,1985,14,300.0,9450.0,-42.9,,,,265.0,69.0,324.8,,324.8
168,00Z,4,Jan,1985,16,250.0,10650.0,-52.7,,,,265.0,69.0,327.6,,327.6
171,00Z,4,Jan,1985,19,200.0,12080.0,-58.5,,,,240.0,85.0,340.0,,340.0
173,12Z,4,Jan,1985,1,1000.0,133.0,21.6,18.0,80.0,13.16,20.0,8.0,294.8,332.6,297.1
175,12Z,4,Jan,1985,3,850.0,1510.0,8.2,6.4,88.0,7.14,270.0,6.0,294.7,315.6,296.0
178,12Z,4,Jan,1985,6,700.0,3190.0,1.6,-11.4,37.0,2.3,280.0,25.0,304.2,311.6,304.6
182,12Z,4,Jan,1985,10,600.0,4411.0,-5.9,-18.9,35.0,1.44,275.0,36.0,309.2,314.1,309.5
184,12Z,4,Jan,1985,12,500.0,5820.0,-12.9,,,,270.0,49.0,317.2,,317.2
185,12Z,4,Jan,1985,13,400.0,7480.0,-26.5,,,,260.0,56.0,320.5,,320.5
186,12Z,4,Jan,1985,14,300.0,9490.0,-42.9,,,,290.0,74.0,324.8,,324.8
188,12Z,4,Jan,1985,16,250.0,10700.0,-52.1,,,,255.0,70.0,328.5,,328.5
190,12Z,4,Jan,1985,18,200.0,12120.0,-59.5,,,,270.0,76.0,338.4,,338.4
199,00Z,5,Jan,1985,1,1000.0,139.0,15.0,14.0,94.0,10.14,35.0,2.0,288.1,316.7,289.9
202,00Z,5,Jan,1985,4,850.0,1518.0,10.6,7.0,78.0,7.44,300.0,7.0,297.2,319.2,298.6
205,00Z,5,Jan,1985,7,700.0,3116.0,3.2,-13.8,28.0,1.89,290.0,25.0,306.0,312.2,306.4
207,00Z,5,Jan,1985,9,500.0,5780.0,-10.5,,,,285.0,56.0,320.2,,320.2
208,00Z,5,Jan,1985,10,400.0,7460.0,-22.9,,,,250.0,78.0,325.1,,325.1
209,00Z,5,Jan,1985,11,300.0,9500.0,-40.7,,,,260.0,72.0,327.9,,327.9
210,00Z,5,Jan,1985,12,250.0,10720.0,-50.7,,,,260.0,87.0,330.6,,330.6
211,00Z,5,Jan,1985,13,200.0,12140.0,-59.5,,,,260.0,105.0,338.4,,338.4
222,12Z,5,Jan,1985,1,1000.0,120.0,22.4,17.4,73.0,12.66,20.0,6.0,295.6,332.1,297.8
224,12Z,5,Jan,1985,3,850.0,1490.0,7.6,4.2,79.0,6.12,260.0,2.0,294.1,312.1,295.2
227,12Z,5,Jan,1985,6,700.0,3070.0,1.8,-5.2,60.0,3.73,275.0,36.0,304.4,316.2,305.1
229,12Z,5,Jan,1985,8,600.0,4300.0,-6.1,-10.1,73.0,2.97,275.0,41.0,309.0,318.6,309.6
233,12Z,5,Jan,1985,12,500.0,5720.0,-12.1,,,,275.0,47.0,318.2,,318.2
