,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Oct,1985,1,1000.0,92.0,25.2,24.0,93.0,19.21,180.0,7.0,298.4,354.5,301.8
3,00Z,1,Oct,1985,3,850.0,1500.0,17.8,11.8,68.0,10.33,190.0,8.0,304.8,336.0,306.7
6,00Z,1,Oct,1985,6,700.0,3132.0,8.0,2.0,66.0,6.36,195.0,8.0,311.3,331.3,312.5
8,00Z,1,Oct,1985,8,600.0,4387.0,1.2,-11.8,37.0,2.59,204.0,8.0,317.5,326.2,318.0
11,00Z,1,Oct,1985,11,500.0,5830.0,-6.5,,,,215.0,7.0,325.1,,325.1
12,00Z,1,Oct,1985,12,400.0,7540.0,-16.1,,,,285.0,12.0,334.0,,334.0
14,00Z,1,Oct,1985,14,300.0,9650.0,-31.1,,,,280.0,23.0,341.4,,341.4
16,00Z,1,Oct,1985,16,250.0,10920.0,-40.3,,,,265.0,21.0,346.0,,346.0
17,00Z,1,Oct,1985,17,200.0,12410.0,-51.5,,,,280.0,24.0,351.1,,351.1
21,12Z,1,Oct,1985,1,1000.0,67.0,31.2,23.2,63.0,18.28,135.0,6.0,304.4,359.2,307.7
23,12Z,1,Oct,1985,3,850.0,1513.0,23.8,15.8,61.0,13.46,145.0,4.0,311.1,352.6,313.6
25,12Z,1,Oct,1985,5,700.0,3182.0,13.2,3.2,51.0,6.93,195.0,6.0,317.1,339.3,318.4
27,12Z,1,Oct,1985,7,600.0,4455.0,3.6,-8.4,41.0,3.4,209.0,8.0,320.2,331.7,320.9
30,12Z,1,Oct,1985,10,500.0,5910.0,-3.7,-21.7,23.0,1.36,225.0,11.0,328.5,333.4,328.7
32,12Z,1,Oct,1985,12,400.0,7650.0,-13.3,,,,220.0,16.0,337.6,,337.6
34,12Z,1,Oct,1985,14,300.0,9760.0,-31.9,,,,185.0,15.0,340.3,,340.3
35,12Z,1,Oct,1985,15,250.0,11066.0,-25.1,,,,162.0,14.0,368.6,,368.6
41,00Z,2,Oct,1985,1,1000.0,106.0,26.2,24.6,91.0,19.94,10.0,0.0,299.4,357.9,302.9
43,00Z,2,Oct,1985,3,850.0,1523.0,18.2,13.2,73.0,11.34,160.0,6.0,305.2,339.4,307.3
