,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Nov,1985,1,1000.0,113.0,22.0,19.8,87.0,14.76,335.0,6.0,295.1,337.6,297.8
4,00Z,1,Nov,1985,4,850.0,1521.0,16.8,10.8,68.0,9.66,335.0,6.0,303.7,332.8,305.5
7,00Z,1,Nov,1985,7,700.0,3150.0,10.0,-8.0,27.0,3.0,305.0,10.0,313.5,323.4,314.1
9,00Z,1,Nov,1985,9,600.0,4419.0,4.6,,,,289.0,13.0,321.4,,321.4
11,00Z,1,Nov,1985,11,500.0,5870.0,-6.1,,,,270.0,17.0,325.5,,325.5
12,00Z,1,Nov,1985,12,400.0,7580.0,-20.1,,,,230.0,24.0,328.8,,328.8
13,00Z,1,Nov,1985,13,300.0,9650.0,-35.1,,,,275.0,38.0,335.8,,335.8
15,00Z,1,Nov,1985,15,250.0,10900.0,-43.7,,,,275.0,49.0,341.0,,341.0
16,00Z,1,Nov,1985,16,200.0,12370.0,-54.1,,,,280.0,51.0,346.9,,346.9
26,12Z,1,Nov,1985,1,1000.0,98.0,26.4,18.4,61.0,13.5,290.0,6.0,299.6,339.2,302.0
29,12Z,1,Nov,1985,4,850.0,1507.0,16.0,6.0,51.0,6.94,330.0,3.0,302.9,324.0,304.2
32,12Z,1,Nov,1985,7,700.0,3119.0,4.2,-2.8,60.0,4.47,280.0,8.0,307.1,321.2,307.9
34,12Z,1,Nov,1985,9,600.0,4371.0,0.8,,,,275.0,14.0,317.0,,317.0
37,12Z,1,Nov,1985,12,500.0,5810.0,-9.1,,,,270.0,20.0,321.9,,321.9
38,12Z,1,Nov,1985,13,400.0,7490.0,-22.5,,,,305.0,22.0,325.7,,325.7
40,12Z,1,Nov,1985,15,300.0,9530.0,-38.5,,,,290.0,41.0,331.0,,331.0
41,12Z,1,Nov,1985,16,250.0,10760.0,-45.9,,,,280.0,58.0,337.7,,337.7
42,12Z,1,Nov,1985,17,200.0,12220.0,-54.7,,,,275.0,52.0,346.0,,346.0
45,00Z,2,Nov,1985,1,1000.0,116.0,21.0,19.9,93.0,14.86,330.0,5.0,294.1,336.7,296.8
47,00Z,2,Nov,1985,3,850.0,1519.0,14.0,4.0,51.0,6.03,40.0,3.0,300.8,319.1,301.9
50,00Z,2,Nov,1985,6,700.0,3128.0,5.6,-13.4,24.0,1.95,255.0,13.0,308.6,315.1,309.0
53,00Z,2,Nov,1985,9,600.0,4373.0,-1.7,,,,271.0,14.0,314.1,,314.1
54,00Z,2,Nov,1985,10,500.0,5800.0,-10.5,,,,290.0,15.0,320.2,,320.2
56,00Z,2,Nov,1985,12,400.0,7470.0,-25.1,,,,290.0,12.0,322.3,,322.3
57,00Z,2,Nov,1985,13,300.0,9500.0,-39.7,,,,270.0,54.0,329.3,,329.3
58,00Z,2,Nov,1985,14,250.0,10720.0,-49.7,,,,280.0,68.0,332.1,,332.1
60,00Z,2,Nov,1985,16,200.0,12140.0,-60.3,,,,275.0,66.0,337.1,,337.1
70,12Z,2,Nov,1985,1,1000.0,118.0,28.0,22.0,70.0,16.96,350.0,5.0,301.1,351.3,304.2
71,12Z,2,Nov,1985,2,850.0,1536.0,16.8,9.8,63.0,9.02,50.0,4.0,303.7,331.0,305.4
72,12Z,2,Nov,1985,3,700.0,3159.0,8.0,,,,265.0,14.0,311.3,,311.3
73,12Z,2,Nov,1985,4,500.0,5860.0,-6.3,,,,260.0,26.0,325.3,,325.3
74,12Z,2,Nov,1985,5,400.0,7570.0,-17.7,,,,265.0,33.0,331.9,,331.9
75,12Z,2,Nov,1985,6,300.0,9650.0,-32.1,,,,280.0,56.0,340.0,,340.0
76,12Z,2,Nov,1985,7,250.0,10920.0,-41.1,,,,265.0,72.0,344.8,,344.8
77,12Z,2,Nov,1985,8,200.0,12400.0,-53.1,,,,265.0,71.0,348.5,,348.5
81,00Z,3,Nov,1985,1,1000.0,118.0,20.4,15.4,73.0,11.12,355.0,3.0,293.6,325.5,295.5
83,00Z,3,Nov,1985,3,850.0,1499.0,12.0,-2.0,38.0,3.9,335.0,3.0,298.7,310.7,299.4
87,00Z,3,Nov,1985,7,700.0,3103.0,6.0,,,,235.0,19.0,309.1,,309.1
