,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Dec,1985,1,1000.0,136.0,16.8,11.8,72.0,8.76,350.0,5.0,289.9,314.9,291.5
4,00Z,1,Dec,1985,4,850.0,1519.0,14.2,-9.8,18.0,2.15,320.0,7.0,301.0,307.9,301.4
8,00Z,1,Dec,1985,8,700.0,3144.0,9.4,,,,270.0,12.0,312.9,,312.9
9,00Z,1,Dec,1985,9,600.0,4404.0,1.8,,,,270.0,18.0,318.2,,318.2
11,00Z,1,Dec,1985,11,500.0,5850.0,-7.1,,,,270.0,24.0,324.3,,324.3
13,00Z,1,Dec,1985,13,400.0,7560.0,-18.1,,,,260.0,36.0,331.4,,331.4
15,00Z,1,Dec,1985,15,300.0,9650.0,-33.3,,,,270.0,57.0,338.3,,338.3
17,00Z,1,Dec,1985,17,250.0,10910.0,-42.1,,,,260.0,64.0,343.3,,343.3
18,00Z,1,Dec,1985,18,200.0,12370.0,-56.1,,,,255.0,56.0,343.8,,343.8
24,12Z,1,Dec,1985,1,1000.0,117.0,23.2,13.2,53.0,9.62,335.0,8.0,296.4,324.4,298.1
27,12Z,1,Dec,1985,4,850.0,1501.0,14.0,-7.0,23.0,2.67,320.0,13.0,300.8,309.2,301.3
29,12Z,1,Dec,1985,6,700.0,3113.0,5.6,,,,265.0,12.0,308.6,,308.6
30,12Z,1,Dec,1985,7,500.0,5790.0,-10.7,,,,265.0,33.0,319.9,,319.9
31,12Z,1,Dec,1985,8,400.0,7470.0,-22.5,,,,255.0,41.0,325.7,,325.7
32,12Z,1,Dec,1985,9,300.0,9510.0,-40.1,,,,265.0,53.0,328.7,,328.7
33,12Z,1,Dec,1985,10,250.0,10720.0,-49.9,,,,260.0,72.0,331.8,,331.8
35,12Z,1,Dec,1985,12,200.0,12140.0,-61.3,,,,245.0,70.0,335.5,,335.5
40,00Z,2,Dec,1985,1,1000.0,126.0,15.6,10.7,73.0,8.14,335.0,10.0,288.8,311.9,290.2
41,00Z,2,Dec,1985,2,850.0,1503.0,14.8,,,,325.0,15.0,301.6,,301.6
42,00Z,2,Dec,1985,3,700.0,3115.0,6.2,,,,260.0,17.0,309.3,,309.3
43,00Z,2,Dec,1985,4,500.0,5800.0,-8.1,,,,270.0,34.0,323.1,,323.1
44,00Z,2,Dec,1985,5,400.0,7490.0,-21.1,,,,250.0,40.0,327.5,,327.5
45,00Z,2,Dec,1985,6,300.0,9560.0,-35.1,,,,270.0,56.0,335.8,,335.8
46,00Z,2,Dec,1985,7,250.0,10800.0,-46.3,,,,245.0,63.0,337.1,,337.1
48,00Z,2,Dec,1985,9,200.0,12250.0,-60.3,,,,260.0,48.0,337.1,,337.1
53,12Z,2,Dec,1985,1,1000.0,116.0,24.2,22.8,92.0,17.83,340.0,6.0,297.4,349.2,300.5
55,12Z,2,Dec,1985,3,850.0,1504.0,13.2,-3.8,30.0,3.41,310.0,12.0,300.0,310.6,300.6
56,12Z,2,Dec,1985,4,700.0,3115.0,6.2,,,,270.0,20.0,309.3,,309.3
57,12Z,2,Dec,1985,5,500.0,5810.0,-7.1,,,,200.0,35.0,324.3,,324.3
58,12Z,2,Dec,1985,6,400.0,7510.0,-20.9,,,,231.0,42.0,327.7,,327.7
59,12Z,2,Dec,1985,7,300.0,9560.0,-37.3,,,,270.0,51.0,332.7,,332.7
61,12Z,2,Dec,1985,9,250.0,10800.0,-45.7,,,,260.0,37.0,338.0,,338.0
62,12Z,2,Dec,1985,10,200.0,12250.0,-55.3,,,,230.0,58.0,345.0,,345.0
68,12Z,3,Dec,1985,1,1000.0,115.0,23.8,8.8,38.0,7.15,320.0,8.0,296.9,318.1,298.2
71,12Z,3,Dec,1985,4,850.0,1499.0,10.2,-4.8,34.0,3.16,315.0,11.0,296.8,306.6,297.4
74,12Z,3,Dec,1985,7,700.0,3096.0,5.0,,,,290.0,21.0,308.0,,308.0
76,12Z,3,Dec,1985,9,600.0,4340.0,-0.9,,,,281.0,30.0,315.0,,315.0
77,12Z,3,Dec,1985,10,500.0,5770.0,-10.5,,,,270.0,41.0,320.2,,320.2
79,12Z,3,Dec,1985,12,400.0,7440.0,-24.1,,,,270.0,51.0,323.6,,323.6
81,12Z,3,Dec,1985,14,300.0,9500.0,-35.1,,,,260.0,64.0,335.8,,335.8
82,12Z,3,Dec,1985,15,250.0,10740.0,-47.3,,,,255.0,93.0,335.6,,335.6
84,12Z,3,Dec,1985,17,200.0,12180.0,-58.9,,,,260.0,58.0,339.3,,339.3
89,00Z,4,Dec,1985,1,1000.0,126.0,16.0,10.0,68.0,7.76,335.0,15.0,289.1,311.3,290.5
92,00Z,4,Dec,1985,4,850.0,1491.0,8.0,0.0,57.0,4.52,335.0,12.0,294.5,308.0,295.3
95,00Z,4,Dec,1985,7,700.0,3086.0,7.6,,,,300.0,19.0,310.9,,310.9
97,00Z,4,Dec,1985,9,600.0,4336.0,0.2,,,,300.0,30.0,316.3,,316.3
99,00Z,4,Dec,1985,11,500.0,5770.0,-8.3,,,,300.0,43.0,322.9,,322.9
101,00Z,4,Dec,1985,13,400.0,7470.0,-20.1,,,,300.0,45.0,328.8,,328.8
103,00Z,4,Dec,1985,15,300.0,9540.0,-36.7,,,,290.0,47.0,333.5,,333.5
105,00Z,4,Dec,1985,17,250.0,10770.0,-47.3,,,,280.0,51.0,335.6,,335.6
106,00Z,4,Dec,1985,18,200.0,12210.0,-58.7,,,,270.0,64.0,339.6,,339.6
112,12Z,4,Dec,1985,1,1000.0,111.0,23.0,8.0,38.0,6.77,325.0,6.0,296.1,316.2,297.4
114,12Z,4,Dec,1985,3,850.0,1494.0,10.0,-11.0,22.0,1.95,310.0,10.0,296.6,302.8,297.0
116,12Z,4,Dec,1985,5,700.0,3095.0,7.4,,,,315.0,19.0,310.6,,310.6
118,12Z,4,Dec,1985,7,600.0,4346.0,0.8,,,,313.0,30.0,317.0,,317.0
121,12Z,4,Dec,1985,10,500.0,5780.0,-9.7,,,,310.0,42.0,321.1,,321.1
123,12Z,4,Dec,1985,12,400.0,7470.0,-22.5,,,,300.0,47.0,325.7,,325.7
124,12Z,4,Dec,1985,13,300.0,9570.0,-40.5,,,,280.0,49.0,328.2,,328.2
126,12Z,4,Dec,1985,15,250.0,10720.0,-50.9,,,,280.0,62.0,330.3,,330.3
128,12Z,4,Dec,1985,17,200.0,12143.0,-59.9,,,,280.0,66.0,337.8,,337.8
135,00Z,5,Dec,1985,1,1000.0,124.0,13.8,9.6,76.0,7.55,340.0,8.0,286.9,308.3,288.3
136,00Z,5,Dec,1985,2,850.0,1495.0,8.6,-1.4,49.0,4.08,305.0,86.0,295.1,307.4,295.9
139,00Z,5,Dec,1985,5,700.0,3097.0,7.6,,,,285.0,20.0,310.9,,310.9
140,00Z,5,Dec,1985,6,600.0,4355.0,2.6,,,,288.0,25.0,319.1,,319.1
142,00Z,5,Dec,1985,8,400.0,7510.0,-18.1,,,,295.0,37.0,331.4,,331.4
144,00Z,5,Dec,1985,10,300.0,9590.0,-35.1,,,,300.0,45.0,335.8,,335.8
145,00Z,5,Dec,1985,11,250.0,10830.0,-47.7,,,,296.0,50.0,335.0,,335.0
147,00Z,5,Dec,1985,13,200.0,12270.0,-55.1,,,,290.0,56.0,345.4,,345.4
161,12Z,5,Dec,1985,1,1000.0,103.0,22.6,7.6,38.0,6.59,360.0,4.0,295.8,315.2,296.9
163,12Z,5,Dec,1985,3,850.0,1483.0,10.0,-10.0,23.0,2.11,340.0,3.0,296.6,303.2,297.0
164,12Z,5,Dec,1985,4,700.0,3089.0,9.6,,,,305.0,26.0,313.1,,313.1
