,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
2,00Z,1,Feb,1985,2,1000.0,107.0,19.8,17.0,84.0,12.34,300.0,13.0,292.9,328.2,295.1
5,00Z,1,Feb,1985,5,850.0,1470.0,3.2,1.0,85.0,4.86,305.0,17.0,289.5,303.6,290.3
7,00Z,1,Feb,1985,7,700.0,3030.0,-4.3,-5.0,95.0,3.78,240.0,21.0,297.7,309.2,298.4
9,00Z,1,Feb,1985,9,600.0,4231.0,-11.1,-14.3,77.0,2.12,247.0,27.0,303.2,310.1,303.6
12,00Z,1,Feb,1985,12,500.0,5600.0,-22.1,-28.1,58.0,0.76,255.0,33.0,306.0,308.7,306.2
13,00Z,1,Feb,1985,13,400.0,7210.0,-32.1,-36.6,64.0,0.42,265.0,41.0,313.2,314.7,313.3
19,12Z,1,Feb,1985,1,1000.0,94.0,22.2,16.2,69.0,11.71,320.0,13.0,295.4,329.2,297.4
21,12Z,1,Feb,1985,3,850.0,1490.0,13.6,0.6,41.0,4.72,270.0,19.0,300.4,314.8,301.2
24,12Z,1,Feb,1985,6,700.0,2992.0,0.4,-6.6,59.0,3.35,335.0,13.0,302.9,313.4,303.5
26,12Z,1,Feb,1985,8,600.0,4209.0,-7.7,-9.5,87.0,3.12,291.0,34.0,307.2,317.1,307.7
28,12Z,1,Feb,1985,10,500.0,5600.0,-16.5,-25.5,46.0,0.97,240.0,59.0,312.9,316.2,313.0
31,12Z,1,Feb,1985,13,400.0,7250.0,-26.3,-39.3,28.0,0.32,260.0,60.0,320.7,321.9,320.8
34,12Z,1,Feb,1985,16,300.0,9300.0,-33.1,,,,260.0,105.0,338.6,,338.6
35,12Z,1,Feb,1985,17,250.0,10560.0,-40.1,,,,270.0,93.0,346.3,,346.3
37,12Z,1,Feb,1985,19,200.0,12040.0,-55.7,,,,260.0,134.0,344.4,,344.4
47,00Z,2,Feb,1985,1,1000.0,95.0,-10.0,,,,,,263.1,,263.1
52,00Z,2,Feb,1985,6,600.0,4236.0,-9.5,,,,,,305.1,,305.1
55,12Z,2,Feb,1985,1,1000.0,94.0,25.0,16.0,57.0,11.56,315.0,2.0,298.1,332.0,300.2
