,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Mar,1985,1,1000.0,57.0,20.4,20.4,100.0,15.33,260.0,12.0,293.6,337.4,296.2
5,00Z,1,Mar,1985,5,850.0,1457.0,17.8,-3.2,24.0,3.57,305.0,54.0,304.8,316.1,305.4
8,00Z,1,Mar,1985,8,700.0,3087.0,9.8,-11.2,22.0,2.33,310.0,94.0,313.3,321.1,313.8
12,00Z,1,Mar,1985,12,500.0,5820.0,-4.1,,,,310.0,88.0,328.0,,328.0
13,00Z,1,Mar,1985,13,400.0,7540.0,-18.1,,,,310.0,98.0,331.4,,331.4
15,00Z,1,Mar,1985,15,300.0,9630.0,-31.9,,,,290.0,44.0,340.3,,340.3
16,00Z,1,Mar,1985,16,250.0,10890.0,-42.7,,,,275.0,50.0,342.4,,342.4
17,00Z,1,Mar,1985,17,200.0,12360.0,-54.7,,,,315.0,70.0,346.0,,346.0
27,12Z,1,Mar,1985,1,1000.0,43.0,31.8,7.8,22.0,6.68,250.0,8.0,304.9,325.5,306.2
30,12Z,1,Mar,1985,4,850.0,1466.0,18.4,-5.6,19.0,2.98,235.0,9.0,305.4,314.9,306.0
33,12Z,1,Mar,1985,7,700.0,3092.0,13.4,-12.6,15.0,2.08,315.0,24.0,317.3,324.4,317.7
35,12Z,1,Mar,1985,9,600.0,4369.0,5.8,,,,313.0,31.0,322.8,,322.8
37,12Z,1,Mar,1985,11,500.0,5830.0,-4.3,,,,310.0,40.0,327.7,,327.7
40,12Z,1,Mar,1985,14,400.0,7550.0,-16.7,,,,285.0,24.0,333.2,,333.2
41,12Z,1,Mar,1985,15,300.0,9650.0,-31.3,,,,270.0,29.0,341.1,,341.1
43,12Z,1,Mar,1985,17,250.0,10920.0,-42.5,,,,245.0,25.0,342.7,,342.7
45,12Z,1,Mar,1985,19,200.0,12380.0,-57.5,,,,285.0,22.0,341.6,,341.6
47,00Z,2,Mar,1985,1,1000.0,58.0,21.2,20.1,93.0,15.05,215.0,12.0,294.4,337.5,297.0
50,00Z,2,Mar,1985,4,850.0,1462.0,17.4,-3.6,24.0,3.46,295.0,15.0,304.4,315.3,305.0
53,00Z,2,Mar,1985,7,700.0,3080.0,8.6,,,,295.0,30.0,312.0,,312.0
55,00Z,2,Mar,1985,9,600.0,4348.0,3.6,,,,300.0,38.0,320.2,,320.2
58,00Z,2,Mar,1985,12,500.0,5800.0,-6.3,,,,305.0,47.0,325.3,,325.3
60,00Z,2,Mar,1985,14,400.0,7510.0,-18.1,,,,305.0,32.0,331.4,,331.4
62,00Z,2,Mar,1985,16,300.0,9590.0,-33.3,,,,255.0,31.0,338.3,,338.3
63,00Z,2,Mar,1985,17,250.0,10850.0,-41.1,,,,255.0,28.0,344.8,,344.8
64,00Z,2,Mar,1985,18,200.0,12330.0,-51.3,,,,255.0,35.0,351.4,,351.4
69,12Z,2,Mar,1985,1,1000.0,34.0,31.6,11.6,29.0,8.65,290.0,4.0,304.8,331.0,306.3
71,12Z,2,Mar,1985,3,850.0,1454.0,18.2,2.2,34.0,5.3,295.0,4.0,305.2,321.6,306.2
74,12Z,2,Mar,1985,6,700.0,3080.0,11.0,,,,310.0,39.0,314.6,,314.6
75,12Z,2,Mar,1985,7,600.0,4351.0,4.6,,,,310.0,36.0,321.4,,321.4
76,12Z,2,Mar,1985,8,500.0,5810.0,-5.3,,,,310.0,32.0,326.5,,326.5
77,12Z,2,Mar,1985,9,400.0,7520.0,-20.1,,,,305.0,41.0,328.8,,328.8
78,12Z,2,Mar,1985,10,300.0,9580.0,-32.9,,,,275.0,45.0,338.9,,338.9
79,12Z,2,Mar,1985,11,250.0,10840.0,-41.5,,,,280.0,54.0,344.2,,344.2
80,12Z,2,Mar,1985,12,200.0,12320.0,-51.9,,,,250.0,38.0,350.4,,350.4
89,00Z,3,Mar,1985,1,1000.0,47.0,21.6,20.2,92.0,15.14,180.0,4.0,294.8,338.2,297.4
93,00Z,3,Mar,1985,5,850.0,1445.0,15.0,-5.0,25.0,3.12,300.0,7.0,301.9,311.6,302.4
96,00Z,3,Mar,1985,8,700.0,3045.0,5.2,-14.8,22.0,1.74,310.0,33.0,308.2,314.0,308.5
