,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Apr,1985,1,1000.0,88.0,26.0,23.0,84.0,18.05,220.0,9.0,299.1,352.0,302.4
3,00Z,1,Apr,1985,3,850.0,1493.0,15.8,0.8,36.0,4.79,220.0,6.0,302.7,317.5,303.6
4,00Z,1,Apr,1985,4,700.0,3105.0,3.0,-6.0,52.0,3.51,250.0,17.0,305.8,316.9,306.4
8,00Z,1,Apr,1985,8,600.0,4343.0,-4.1,-11.1,58.0,2.74,243.0,17.0,311.3,320.3,311.9
10,00Z,1,Apr,1985,10,500.0,5760.0,-13.9,-21.9,51.0,1.33,235.0,18.0,316.0,320.7,316.3
11,00Z,1,Apr,1985,11,400.0,7420.0,-24.3,-36.3,32.0,0.43,255.0,24.0,323.3,325.0,323.4
13,00Z,1,Apr,1985,13,300.0,9470.0,-34.5,-45.5,32.0,0.22,240.0,57.0,336.6,337.5,336.7
16,00Z,1,Apr,1985,16,250.0,10730.0,-43.1,,,,251.0,67.0,341.9,,341.9
18,00Z,1,Apr,1985,18,200.0,12200.0,-54.9,,,,240.0,66.0,345.7,,345.7
21,12Z,1,Apr,1985,1,1000.0,76.0,35.8,20.8,42.0,15.73,300.0,3.0,308.9,357.0,311.9
23,12Z,1,Apr,1985,3,850.0,1526.0,23.4,15.4,61.0,13.11,280.0,8.0,310.6,351.0,313.1
26,12Z,1,Apr,1985,6,700.0,3176.0,10.8,6.4,74.0,8.69,265.0,10.0,314.4,341.8,316.1
29,12Z,1,Apr,1985,9,600.0,4442.0,2.0,,,,247.0,17.0,318.4,,318.4
31,12Z,1,Apr,1985,11,500.0,5890.0,-6.5,,,,225.0,25.0,325.1,,325.1
33,12Z,1,Apr,1985,13,400.0,7600.0,-17.1,,,,235.0,32.0,332.7,,332.7
34,12Z,1,Apr,1985,14,300.0,9700.0,-32.1,,,,230.0,51.0,340.0,,340.0
35,12Z,1,Apr,1985,15,250.0,10960.0,-41.1,,,,240.0,65.0,344.8,,344.8
37,12Z,1,Apr,1985,17,200.0,12440.0,-51.9,,,,245.0,62.0,350.4,,350.4
42,00Z,2,Apr,1985,1,1000.0,90.0,26.4,24.0,87.0,19.21,190.0,6.0,299.6,356.0,303.0
45,00Z,2,Apr,1985,4,850.0,1532.0,25.0,14.0,50.0,11.96,220.0,5.0,312.3,349.5,314.6
48,00Z,2,Apr,1985,7,700.0,3188.0,12.8,5.8,62.0,8.33,285.0,12.0,316.6,343.2,318.2
50,00Z,2,Apr,1985,9,600.0,4459.0,3.8,-3.2,60.0,5.06,264.0,20.0,320.5,337.2,321.4
52,00Z,2,Apr,1985,11,500.0,5920.0,-3.5,-19.5,28.0,1.64,240.0,30.0,328.7,334.6,329.0
53,00Z,2,Apr,1985,12,400.0,7650.0,-15.1,-29.1,29.0,0.87,245.0,42.0,335.3,338.6,335.4
56,00Z,2,Apr,1985,15,300.0,9760.0,-30.5,,,,245.0,58.0,342.3,,342.3
57,00Z,2,Apr,1985,16,250.0,11030.0,-39.5,,,,240.0,71.0,347.2,,347.2
59,00Z,2,Apr,1985,18,200.0,12530.0,-49.6,,,,245.0,63.0,354.1,,354.1
71,12Z,2,Apr,1985,1,1000.0,45.0,34.4,22.4,50.0,17.39,180.0,6.0,307.6,360.4,310.8
73,12Z,2,Apr,1985,3,850.0,1500.0,24.6,7.6,34.0,7.76,300.0,12.0,311.9,336.3,313.4
75,12Z,2,Apr,1985,5,700.0,3158.0,9.4,-0.6,50.0,5.26,265.0,15.0,312.9,329.7,313.9
78,12Z,2,Apr,1985,8,600.0,4414.0,1.8,,,,267.0,19.0,318.2,,318.2
80,12Z,2,Apr,1985,10,500.0,5860.0,-5.7,,,,270.0,24.0,326.0,,326.0
81,12Z,2,Apr,1985,11,400.0,7580.0,-15.7,,,,250.0,38.0,334.5,,334.5
83,12Z,2,Apr,1985,13,300.0,9690.0,-29.9,,,,240.0,42.0,343.1,,343.1
85,12Z,2,Apr,1985,15,250.0,10970.0,-39.1,,,,250.0,86.0,347.8,,347.8
86,12Z,2,Apr,1985,16,200.0,12480.0,-50.3,,,,250.0,63.0,352.9,,352.9
96,00Z,3,Apr,1985,1,1000.0,56.0,25.4,23.0,87.0,18.05,210.0,8.0,298.6,351.3,301.8
100,00Z,3,Apr,1985,5,850.0,1474.0,20.0,4.0,35.0,6.03,260.0,13.0,307.1,325.8,308.2
103,00Z,3,Apr,1985,8,700.0,3101.0,4.8,-2.2,60.0,4.67,270.0,18.0,307.8,322.5,308.6
106,00Z,3,Apr,1985,11,600.0,4338.0,-2.9,,,,265.0,20.0,312.7,,312.7
108,00Z,3,Apr,1985,13,500.0,5760.0,-11.1,,,,260.0,22.0,319.4,,319.4
110,00Z,3,Apr,1985,15,400.0,7440.0,-23.9,,,,250.0,19.0,323.8,,323.8
113,00Z,3,Apr,1985,18,300.0,9490.0,-37.1,,,,230.0,64.0,333.0,,333.0
116,12Z,3,Apr,1985,1,1000.0,36.0,35.4,19.4,39.0,14.39,315.0,4.0,308.6,352.5,311.2
117,12Z,3,Apr,1985,2,850.0,1483.0,23.2,1.2,23.0,4.93,295.0,12.0,310.4,326.1,311.4
118,12Z,3,Apr,1985,3,700.0,3131.0,10.0,,,,310.0,17.0,313.5,,313.5
119,12Z,3,Apr,1985,4,500.0,5830.0,-9.1,,,,270.0,29.0,321.9,,321.9
120,12Z,3,Apr,1985,5,400.0,7510.0,-22.5,,,,240.0,38.0,325.7,,325.7
121,12Z,3,Apr,1985,6,300.0,9550.0,-37.7,,,,240.0,80.0,332.1,,332.1
122,12Z,3,Apr,1985,7,250.0,10780.0,-47.1,,,,230.0,74.0,335.9,,335.9
123,12Z,3,Apr,1985,8,200.0,12220.0,-58.1,,,,240.0,83.0,340.6,,340.6
125,00Z,4,Apr,1985,1,1000.0,52.0,26.0,23.7,87.0,18.86,225.0,4.0,299.1,354.4,302.5
127,00Z,4,Apr,1985,3,850.0,1473.0,19.6,0.6,28.0,4.72,350.0,8.0,306.7,321.5,307.5
129,00Z,4,Apr,1985,5,700.0,3105.0,6.8,-6.2,39.0,3.45,325.0,18.0,310.0,321.1,310.6
