,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,May,1985,0,1000.0,2.0,,,,,,,,,
4,00Z,1,May,1985,4,850.0,1418.0,18.8,17.8,94.0,15.33,290.0,5.0,305.8,352.0,308.6
7,00Z,1,May,1985,7,700.0,3054.0,9.2,-6.8,32.0,3.3,320.0,39.0,312.6,323.4,313.3
10,00Z,1,May,1985,10,600.0,4312.0,-1.7,-6.4,70.0,3.97,313.0,39.0,314.1,327.0,314.9
14,00Z,1,May,1985,14,500.0,5740.0,-12.3,,,,305.0,39.0,318.0,,318.0
16,00Z,1,May,1985,16,400.0,7410.0,-21.1,,,,300.0,44.0,327.5,,327.5
17,00Z,1,May,1985,17,300.0,9480.0,-34.5,,,,295.0,58.0,336.6,,336.6
19,00Z,1,May,1985,19,250.0,10730.0,-42.1,,,,300.0,63.0,343.3,,343.3
20,00Z,1,May,1985,20,200.0,12220.0,-50.9,,,,295.0,49.0,352.0,,352.0
25,12Z,1,May,1985,0,1000.0,-33.0,,,,,,,,,
29,12Z,1,May,1985,4,850.0,1407.0,20.2,19.6,96.0,17.21,250.0,19.0,307.3,359.4,310.4
32,12Z,1,May,1985,7,700.0,3062.0,11.8,-4.2,32.0,4.02,315.0,41.0,315.5,328.7,316.3
34,12Z,1,May,1985,9,600.0,4326.0,1.8,-13.2,32.0,2.32,313.0,36.0,318.2,326.0,318.6
37,12Z,1,May,1985,12,500.0,5780.0,-5.1,,,,310.0,31.0,326.8,,326.8
38,12Z,1,May,1985,13,400.0,7490.0,-17.1,,,,290.0,32.0,332.7,,332.7
41,12Z,1,May,1985,16,300.0,9590.0,-30.5,,,,305.0,56.0,342.3,,342.3
42,12Z,1,May,1985,17,250.0,10870.0,-40.1,,,,295.0,52.0,346.3,,346.3
43,12Z,1,May,1985,18,200.0,12350.0,-51.5,,,,285.0,51.0,351.1,,351.1
52,00Z,2,May,1985,0,1000.0,6.0,26.6,26.3,98.0,22.14,90.0,2.0,299.8,365.0,303.7
54,00Z,2,May,1985,2,850.0,1435.0,21.6,15.6,69.0,13.29,290.0,8.0,308.8,349.3,311.2
56,00Z,2,May,1985,4,700.0,3089.0,10.0,0.0,50.0,5.5,290.0,22.0,313.5,331.1,314.6
59,00Z,2,May,1985,7,600.0,4345.0,-0.9,-7.9,59.0,3.53,295.0,22.0,315.0,326.6,315.7
62,00Z,2,May,1985,10,500.0,5780.0,-7.1,,,,300.0,23.0,324.3,,324.3
63,00Z,2,May,1985,11,400.0,7480.0,-18.9,,,,300.0,39.0,330.3,,330.3
65,00Z,2,May,1985,13,300.0,9560.0,-33.7,,,,290.0,54.0,337.8,,337.8
66,00Z,2,May,1985,14,250.0,10820.0,-43.5,,,,270.0,47.0,341.3,,341.3
68,00Z,2,May,1985,16,200.0,12290.0,-49.7,,,,265.0,56.0,353.9,,353.9
81,12Z,2,May,1985,0,1000.0,-34.0,,,,,,,,,
86,12Z,2,May,1985,5,850.0,1393.0,22.6,8.6,41.0,8.31,225.0,13.0,309.8,335.6,311.4
88,12Z,2,May,1985,7,700.0,3037.0,9.0,-11.0,23.0,2.37,285.0,33.0,312.4,320.3,312.9
92,12Z,2,May,1985,11,600.0,4271.0,-0.7,-14.2,35.0,2.14,285.0,32.0,315.3,322.5,315.7
