,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,14,Jun,1985,0,1000.0,-38.0,,,,,,,,,
2,12Z,14,Jun,1985,2,850.0,1479.0,18.4,17.6,95.0,15.13,30.0,5.0,305.4,350.9,308.2
4,12Z,14,Jun,1985,4,700.0,3019.0,9.6,9.0,96.0,10.4,25.0,15.0,313.1,345.5,315.0
6,12Z,14,Jun,1985,6,500.0,5740.0,-4.5,-6.3,87.0,4.8,100.0,18.0,327.5,343.8,328.4
7,12Z,14,Jun,1985,7,400.0,7440.0,-12.9,-15.0,84.0,3.0,140.0,17.0,338.1,349.0,338.8
8,12Z,14,Jun,1985,8,300.0,9610.0,-27.7,-50.1,10.0,0.13,140.0,17.0,346.2,346.8,346.2
9,12Z,14,Jun,1985,9,250.0,10900.0,-37.3,-72.3,1.0,0.01,140.0,15.0,350.5,350.5,350.5
10,12Z,14,Jun,1985,10,200.0,12410.0,-49.5,,,,110.0,7.0,354.2,,354.2
12,00Z,15,Jun,1985,0,1000.0,-52.0,,,,,,,,,
15,00Z,15,Jun,1985,3,850.0,1361.0,17.6,16.6,94.0,14.18,310.0,17.0,304.6,347.1,307.2
17,00Z,15,Jun,1985,5,700.0,2997.0,9.0,7.5,90.0,9.38,325.0,22.0,312.4,341.7,314.2
18,00Z,15,Jun,1985,6,600.0,4261.0,2.2,1.8,97.0,7.32,,,318.6,342.2,320.0
19,12Z,15,Jun,1985,0,1000.0,-69.0,,,,,,,,,
22,12Z,15,Jun,1985,3,850.0,1352.0,18.0,17.7,98.0,15.23,295.0,16.0,305.0,350.7,307.8
25,12Z,15,Jun,1985,6,700.0,2996.0,9.2,9.0,99.0,10.4,315.0,13.0,312.6,345.0,314.6
29,12Z,15,Jun,1985,10,500.0,5720.0,-4.7,-8.3,76.0,4.11,335.0,15.0,327.2,341.3,328.1
31,12Z,15,Jun,1985,12,400.0,7450.0,-13.7,-21.7,51.0,1.7,305.0,9.0,337.1,343.4,337.4
33,12Z,15,Jun,1985,14,300.0,9570.0,-28.9,-40.9,31.0,0.36,235.0,5.0,344.5,346.0,344.6
35,12Z,15,Jun,1985,16,250.0,10840.0,-39.5,,,,110.0,9.0,347.2,,347.2
36,12Z,15,Jun,1985,17,200.0,12320.0,-53.1,,,,90.0,12.0,348.5,,348.5
49,00Z,16,Jun,1985,0,1000.0,-49.0,,,,,,,,,
52,00Z,16,Jun,1985,3,850.0,1371.0,19.0,17.2,89.0,14.75,285.0,14.0,306.0,350.5,308.7
54,00Z,16,Jun,1985,5,700.0,3022.0,10.4,10.4,100.0,11.44,310.0,29.0,314.0,349.7,316.1
56,00Z,16,Jun,1985,7,600.0,4294.0,4.0,3.0,93.0,7.98,317.0,22.0,320.7,346.6,322.2
58,00Z,16,Jun,1985,9,500.0,5760.0,-3.1,-4.7,89.0,5.43,325.0,13.0,329.2,347.6,330.3
60,00Z,16,Jun,1985,11,400.0,7500.0,-12.5,-14.1,88.0,3.23,285.0,17.0,338.6,350.3,339.3
61,00Z,16,Jun,1985,12,300.0,9630.0,-26.1,-33.1,52.0,0.79,295.0,11.0,348.5,351.7,348.6
63,00Z,16,Jun,1985,14,250.0,10920.0,-37.1,-47.1,35.0,0.22,40.0,7.0,350.8,351.7,350.8
65,00Z,16,Jun,1985,16,200.0,12410.0,-51.5,,,,60.0,9.0,351.1,,351.1
75,12Z,16,Jun,1985,0,1000.0,-60.0,,,,,,,,,
79,12Z,16,Jun,1985,4,850.0,1380.0,22.6,19.0,80.0,16.56,295.0,17.0,309.8,360.5,312.9
82,12Z,16,Jun,1985,7,700.0,3047.0,12.0,-1.0,41.0,5.11,310.0,27.0,315.7,332.3,316.7
84,12Z,16,Jun,1985,9,600.0,4321.0,6.8,-10.2,29.0,2.95,303.0,24.0,323.9,334.1,324.5
87,12Z,16,Jun,1985,12,500.0,5790.0,-2.3,-19.3,26.0,1.67,295.0,21.0,330.2,336.2,330.5
89,12Z,16,Jun,1985,14,400.0,7530.0,-12.1,-26.1,30.0,1.15,275.0,13.0,339.2,343.6,339.4
91,12Z,16,Jun,1985,16,300.0,9670.0,-25.5,,,,300.0,11.0,349.3,,349.3
93,12Z,16,Jun,1985,18,250.0,10970.0,-36.1,,,,315.0,6.0,352.2,,352.2
94,12Z,16,Jun,1985,19,200.0,12470.0,-49.7,,,,55.0,9.0,353.9,,353.9
105,00Z,17,Jun,1985,0,1000.0,-59.0,,,,,,,,,
107,00Z,17,Jun,1985,2,850.0,1389.0,25.2,15.2,54.0,12.94,260.0,23.0,312.5,352.7,315.0
