,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Jul,1985,0,1000.0,-31.0,,,,,,,,,
3,00Z,1,Jul,1985,3,850.0,1388.0,18.0,14.8,82.0,12.61,245.0,27.0,305.0,342.9,307.3
5,00Z,1,Jul,1985,5,700.0,3024.0,8.0,5.0,81.0,7.87,240.0,18.0,311.3,335.9,312.8
6,00Z,1,Jul,1985,6,600.0,4289.0,2.6,-1.3,75.0,5.83,213.0,12.0,319.1,338.1,320.2
8,00Z,1,Jul,1985,8,500.0,5750.0,-4.3,-9.1,69.0,3.86,180.0,5.0,327.7,341.0,328.5
11,00Z,1,Jul,1985,11,400.0,7480.0,-13.9,-18.9,66.0,2.16,190.0,4.0,336.8,344.7,337.3
12,00Z,1,Jul,1985,12,300.0,9610.0,-28.5,-37.5,42.0,0.51,125.0,17.0,345.1,347.2,345.2
13,00Z,1,Jul,1985,13,250.0,10890.0,-38.9,,,,110.0,28.0,348.1,,348.1
14,00Z,1,Jul,1985,14,200.0,12370.0,-52.9,,,,90.0,32.0,348.8,,348.8
26,12Z,1,Jul,1985,0,1000.0,-34.0,,,,,,,,,
29,12Z,1,Jul,1985,3,850.0,1387.0,19.6,17.6,88.0,15.13,265.0,40.0,306.7,352.4,309.4
31,12Z,1,Jul,1985,5,700.0,3037.0,12.0,11.8,99.0,12.58,260.0,17.0,315.7,355.3,318.1
33,12Z,1,Jul,1985,7,600.0,4317.0,6.4,6.0,97.0,9.87,246.0,15.0,323.5,355.6,325.4
35,12Z,1,Jul,1985,9,500.0,5790.0,-1.7,-4.0,84.0,5.73,230.0,13.0,330.9,350.4,332.1
37,12Z,1,Jul,1985,11,400.0,7540.0,-10.1,-17.1,57.0,2.52,145.0,19.0,341.8,351.1,342.3
39,12Z,1,Jul,1985,13,300.0,9720.0,-20.7,-29.7,44.0,1.09,100.0,16.0,356.1,360.5,356.3
41,00Z,2,Jul,1985,0,1000.0,-35.0,,,,,,,,,
44,00Z,2,Jul,1985,3,850.0,1376.0,18.6,18.4,99.0,15.93,265.0,15.0,305.6,353.6,308.5
45,00Z,2,Jul,1985,4,700.0,3002.0,11.8,11.4,97.0,12.24,290.0,5.0,315.5,354.0,317.8
47,00Z,2,Jul,1985,6,600.0,4292.0,5.4,5.2,99.0,9.33,208.0,11.0,322.3,352.6,324.1
50,00Z,2,Jul,1985,9,500.0,5770.0,-4.9,-6.7,87.0,4.66,110.0,19.0,327.0,342.8,327.9
