,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Aug,1985,0,1000.0,-25.0,,,,,,,,,
3,00Z,1,Aug,1985,3,850.0,1399.0,19.2,18.2,94.0,15.73,85.0,25.0,306.2,353.7,309.1
5,00Z,1,Aug,1985,5,700.0,3053.0,11.2,8.2,82.0,9.84,70.0,30.0,314.9,345.8,316.7
7,00Z,1,Aug,1985,7,600.0,4331.0,5.0,1.0,75.0,6.91,77.0,24.0,321.9,344.5,323.2
9,00Z,1,Aug,1985,9,500.0,5800.0,-3.3,-10.3,58.0,3.51,85.0,17.0,328.9,341.1,329.6
11,00Z,1,Aug,1985,11,400.0,7530.0,-14.1,-24.4,41.0,1.33,120.0,10.0,336.6,341.6,336.9
13,00Z,1,Aug,1985,13,300.0,9650.0,-29.1,-40.1,34.0,0.39,125.0,15.0,344.2,345.9,344.3
15,00Z,1,Aug,1985,15,250.0,10930.0,-39.7,,,,100.0,17.0,346.9,,346.9
16,00Z,1,Aug,1985,16,200.0,12410.0,-53.1,,,,90.0,13.0,348.5,,348.5
23,12Z,1,Aug,1985,0,1000.0,-39.0,,,,,,,,,
27,12Z,1,Aug,1985,4,850.0,1380.0,19.0,17.0,88.0,14.56,130.0,30.0,306.0,349.9,308.7
28,12Z,1,Aug,1985,5,700.0,3023.0,11.2,8.0,81.0,9.71,125.0,25.0,314.9,345.4,316.7
30,12Z,1,Aug,1985,7,600.0,4295.0,5.2,0.8,73.0,6.81,123.0,25.0,322.1,344.4,323.4
31,12Z,1,Aug,1985,8,500.0,5760.0,-2.7,-10.7,54.0,3.4,120.0,25.0,329.7,341.5,330.4
32,12Z,1,Aug,1985,9,400.0,7490.0,-14.9,-27.9,32.0,0.97,120.0,39.0,335.5,339.2,335.7
33,00Z,2,Aug,1985,0,1000.0,-3.0,,,,,,,,,
36,00Z,2,Aug,1985,3,850.0,1417.0,18.2,17.3,94.0,14.84,165.0,25.0,305.2,349.8,307.9
38,00Z,2,Aug,1985,5,700.0,3060.0,9.6,6.3,80.0,8.63,155.0,28.0,313.1,340.1,314.7
41,00Z,2,Aug,1985,8,600.0,4325.0,2.8,-7.2,48.0,3.73,164.0,29.0,319.3,331.8,320.0
44,00Z,2,Aug,1985,11,500.0,5780.0,-5.1,-16.1,42.0,2.19,175.0,30.0,326.8,334.5,327.2
47,00Z,2,Aug,1985,14,400.0,7500.0,-16.3,-28.3,35.0,0.93,170.0,26.0,333.7,337.3,333.9
49,00Z,2,Aug,1985,16,300.0,9600.0,-33.3,,,,145.0,21.0,338.3,,338.3
50,00Z,2,Aug,1985,17,250.0,10850.0,-44.1,,,,125.0,21.0,340.4,,340.4
51,00Z,2,Aug,1985,18,200.0,12310.0,-56.9,,,,70.0,23.0,342.5,,342.5
57,12Z,2,Aug,1985,0,1000.0,6.0,28.0,26.6,92.0,22.55,180.0,6.0,301.1,368.0,305.2
59,12Z,2,Aug,1985,2,850.0,1438.0,20.8,16.0,74.0,13.64,175.0,15.0,307.9,349.4,310.4
61,12Z,2,Aug,1985,4,700.0,3091.0,11.0,3.0,58.0,6.83,190.0,15.0,314.6,336.4,315.9
63,12Z,2,Aug,1985,6,600.0,4361.0,3.0,-4.0,60.0,4.77,211.0,14.0,319.5,335.2,320.5
65,12Z,2,Aug,1985,8,500.0,5810.0,-7.1,-22.1,29.0,1.31,235.0,12.0,324.3,329.0,324.6
67,12Z,2,Aug,1985,10,400.0,7510.0,-19.1,-30.1,37.0,0.79,190.0,13.0,330.1,333.1,330.2
70,00Z,3,Aug,1985,1,1000.0,18.0,26.4,25.9,97.0,21.6,180.0,6.0,299.6,363.1,303.4
72,00Z,3,Aug,1985,3,850.0,1436.0,17.6,15.6,88.0,13.29,205.0,12.0,304.6,344.4,307.0
74,00Z,3,Aug,1985,5,700.0,3075.0,9.4,5.0,74.0,7.87,180.0,11.0,312.9,337.6,314.4
75,00Z,3,Aug,1985,6,600.0,4345.0,4.2,-4.8,52.0,4.49,212.0,11.0,320.9,335.8,321.8
77,00Z,3,Aug,1985,8,500.0,5810.0,-4.1,-16.1,39.0,2.19,250.0,10.0,328.0,335.7,328.4
79,00Z,3,Aug,1985,10,400.0,7530.0,-15.5,-28.5,32.0,0.92,350.0,11.0,334.8,338.2,334.9
81,00Z,3,Aug,1985,12,300.0,9660.0,-27.9,,,,60.0,6.0,345.9,,345.9
82,00Z,3,Aug,1985,13,250.0,10940.0,-38.3,,,,95.0,15.0,349.0,,349.0
84,00Z,3,Aug,1985,15,200.0,12430.0,-50.9,,,,50.0,23.0,352.0,,352.0
86,12Z,3,Aug,1985,0,1000.0,6.0,30.0,26.1,80.0,21.87,180.0,6.0,303.1,368.6,307.1
88,12Z,3,Aug,1985,2,850.0,1433.0,21.0,17.6,81.0,15.13,210.0,8.0,308.1,354.2,310.9
90,12Z,3,Aug,1985,4,700.0,3087.0,12.2,7.5,73.0,9.38,200.0,6.0,316.0,345.6,317.8
93,12Z,3,Aug,1985,7,600.0,4366.0,5.4,-8.6,36.0,3.35,257.0,8.0,322.3,333.7,323.0
95,12Z,3,Aug,1985,9,500.0,5830.0,-4.1,-22.1,23.0,1.31,325.0,11.0,328.0,332.8,328.2
97,12Z,3,Aug,1985,11,400.0,7560.0,-16.1,-25.1,46.0,1.25,35.0,13.0,334.0,338.6,334.2
100,12Z,3,Aug,1985,14,300.0,9660.0,-31.9,,,,80.0,12.0,340.3,,340.3
101,12Z,3,Aug,1985,15,250.0,10920.0,-43.7,,,,65.0,18.0,341.0,,341.0
102,12Z,3,Aug,1985,16,200.0,12380.0,-58.1,,,,55.0,20.0,340.6,,340.6
113,00Z,4,Aug,1985,1,1000.0,19.0,27.0,26.4,97.0,22.27,180.0,4.0,300.1,365.9,304.1
115,00Z,4,Aug,1985,3,850.0,1440.0,19.4,19.0,98.0,16.56,330.0,6.0,306.4,356.5,309.5
117,00Z,4,Aug,1985,5,700.0,3082.0,10.2,9.4,95.0,10.69,335.0,12.0,313.8,347.2,315.8
119,00Z,4,Aug,1985,7,500.0,5810.0,-5.1,-9.1,73.0,3.86,50.0,13.0,326.8,340.0,327.5
120,00Z,4,Aug,1985,8,400.0,7530.0,-14.7,-24.7,42.0,1.3,60.0,15.0,335.8,340.7,336.1
121,00Z,4,Aug,1985,9,300.0,9650.0,-29.5,,,,55.0,14.0,343.7,,343.7
122,00Z,4,Aug,1985,10,250.0,10930.0,-38.5,,,,65.0,13.0,348.7,,348.7
123,00Z,4,Aug,1985,11,200.0,12430.0,-49.5,,,,125.0,14.0,354.2,,354.2
130,12Z,4,Aug,1985,0,1000.0,0.0,,,,,,,,,
134,12Z,4,Aug,1985,4,850.0,1430.0,21.4,12.4,56.0,10.75,320.0,7.0,308.6,341.5,310.5
136,12Z,4,Aug,1985,6,700.0,3086.0,11.6,2.6,54.0,6.64,65.0,10.0,315.3,336.5,316.6
138,12Z,4,Aug,1985,8,600.0,4360.0,3.6,-7.4,44.0,3.67,67.0,11.0,320.2,332.5,320.9
141,12Z,4,Aug,1985,11,500.0,5820.0,-5.1,-12.1,58.0,3.04,70.0,13.0,326.8,337.3,327.4
142,12Z,4,Aug,1985,12,400.0,7540.0,-15.3,-27.3,35.0,1.02,80.0,12.0,335.0,338.9,335.2
143,12Z,4,Aug,1985,13,300.0,9650.0,-31.1,,,,80.0,13.0,341.4,,341.4
144,00Z,5,Aug,1985,0,1000.0,-4.0,,,,,,,,,
147,00Z,5,Aug,1985,3,850.0,1419.0,19.8,17.1,84.0,14.65,50.0,18.0,306.9,351.2,309.6
148,00Z,5,Aug,1985,4,700.0,3068.0,10.4,8.1,86.0,9.77,55.0,21.0,314.0,344.6,315.8
149,00Z,5,Aug,1985,5,600.0,4338.0,4.0,0.8,80.0,6.81,55.0,19.0,320.7,342.9,322.0
151,00Z,5,Aug,1985,7,500.0,5800.0,-3.5,-8.0,71.0,4.21,55.0,17.0,328.7,343.1,329.5
153,00Z,5,Aug,1985,9,400.0,7540.0,-11.9,-25.9,30.0,1.16,90.0,10.0,339.4,343.9,339.7
155,00Z,5,Aug,1985,11,300.0,9690.0,-26.3,,,,125.0,9.0,348.2,,348.2
156,00Z,5,Aug,1985,12,250.0,10980.0,-36.1,,,,160.0,11.0,352.2,,352.2
157,00Z,5,Aug,1985,13,200.0,12580.0,-48.1,,,,240.0,11.0,356.4,,356.4
165,12Z,5,Aug,1985,0,1000.0,-35.0,,,,,,,,,
167,12Z,5,Aug,1985,2,850.0,1397.0,23.0,22.6,98.0,20.81,105.0,21.0,310.2,374.2,314.1
169,12Z,5,Aug,1985,4,700.0,3059.0,13.0,10.3,84.0,11.37,95.0,23.0,316.9,352.8,319.0
170,12Z,5,Aug,1985,5,600.0,4333.0,5.0,1.0,75.0,6.91,102.0,21.0,321.9,344.5,323.2
172,12Z,5,Aug,1985,7,500.0,5790.0,-4.3,-8.5,73.0,4.05,110.0,19.0,327.7,341.6,328.5
174,12Z,5,Aug,1985,9,400.0,7520.0,-13.1,-18.0,67.0,2.33,155.0,10.0,337.9,346.4,338.4
175,12Z,5,Aug,1985,10,300.0,9660.0,-27.3,-31.9,65.0,0.89,125.0,10.0,346.8,350.3,347.0
176,12Z,5,Aug,1985,11,250.0,10950.0,-36.5,-40.5,66.0,0.45,15.0,8.0,351.7,353.5,351.8
178,12Z,5,Aug,1985,13,200.0,12460.0,-49.1,,,,15.0,9.0,354.9,,354.9
182,00Z,6,Aug,1985,0,1000.0,-38.0,,,,,,,,,
