,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Sep,1985,1,1000.0,15.0,16.2,15.4,95.0,11.12,180.0,6.0,289.4,320.7,291.3
2,00Z,1,Sep,1985,2,850.0,1436.0,19.0,17.6,92.0,15.13,205.0,5.0,306.0,351.7,308.8
4,00Z,1,Sep,1985,4,700.0,3086.0,10.6,8.2,85.0,9.84,180.0,5.0,314.2,345.1,316.1
6,00Z,1,Sep,1985,6,600.0,4361.0,4.0,-0.9,70.0,6.01,159.0,10.0,320.7,340.4,321.9
9,00Z,1,Sep,1985,9,500.0,5820.0,-3.3,-11.3,54.0,3.24,135.0,17.0,328.9,340.2,329.6
10,00Z,1,Sep,1985,10,400.0,7550.0,-14.1,-30.1,25.0,0.79,110.0,22.0,336.6,339.6,336.7
13,00Z,1,Sep,1985,13,300.0,9670.0,-29.1,,,,105.0,17.0,344.2,,344.2
14,00Z,1,Sep,1985,14,250.0,10940.0,-40.3,,,,100.0,31.0,346.0,,346.0
15,00Z,1,Sep,1985,15,200.0,12420.0,-53.5,,,,90.0,45.0,347.9,,347.9
28,12Z,1,Sep,1985,0,1000.0,6.0,30.0,25.8,78.0,21.47,180.0,4.0,303.1,367.3,307.0
30,12Z,1,Sep,1985,2,850.0,1427.0,20.0,16.8,82.0,14.4,145.0,10.0,307.1,350.7,309.7
32,12Z,1,Sep,1985,4,700.0,3074.0,11.4,7.5,77.0,9.38,215.0,4.0,315.1,344.7,316.9
35,12Z,1,Sep,1985,7,600.0,4351.0,6.2,0.2,65.0,6.51,144.0,8.0,323.2,344.7,324.5
38,12Z,1,Sep,1985,10,500.0,5820.0,-2.1,-14.1,39.0,2.58,60.0,12.0,330.4,339.6,330.9
40,12Z,1,Sep,1985,12,400.0,7570.0,-12.5,,,,90.0,15.0,338.6,,338.6
42,12Z,2,Sep,1985,0,1000.0,6.0,29.4,26.6,85.0,22.55,180.0,4.0,302.6,369.9,306.6
44,12Z,2,Sep,1985,2,850.0,1438.0,21.2,19.0,87.0,16.56,255.0,,308.3,358.8,311.4
45,12Z,2,Sep,1985,3,700.0,3100.0,12.2,7.8,74.0,9.57,295.0,6.0,316.0,346.3,317.8
47,12Z,2,Sep,1985,5,600.0,4375.0,5.0,0.0,70.0,6.42,8.0,9.0,321.9,342.9,323.1
49,12Z,2,Sep,1985,7,500.0,5840.0,-3.3,-9.3,63.0,3.8,95.0,13.0,328.9,342.1,329.7
51,12Z,2,Sep,1985,9,400.0,7570.0,-13.3,-21.3,51.0,1.76,75.0,11.0,337.6,344.1,338.0
53,12Z,2,Sep,1985,11,300.0,9710.0,-28.1,-41.1,28.0,0.35,85.0,19.0,345.7,347.1,345.7
55,12Z,2,Sep,1985,13,250.0,10990.0,-38.5,,,,105.0,36.0,348.7,,348.7
56,12Z,2,Sep,1985,14,200.0,12470.0,-51.1,,,,65.0,44.0,351.7,,351.7
66,00Z,3,Sep,1985,0,1000.0,6.0,27.2,26.9,98.0,22.96,180.0,4.0,300.4,368.3,304.4
68,00Z,3,Sep,1985,2,850.0,1426.0,22.2,20.4,90.0,18.11,260.0,7.0,309.4,364.8,312.7
70,00Z,3,Sep,1985,4,700.0,3086.0,13.6,11.0,84.0,11.92,305.0,11.0,317.5,355.3,319.8
71,00Z,3,Sep,1985,5,600.0,4365.0,6.4,3.2,80.0,8.09,2.0,9.0,323.5,350.0,325.1
72,00Z,3,Sep,1985,6,500.0,5830.0,-3.3,-6.8,77.0,4.62,70.0,7.0,328.9,344.8,329.9
74,00Z,3,Sep,1985,8,400.0,7570.0,-12.9,-18.9,61.0,2.16,170.0,5.0,338.1,346.1,338.6
76,00Z,3,Sep,1985,10,300.0,9710.0,-27.5,-34.5,51.0,0.69,120.0,17.0,346.5,349.3,346.6
77,00Z,3,Sep,1985,11,250.0,11200.0,-37.9,-46.9,38.0,0.22,95.0,24.0,349.6,350.6,349.6
79,00Z,3,Sep,1985,13,200.0,12500.0,-51.1,,,,85.0,39.0,351.7,,351.7
86,12Z,3,Sep,1985,0,1000.0,-9.0,,,,,,,,,
89,12Z,3,Sep,1985,3,850.0,1415.0,21.0,19.8,93.0,17.43,195.0,8.0,308.1,361.1,311.3
91,12Z,3,Sep,1985,5,700.0,3065.0,12.4,9.0,80.0,10.4,305.0,4.0,316.2,349.1,318.2
93,12Z,3,Sep,1985,7,600.0,4291.0,-64.5,1.7,66017.0,7.29,346.0,9.0,241.4,257.8,242.5
96,12Z,3,Sep,1985,10,500.0,5820.0,-2.5,-7.5,69.0,4.38,35.0,15.0,329.9,345.0,330.8
99,12Z,3,Sep,1985,13,400.0,7560.0,-13.7,-16.5,79.0,2.65,45.0,10.0,337.1,346.7,337.6
100,12Z,3,Sep,1985,14,300.0,9690.0,-27.9,-33.9,56.0,0.73,80.0,17.0,345.9,348.9,346.1
101,12Z,3,Sep,1985,15,250.0,10970.0,-39.5,,,,40.0,17.0,347.2,,347.2
102,12Z,3,Sep,1985,16,200.0,12460.0,-53.5,,,,50.0,26.0,347.9,,347.9
106,00Z,4,Sep,1985,0,1000.0,-4.0,,,,,,,,,
109,00Z,4,Sep,1985,3,850.0,1421.0,20.4,19.1,92.0,16.67,315.0,3.0,307.5,358.1,310.6
110,00Z,4,Sep,1985,4,700.0,3079.0,12.0,10.0,88.0,11.14,160.0,3.0,315.7,350.8,317.9
112,00Z,4,Sep,1985,6,500.0,5830.0,-3.9,-12.9,50.0,2.85,205.0,9.0,328.2,338.2,328.8
113,00Z,4,Sep,1985,7,400.0,7550.0,-14.3,-29.3,27.0,0.85,135.0,12.0,336.3,339.6,336.5
114,00Z,4,Sep,1985,8,300.0,9670.0,-31.7,,,,90.0,20.0,340.6,,340.6
115,00Z,4,Sep,1985,9,250.0,10930.0,-42.3,,,,70.0,31.0,343.0,,343.0
116,00Z,4,Sep,1985,10,200.0,12400.0,-55.5,,,,75.0,35.0,344.7,,344.7
117,12Z,4,Sep,1985,0,1000.0,-15.0,,,,,,,,,
