,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,2,Jan,1987,1,1000.0,129.0,-10.3,-20.3,44.0,0.77,,,262.9,265.1,263.0
2,12Z,2,Jan,1987,2,850.0,1495.0,9.2,-7.8,29.0,2.51,,,295.8,303.6,296.2
3,12Z,2,Jan,1987,3,700.0,3075.0,-0.1,,,,,,302.3,,302.3
4,12Z,2,Jan,1987,4,500.0,5710.0,-12.9,,,,,,317.2,,317.2
5,12Z,2,Jan,1987,5,400.0,7370.0,-25.1,,,,,,322.3,,322.3
7,00Z,3,Jan,1987,1,1000.0,143.0,11.2,7.4,77.0,6.5,270.0,3.0,284.4,302.6,285.5
11,00Z,3,Jan,1987,5,850.0,1501.0,8.0,,,,300.0,16.0,294.5,,294.5
15,00Z,3,Jan,1987,9,700.0,3085.0,3.4,,,,305.0,37.0,306.2,,306.2
18,00Z,3,Jan,1987,12,600.0,4322.0,-3.3,,,,307.0,53.0,312.2,,312.2
21,00Z,3,Jan,1987,15,500.0,5750.0,-9.1,,,,310.0,72.0,321.9,,321.9
26,12Z,3,Jan,1987,1,1000.0,146.0,18.6,5.6,42.0,5.73,315.0,3.0,291.8,308.5,292.8
27,12Z,3,Jan,1987,2,850.0,1510.0,9.2,-8.8,27.0,2.32,320.0,15.0,295.8,303.0,296.2
28,12Z,3,Jan,1987,3,700.0,3106.0,4.0,,,,315.0,32.0,306.9,,306.9
29,12Z,3,Jan,1987,4,500.0,5770.0,-10.9,,,,300.0,50.0,319.7,,319.7
34,00Z,4,Jan,1987,1,1000.0,152.0,10.4,6.2,75.0,5.98,359.0,1.0,283.6,300.4,284.6
38,00Z,4,Jan,1987,5,850.0,1496.0,8.0,-7.2,33.0,2.64,347.0,16.0,294.5,302.6,295.0
44,00Z,4,Jan,1987,11,600.0,4337.0,-2.7,,,,320.0,47.0,312.9,,312.9
63,12Z,4,Jan,1987,1,1000.0,146.0,17.4,8.4,55.0,6.96,353.0,1.0,290.6,310.6,291.8
66,12Z,4,Jan,1987,4,850.0,1507.0,7.4,-5.6,39.0,2.98,245.0,12.0,293.9,303.0,294.4
69,12Z,4,Jan,1987,7,700.0,3107.0,4.4,-12.6,28.0,2.08,310.0,31.0,307.3,314.2,307.7
72,12Z,4,Jan,1987,10,500.0,5760.0,-12.5,,,,285.0,53.0,317.7,,317.7
