,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Oct,1985,1,1000.0,88.0,25.8,25.1,96.0,20.56,115.0,4.0,298.9,359.2,302.6
4,00Z,1,Oct,1985,4,850.0,1520.0,20.0,16.4,80.0,14.0,195.0,7.0,307.1,349.5,309.7
8,00Z,1,Oct,1985,8,700.0,3166.0,9.8,-3.2,40.0,4.34,190.0,7.0,313.3,327.3,314.1
10,00Z,1,Oct,1985,10,500.0,5890.0,-4.9,,,,250.0,29.0,327.0,,327.0
11,00Z,1,Oct,1985,11,400.0,7600.0,-17.3,,,,165.0,31.0,332.4,,332.4
12,00Z,1,Oct,1985,12,300.0,9700.0,-30.7,,,,,,342.0,,342.0
13,00Z,1,Oct,1985,13,250.0,10980.0,-38.7,,,,,,348.4,,348.4
14,00Z,1,Oct,1985,14,200.0,12480.0,-50.1,,,,,,353.3,,353.3
27,12Z,2,Oct,1985,1,1000.0,88.0,25.0,23.4,91.0,18.51,356.0,0.0,298.1,352.1,301.4
29,12Z,2,Oct,1985,3,850.0,1518.0,20.4,12.4,60.0,10.75,185.0,4.0,307.5,340.3,309.5
31,12Z,2,Oct,1985,5,700.0,3167.0,8.8,4.0,72.0,7.33,70.0,4.0,312.2,335.3,313.6
33,12Z,2,Oct,1985,7,600.0,4439.0,1.2,-1.0,85.0,5.96,,,317.5,336.8,318.6
38,12Z,2,Oct,1985,12,500.0,5870.0,-7.1,-10.1,79.0,3.57,,,324.3,336.5,325.0
40,12Z,2,Oct,1985,14,400.0,7580.0,-18.0,,,,,,331.5,,331.5
42,12Z,2,Oct,1985,16,300.0,9670.0,-34.3,,,,,,336.9,,336.9
43,12Z,2,Oct,1985,17,250.0,10920.0,-45.3,,,,,,338.6,,338.6
45,12Z,2,Oct,1985,19,200.0,12370.0,-59.1,,,,,,339.0,,339.0
48,00Z,4,Oct,1985,1,1000.0,89.0,26.0,24.2,90.0,19.45,90.0,4.0,299.1,356.2,302.6
50,00Z,4,Oct,1985,3,850.0,1515.0,20.0,12.0,60.0,10.47,115.0,4.0,307.1,339.0,309.0
