,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Nov,1985,1,1000.0,121.0,20.0,18.4,91.0,13.5,280.0,3.0,293.1,331.7,295.5
5,00Z,1,Nov,1985,5,850.0,1535.0,16.8,5.8,48.0,6.85,85.0,7.0,303.7,324.6,305.0
8,00Z,1,Nov,1985,8,700.0,3157.0,6.6,-10.4,29.0,2.49,120.0,7.0,309.8,317.9,310.2
12,00Z,1,Nov,1985,12,600.0,4404.0,1.0,,,,191.0,18.0,317.2,,317.2
14,00Z,1,Nov,1985,14,500.0,5840.0,-7.9,,,,275.0,32.0,323.3,,323.3
16,00Z,1,Nov,1985,16,400.0,7540.0,-21.1,,,,285.0,20.0,327.5,,327.5
19,00Z,1,Nov,1985,19,300.0,9610.0,-37.1,,,,295.0,49.0,333.0,,333.0
22,00Z,1,Nov,1985,22,250.0,10850.0,-45.1,,,,285.0,50.0,338.9,,338.9
23,00Z,1,Nov,1985,23,200.0,12320.0,-53.1,,,,275.0,55.0,348.5,,348.5
35,00Z,2,Nov,1985,1,1000.0,128.0,20.0,19.2,95.0,14.21,40.0,1.0,293.1,333.7,295.6
37,00Z,2,Nov,1985,3,850.0,1524.0,16.6,11.6,72.0,10.19,115.0,4.0,303.5,334.1,305.4
40,00Z,2,Nov,1985,6,700.0,3134.0,5.0,-1.0,65.0,5.11,90.0,9.0,308.0,324.0,308.9
44,00Z,2,Nov,1985,10,600.0,4369.0,0.4,,,,17.0,14.0,316.5,,316.5
46,00Z,2,Nov,1985,12,500.0,5800.0,-6.9,,,,290.0,19.0,324.6,,324.6
48,00Z,2,Nov,1985,14,400.0,7500.0,-16.5,,,,255.0,24.0,333.5,,333.5
50,00Z,2,Nov,1985,16,300.0,9590.0,-32.9,,,,285.0,36.0,338.9,,338.9
53,00Z,2,Nov,1985,19,250.0,10830.0,-40.7,,,,275.0,58.0,345.4,,345.4
55,00Z,2,Nov,1985,21,200.0,12320.0,-48.1,,,,150.0,,356.4,,356.4
62,12Z,2,Nov,1985,1,1000.0,123.0,27.0,22.2,75.0,17.17,,,300.1,350.7,303.2
64,12Z,2,Nov,1985,3,850.0,1542.0,17.8,14.4,80.0,12.28,65.0,3.0,304.8,341.7,307.0
66,12Z,2,Nov,1985,5,700.0,3169.0,6.4,-0.6,61.0,5.26,5.0,5.0,309.5,326.1,310.5
70,12Z,2,Nov,1985,9,600.0,4427.0,2.8,,,,324.0,19.0,319.3,,319.3
73,12Z,2,Nov,1985,12,500.0,5870.0,-8.7,,,,275.0,36.0,322.4,,322.4
75,12Z,2,Nov,1985,14,400.0,7570.0,-18.9,,,,270.0,31.0,330.3,,330.3
77,12Z,2,Nov,1985,16,300.0,9640.0,-37.5,,,,270.0,43.0,332.4,,332.4
80,12Z,2,Nov,1985,19,250.0,10800.0,-45.3,,,,275.0,66.0,338.6,,338.6
81,12Z,2,Nov,1985,20,200.0,12340.0,-55.1,,,,265.0,40.0,345.4,,345.4
83,00Z,1,Nov,1986,1,1000.0,112.0,19.0,17.0,88.0,12.34,3.0,0.0,292.1,327.3,294.3
86,00Z,1,Nov,1986,4,850.0,1516.0,16.0,-3.0,27.0,3.62,75.0,3.0,302.9,314.2,303.6
90,00Z,1,Nov,1986,8,700.0,3150.0,12.0,,,,260.0,14.0,315.7,,315.7
92,00Z,1,Nov,1986,10,600.0,4419.0,3.0,,,,267.0,24.0,319.5,,319.5
94,00Z,1,Nov,1986,12,500.0,5870.0,-5.5,,,,275.0,35.0,326.3,,326.3
97,00Z,1,Nov,1986,15,400.0,7580.0,-17.1,,,,270.0,31.0,332.7,,332.7
101,00Z,1,Nov,1986,19,300.0,9690.0,-28.1,,,,,,345.7,,345.7
