,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,1,Dec,1986,1,1000.0,148.0,22.0,15.0,64.0,10.83,220.0,57.0,295.1,326.5,297.1
2,12Z,1,Dec,1986,2,850.0,1536.0,10.2,4.2,66.0,6.12,315.0,14.0,296.8,315.0,297.9
5,12Z,1,Dec,1986,5,700.0,3138.0,5.2,,,,305.0,17.0,308.2,,308.2
6,12Z,1,Dec,1986,6,500.0,4790.0,-11.5,,,,300.0,31.0,318.9,,318.9
7,12Z,1,Dec,1986,7,400.0,7470.0,-23.5,,,,280.0,42.0,324.4,,324.4
8,12Z,1,Dec,1986,8,300.0,9500.0,-40.7,,,,,,327.9,,327.9
9,12Z,1,Dec,1986,9,250.0,10720.0,-48.5,,,,,,333.8,,333.8
10,12Z,1,Dec,1986,10,200.0,12160.0,-56.3,,,,,,343.4,,343.4
12,00Z,2,Dec,1986,1,1000.0,161.0,13.6,8.9,73.0,7.2,80.0,2.0,286.8,307.1,288.0
13,00Z,2,Dec,1986,2,850.0,1538.0,14.0,,,,315.0,10.0,300.8,,300.8
14,00Z,2,Dec,1986,3,700.0,3159.0,8.0,,,,315.0,24.0,311.3,,311.3
15,00Z,2,Dec,1986,4,500.0,5850.0,-8.5,,,,265.0,24.0,322.6,,322.6
16,00Z,2,Dec,1986,5,400.0,7530.0,-22.3,,,,260.0,28.0,325.9,,325.9
17,00Z,2,Dec,1986,6,300.0,9570.0,-39.5,,,,260.0,51.0,329.6,,329.6
18,00Z,2,Dec,1986,7,250.0,10810.0,-43.3,,,,265.0,79.0,341.6,,341.6
19,00Z,2,Dec,1986,8,200.0,12280.0,-52.5,,,,260.0,76.0,349.5,,349.5
26,12Z,2,Dec,1986,1,1000.0,147.0,20.8,7.8,43.0,6.68,360.0,2.0,293.9,313.5,295.1
29,12Z,2,Dec,1986,4,850.0,1533.0,14.0,,,,320.0,7.0,300.8,,300.8
31,12Z,2,Dec,1986,6,700.0,3151.0,6.6,,,,320.0,20.0,309.8,,309.8
34,12Z,2,Dec,1986,9,600.0,4395.0,-1.5,,,,306.0,21.0,314.3,,314.3
35,12Z,2,Dec,1986,10,500.0,5820.0,-10.9,,,,290.0,23.0,319.7,,319.7
37,12Z,2,Dec,1986,12,400.0,7500.0,-23.3,,,,260.0,27.0,324.6,,324.6
38,12Z,2,Dec,1986,13,300.0,9540.0,-39.9,,,,245.0,35.0,329.0,,329.0
40,12Z,2,Dec,1986,15,250.0,10770.0,-45.3,,,,260.0,57.0,338.6,,338.6
43,12Z,2,Dec,1986,18,200.0,12240.0,-51.7,,,,250.0,60.0,350.7,,350.7
47,00Z,3,Dec,1986,1,1000.0,162.0,16.0,9.0,63.0,7.25,315.0,3.0,289.1,309.9,290.4
51,00Z,3,Dec,1986,5,850.0,1538.0,15.8,,,,325.0,11.0,302.7,,302.7
53,00Z,3,Dec,1986,7,700.0,3161.0,6.8,,,,305.0,15.0,310.0,,310.0
55,00Z,3,Dec,1986,9,600.0,4409.0,-0.7,,,,303.0,17.0,315.3,,315.3
56,00Z,3,Dec,1986,10,500.0,5840.0,-10.1,,,,300.0,19.0,320.7,,320.7
57,00Z,3,Dec,1986,11,400.0,7530.0,-19.9,,,,300.0,46.0,329.0,,329.0
59,00Z,3,Dec,1986,13,300.0,9580.0,-38.3,,,,300.0,35.0,331.3,,331.3
61,00Z,3,Dec,1986,15,250.0,10820.0,-45.1,,,,265.0,51.0,338.9,,338.9
64,00Z,3,Dec,1986,18,200.0,12300.0,-50.3,,,,255.0,44.0,352.9,,352.9
76,12Z,3,Dec,1986,1,1000.0,147.0,21.6,6.6,38.0,6.15,315.0,3.0,294.8,312.9,295.8
77,12Z,3,Dec,1986,2,850.0,1537.0,14.6,,,,290.0,8.0,301.4,,301.4
78,12Z,3,Dec,1986,3,700.0,3162.0,9.0,,,,255.0,6.0,312.4,,312.4
79,12Z,3,Dec,1986,4,500.0,5870.0,-7.5,,,,75.0,11.0,323.8,,323.8
80,12Z,3,Dec,1986,5,400.0,7550.0,-22.1,,,,345.0,21.0,326.2,,326.2
81,12Z,3,Dec,1986,6,300.0,9610.0,-37.7,,,,300.0,30.0,332.1,,332.1
82,12Z,3,Dec,1986,7,250.0,10840.0,-44.9,,,,310.0,29.0,339.2,,339.2
83,12Z,3,Dec,1986,8,200.0,12413.0,-20.1,,,,296.0,36.0,400.8,,400.8
86,00Z,4,Dec,1986,1,1000.0,145.0,16.4,9.4,63.0,7.45,315.0,3.0,289.6,310.9,290.9
89,00Z,4,Dec,1986,4,850.0,1545.0,16.6,,,,180.0,3.0,303.5,,303.5
90,00Z,4,Dec,1986,5,700.0,3173.0,8.6,,,,150.0,6.0,312.0,,312.0
91,00Z,4,Dec,1986,6,600.0,4419.0,1.8,,,,136.0,7.0,318.2,,318.2
93,00Z,4,Dec,1986,8,500.0,5850.0,-7.9,,,,120.0,8.0,323.3,,323.3
94,00Z,4,Dec,1986,9,400.0,7570.0,-19.5,,,,335.0,22.0,329.6,,329.6
95,00Z,4,Dec,1986,10,300.0,9580.0,-37.9,,,,320.0,27.0,331.8,,331.8
96,00Z,4,Dec,1986,11,250.0,10860.0,-48.3,,,,325.0,35.0,334.1,,334.1
98,00Z,4,Dec,1986,13,200.0,12300.0,-56.5,,,,285.0,55.0,343.1,,343.1
109,12Z,4,Dec,1986,1,1000.0,131.0,23.0,12.0,50.0,8.88,310.0,2.0,296.1,322.1,297.7
112,12Z,4,Dec,1986,4,850.0,1528.0,15.6,0.6,36.0,4.72,245.0,3.0,302.5,317.1,303.3
115,12Z,4,Dec,1986,7,700.0,3165.0,11.8,,,,350.0,8.0,315.5,,315.5
117,12Z,4,Dec,1986,9,600.0,4430.0,2.0,,,,334.0,10.0,318.4,,318.4
119,12Z,4,Dec,1986,11,500.0,5870.0,-9.1,,,,315.0,13.0,321.9,,321.9
120,12Z,4,Dec,1986,12,400.0,7560.0,-21.3,,,,300.0,20.0,327.2,,327.2
121,12Z,4,Dec,1986,13,300.0,9610.0,-38.3,,,,315.0,237.0,331.3,,331.3
123,12Z,4,Dec,1986,15,250.0,10840.0,-49.9,,,,315.0,47.0,331.8,,331.8
125,12Z,4,Dec,1986,17,200.0,12260.0,-61.3,,,,310.0,45.0,335.5,,335.5
136,12Z,5,Dec,1986,1,1000.0,122.0,22.4,11.4,50.0,8.53,275.0,2.0,295.6,320.5,297.1
140,12Z,5,Dec,1986,5,850.0,1433.0,15.2,-1.8,31.0,3.96,250.0,2.0,302.1,314.4,302.8
142,12Z,5,Dec,1986,7,700.0,3064.0,9.2,,,,320.0,13.0,312.6,,312.6
