,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,1,Feb,1987,1,1000.0,140.0,23.6,13.6,53.0,9.88,90.0,2.0,296.8,325.6,298.5
2,12Z,1,Feb,1987,2,850.0,1530.0,12.8,-8.2,22.0,2.43,120.0,3.0,299.5,307.2,300.0
3,12Z,1,Feb,1987,3,700.0,3128.0,1.6,-20.4,18.0,1.08,205.0,7.0,304.2,307.9,304.4
4,12Z,1,Feb,1987,4,500.0,5770.0,-13.1,,,,285.0,39.0,317.0,,317.0
6,12Z,1,Feb,1987,6,400.0,7440.0,-24.1,,,,,,323.6,,323.6
7,12Z,1,Feb,1987,7,300.0,9500.0,-32.9,,,,,,338.9,,338.9
8,12Z,1,Feb,1987,8,250.0,10760.0,-41.5,,,,,,344.2,,344.2
9,12Z,1,Feb,1987,9,200.0,12250.0,-49.7,,,,,,353.9,,353.9
19,00Z,2,Feb,1987,1,1000.0,153.0,15.8,7.8,59.0,6.68,100.0,2.0,288.9,308.1,290.1
24,00Z,2,Feb,1987,6,850.0,1535.0,11.8,-10.2,20.0,2.08,175.0,7.0,298.5,305.1,298.9
25,00Z,2,Feb,1987,7,700.0,3126.0,0.2,,,,335.0,7.0,302.7,,302.7
26,00Z,2,Feb,1987,8,500.0,5770.0,-12.1,,,,265.0,37.0,318.2,,318.2
27,00Z,2,Feb,1987,9,400.0,7440.0,-24.5,,,,240.0,53.0,323.1,,323.1
36,12Z,2,Feb,1987,1,1000.0,140.0,23.6,14.6,57.0,10.55,90.0,2.0,296.8,327.5,298.6
38,12Z,2,Feb,1987,3,850.0,1527.0,12.2,-0.8,41.0,4.26,315.0,9.0,298.9,311.9,299.7
42,12Z,2,Feb,1987,7,600.0,4349.0,-3.3,,,,299.0,42.0,312.2,,312.2
56,00Z,3,Feb,1987,1,1000.0,154.0,16.0,12.9,82.0,9.43,90.0,3.0,289.1,315.8,290.8
59,00Z,3,Feb,1987,4,850.0,1538.0,11.8,-0.2,44.0,4.46,65.0,8.0,298.5,312.1,299.3
60,00Z,3,Feb,1987,5,700.0,3127.0,-1.3,-13.3,40.0,1.97,300.0,9.0,301.0,307.3,301.4
61,00Z,3,Feb,1987,6,500.0,5760.0,-13.9,,,,260.0,28.0,316.0,,316.0
62,00Z,3,Feb,1987,7,400.0,7420.0,-26.3,,,,252.0,61.0,320.7,,320.7
64,00Z,3,Feb,1987,9,300.0,9460.0,-36.3,,,,,,334.1,,334.1
65,00Z,3,Feb,1987,10,250.0,10720.0,-38.5,,,,,,348.7,,348.7
76,12Z,3,Feb,1987,1,1000.0,146.0,24.7,17.4,64.0,12.68,,,297.9,334.9,300.1
82,12Z,3,Feb,1987,7,600.0,4372.0,-4.9,,,,,,310.4,,310.4
91,00Z,4,Feb,1987,1,1000.0,154.0,16.2,11.2,72.0,8.42,90.0,6.0,289.4,313.3,290.8
93,00Z,4,Feb,1987,3,850.0,1530.0,12.0,-5.0,30.0,3.12,80.0,8.0,298.7,308.4,299.3
94,00Z,4,Feb,1987,4,700.0,3120.0,0.0,-17.0,27.0,1.45,265.0,23.0,302.4,307.2,302.7
95,00Z,4,Feb,1987,5,500.0,5730.0,-15.5,-32.5,22.0,0.5,225.0,55.0,314.1,315.9,314.2
97,00Z,4,Feb,1987,7,400.0,7380.0,-25.9,,,,,,321.2,,321.2
98,00Z,4,Feb,1987,8,300.0,9440.0,-32.1,,,,,,340.0,,340.0
99,00Z,4,Feb,1987,9,250.0,10710.0,-37.1,,,,,,350.8,,350.8
100,00Z,4,Feb,1987,10,200.0,12230.0,-43.7,,,,,,363.4,,363.4
108,12Z,4,Feb,1987,1,1000.0,148.0,21.4,12.4,56.0,9.12,357.0,1.0,294.6,321.0,296.2
112,12Z,4,Feb,1987,5,850.0,1528.0,10.0,3.0,62.0,5.62,320.0,9.0,296.6,313.4,297.6
114,12Z,4,Feb,1987,7,700.0,3109.0,-1.5,-19.5,24.0,1.17,311.0,14.0,300.8,304.7,301.0
116,12Z,4,Feb,1987,9,600.0,4318.0,-8.1,,,,304.0,18.0,306.7,,306.7
118,12Z,4,Feb,1987,11,500.0,5710.0,-16.7,,,,295.0,23.0,312.6,,312.6
120,12Z,4,Feb,1987,13,400.0,7370.0,-23.1,,,,,,324.9,,324.9
121,12Z,4,Feb,1987,14,300.0,9450.0,-31.7,,,,,,340.6,,340.6
122,12Z,4,Feb,1987,15,250.0,10720.0,-37.7,,,,,,349.9,,349.9
123,12Z,4,Feb,1987,16,200.0,12240.0,-43.3,,,,,,364.0,,364.0
129,00Z,5,Feb,1987,1,1000.0,153.0,14.2,10.6,79.0,8.08,355.0,2.0,287.4,310.2,288.8
130,00Z,5,Feb,1987,2,850.0,1516.0,7.4,1.4,66.0,5.01,320.0,9.0,293.9,308.7,294.8
131,00Z,5,Feb,1987,3,700.0,3095.0,2.2,-16.8,23.0,1.47,330.0,18.0,304.9,309.8,305.2
132,00Z,5,Feb,1987,4,500.0,5730.0,-15.9,,,,255.0,17.0,313.6,,313.6
133,00Z,5,Feb,1987,5,400.0,7380.0,-23.1,,,,260.0,62.0,324.9,,324.9
135,00Z,5,Feb,1987,7,300.0,9460.0,-31.5,,,,,,340.9,,340.9
136,00Z,5,Feb,1987,8,250.0,10730.0,-38.5,,,,,,348.7,,348.7
137,00Z,5,Feb,1987,9,200.0,12240.0,-46.9,,,,,,358.3,,358.3
144,12Z,5,Feb,1987,1,1000.0,146.0,22.4,9.4,44.0,7.45,275.0,4.0,295.6,317.4,296.9
146,12Z,5,Feb,1987,3,850.0,1526.0,9.2,4.9,74.0,6.43,275.0,25.0,295.8,314.8,296.9
150,00Z,6,Feb,1987,1,1000.0,161.0,14.0,9.6,75.0,7.55,310.0,2.0,287.1,308.5,288.5
154,00Z,6,Feb,1987,5,850.0,1530.0,9.6,6.2,79.0,7.04,280.0,7.0,296.2,316.9,297.4
157,00Z,6,Feb,1987,8,700.0,3141.0,6.4,,,,320.0,14.0,309.5,,309.5
160,00Z,6,Feb,1987,11,600.0,4389.0,-0.5,,,,338.0,18.0,315.5,,315.5
161,00Z,6,Feb,1987,12,500.0,5820.0,-9.5,,,,360.0,23.0,321.4,,321.4
163,00Z,6,Feb,1987,14,400.0,7510.0,-21.7,,,,260.0,32.0,326.7,,326.7
165,00Z,6,Feb,1987,16,300.0,9580.0,-32.3,,,,,,339.7,,339.7
167,00Z,6,Feb,1987,18,250.0,10850.0,-35.9,,,,,,352.6,,352.6
169,00Z,6,Feb,1987,20,200.0,12370.0,-45.7,,,,,,360.2,,360.2
179,12Z,6,Feb,1987,1,1000.0,156.0,21.4,8.4,43.0,6.96,270.0,2.0,294.6,315.0,295.8
181,12Z,6,Feb,1987,3,850.0,1540.0,10.6,1.6,54.0,5.08,305.0,5.0,297.2,312.5,298.1
184,12Z,6,Feb,1987,6,700.0,3153.0,7.6,,,,295.0,14.0,310.9,,310.9
185,12Z,6,Feb,1987,7,500.0,5850.0,-6.7,,,,325.0,23.0,324.8,,324.8
186,12Z,6,Feb,1987,8,400.0,7550.0,-20.3,,,,330.0,22.0,328.5,,328.5
187,12Z,6,Feb,1987,9,300.0,9630.0,-31.7,,,,,,340.6,,340.6
188,12Z,6,Feb,1987,10,250.0,10920.0,-35.9,,,,,,352.6,,352.6
189,12Z,6,Feb,1987,11,200.0,12440.0,-46.1,,,,,,359.6,,359.6
201,00Z,7,Feb,1987,1,1000.0,161.0,16.2,0.2,34.0,3.9,140.0,2.0,289.4,300.8,290.0
206,00Z,7,Feb,1987,6,850.0,1529.0,10.2,,,,195.0,3.0,296.8,,296.8
208,00Z,7,Feb,1987,8,700.0,3138.0,8.4,,,,300.0,11.0,311.8,,311.8
210,00Z,7,Feb,1987,10,600.0,4396.0,2.4,,,,,,318.9,,318.9
214,12Z,7,Feb,1987,1,1000.0,148.0,23.6,5.6,31.0,5.73,355.0,3.0,296.8,313.9,297.8
217,12Z,7,Feb,1987,4,850.0,1535.0,11.6,-10.4,20.0,2.05,305.0,8.0,298.3,304.8,298.6
220,12Z,7,Feb,1987,7,700.0,3133.0,5.0,,,,303.0,18.0,308.0,,308.0
222,12Z,7,Feb,1987,9,600.0,4376.0,-0.5,,,,302.0,26.0,315.5,,315.5
229,00Z,8,Feb,1987,1,1000.0,153.0,13.2,7.2,67.0,6.41,235.0,3.0,286.4,304.5,287.5
230,00Z,8,Feb,1987,2,850.0,1520.0,10.6,-9.4,24.0,2.22,280.0,3.0,297.2,304.2,297.6
231,00Z,8,Feb,1987,3,700.0,3132.0,8.6,,,,275.0,13.0,312.0,,312.0
232,00Z,8,Feb,1987,4,500.0,5800.0,-12.3,,,,285.0,10.0,318.0,,318.0
233,00Z,8,Feb,1987,5,400.0,7470.0,-24.3,,,,245.0,23.0,323.3,,323.3
234,00Z,8,Feb,1987,6,300.0,9510.0,-35.9,,,,,,334.7,,334.7
235,00Z,8,Feb,1987,7,250.0,10770.0,-42.3,,,,,,343.0,,343.0
236,00Z,8,Feb,1987,8,200.0,12250.0,-49.7,,,,,,353.9,,353.9
243,12Z,8,Feb,1987,2,1000.0,131.0,23.8,2.8,25.0,4.7,270.0,2.0,296.9,311.1,297.8
244,12Z,8,Feb,1987,3,850.0,1522.0,12.4,-6.6,26.0,2.76,270.0,6.0,299.1,307.8,299.6
245,12Z,8,Feb,1987,4,700.0,3139.0,8.6,,,,300.0,3.0,312.0,,312.0
246,12Z,8,Feb,1987,5,500.0,5830.0,-9.9,,,,275.0,25.0,320.9,,320.9
247,12Z,8,Feb,1987,6,400.0,7510.0,-21.5,,,,295.0,43.0,327.0,,327.0
248,12Z,8,Feb,1987,7,300.0,9580.0,-36.1,,,,,,334.4,,334.4
249,12Z,8,Feb,1987,8,250.0,10820.0,-45.3,,,,,,338.6,,338.6
250,12Z,8,Feb,1987,9,200.0,12280.0,-52.1,,,,,,350.1,,350.1
263,00Z,9,Feb,1987,1,1000.0,136.0,14.0,10.7,81.0,8.14,270.0,2.0,287.1,310.1,288.6
267,00Z,9,Feb,1987,5,850.0,1496.0,7.2,-5.8,39.0,2.93,295.0,5.0,293.7,302.6,294.2
268,00Z,9,Feb,1987,6,700.0,3090.0,3.6,,,,310.0,16.0,306.4,,306.4
269,00Z,9,Feb,1987,7,500.0,5740.0,-13.7,,,,275.0,34.0,316.3,,316.3
270,00Z,9,Feb,1987,8,400.0,7410.0,-23.7,,,,,,324.1,,324.1
271,00Z,9,Feb,1987,9,300.0,9440.0,-39.7,,,,,,329.3,,329.3
