,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,12Z,1,Mar,1987,1,1000.0,140.0,25.8,8.8,34.0,7.15,270.0,5.0,298.9,320.3,300.2
4,12Z,1,Mar,1987,4,850.0,1539.0,12.6,4.6,58.0,6.29,245.0,12.0,299.3,318.2,300.5
9,12Z,1,Mar,1987,9,700.0,3144.0,6.6,,,,295.0,21.0,309.8,,309.8
11,12Z,1,Mar,1987,11,600.0,4383.0,-3.5,,,,290.0,24.0,312.0,,312.0
13,12Z,1,Mar,1987,13,500.0,5790.0,-15.3,,,,285.0,27.0,314.3,,314.3
16,12Z,1,Mar,1987,16,400.0,7440.0,-26.3,,,,285.0,34.0,320.7,,320.7
18,12Z,1,Mar,1987,18,300.0,9460.0,-42.3,,,,275.0,43.0,325.6,,325.6
21,12Z,1,Mar,1987,21,250.0,10680.0,-45.3,,,,265.0,60.0,338.6,,338.6
24,12Z,1,Mar,1987,24,200.0,12170.0,-46.3,,,,,,359.3,,359.3
37,00Z,2,Mar,1987,1,1000.0,145.0,16.8,11.8,72.0,8.76,353.0,1.0,289.9,314.9,291.5
38,00Z,2,Mar,1987,2,850.0,1537.0,12.8,2.8,51.0,5.54,255.0,11.0,299.5,316.3,300.5
39,00Z,2,Mar,1987,3,700.0,3034.0,3.6,0.3,79.0,5.62,30.0,67.0,306.4,323.9,307.5
43,12Z,2,Mar,1987,1,1000.0,140.0,24.0,5.0,29.0,5.5,345.0,9.0,297.1,313.6,298.1
46,12Z,2,Mar,1987,4,850.0,1534.0,13.4,1.4,44.0,5.01,265.0,7.0,300.2,315.4,301.1
49,12Z,2,Mar,1987,7,700.0,3131.0,1.8,,,,255.0,13.0,304.4,,304.4
51,12Z,2,Mar,1987,9,600.0,4353.0,-6.3,,,,285.0,12.0,308.8,,308.8
52,12Z,2,Mar,1987,10,500.0,5750.0,-15.9,,,,320.0,10.0,313.6,,313.6
54,12Z,2,Mar,1987,12,400.0,7400.0,-27.3,,,,330.0,25.0,319.4,,319.4
55,12Z,2,Mar,1987,13,300.0,9420.0,-41.5,,,,340.0,72.0,326.8,,326.8
57,12Z,2,Mar,1987,15,250.0,10630.0,-48.9,,,,320.0,66.0,333.2,,333.2
59,12Z,2,Mar,1987,17,200.0,12090.0,-49.5,,,,300.0,,354.2,,354.2
67,12Z,3,Mar,1987,1,1000.0,122.0,24.6,11.6,44.0,8.65,360.0,4.0,297.8,323.2,299.3
73,12Z,3,Mar,1987,7,600.0,4365.0,-2.5,,,,333.0,30.0,313.2,,313.2
88,00Z,4,Mar,1987,1,1000.0,127.0,17.4,10.4,63.0,7.97,135.0,2.0,290.6,313.4,291.9
92,00Z,4,Mar,1987,5,850.0,1520.0,15.8,-3.2,27.0,3.57,95.0,6.0,302.7,313.9,303.3
94,00Z,4,Mar,1987,7,700.0,3134.0,4.8,-6.2,45.0,3.45,285.0,16.0,307.8,318.8,308.4
97,00Z,4,Mar,1987,10,600.0,4376.0,-1.3,,,,274.0,16.0,314.6,,314.6
99,00Z,4,Mar,1987,12,500.0,5800.0,-12.1,,,,260.0,16.0,318.2,,318.2
101,00Z,4,Mar,1987,14,400.0,7450.0,-24.3,,,,265.0,19.0,323.3,,323.3
103,00Z,4,Mar,1987,16,300.0,9500.0,-41.1,,,,230.0,14.0,327.3,,327.3
105,00Z,4,Mar,1987,18,250.0,10720.0,-48.3,,,,280.0,42.0,334.1,,334.1
107,00Z,4,Mar,1987,20,200.0,12170.0,-51.7,,,,275.0,53.0,350.7,,350.7
120,12Z,4,Mar,1987,1,1000.0,114.0,26.6,10.6,37.0,8.08,315.0,4.0,299.8,323.9,301.2
123,12Z,4,Mar,1987,4,850.0,1522.0,15.2,-1.8,31.0,3.96,240.0,5.0,302.1,314.4,302.8
125,12Z,4,Mar,1987,6,700.0,3132.0,4.2,-16.8,20.0,1.47,205.0,5.0,307.1,312.0,307.4
129,12Z,4,Mar,1987,10,500.0,5790.0,-14.1,,,,255.0,5.0,315.8,,315.8
130,12Z,4,Mar,1987,11,400.0,7440.0,-26.3,,,,10.0,15.0,320.7,,320.7
131,12Z,4,Mar,1987,12,300.0,9450.0,-44.1,,,,25.0,19.0,323.1,,323.1
133,12Z,4,Mar,1987,14,250.0,10650.0,-51.5,,,,295.0,20.0,329.4,,329.4
134,12Z,4,Mar,1987,15,200.0,12100.0,-51.5,,,,315.0,34.0,351.1,,351.1
147,00Z,5,Mar,1987,1,1000.0,138.0,20.0,14.0,68.0,10.14,180.0,2.0,293.1,322.3,294.9
151,00Z,5,Mar,1987,5,850.0,1538.0,12.8,5.8,62.0,6.85,80.0,5.0,299.5,320.0,300.8
