,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,Apr,1987,1,1000.0,79.0,22.0,15.0,64.0,10.83,360.0,5.0,295.1,326.5,297.1
5,00Z,1,Apr,1987,5,600.0,4429.0,3.4,,,,336.0,16.0,320.0,,320.0
18,12Z,1,Apr,1987,0,1000.0,,,,,,,,,,
21,12Z,1,Apr,1987,3,850.0,1476.0,27.8,11.8,37.0,10.31,,,315.2,347.8,317.2
25,00Z,2,Apr,1987,0,1000.0,47.0,,,,,,,,,
28,00Z,2,Apr,1987,3,850.0,1472.0,23.4,-0.6,20.0,4.33,305.0,32.0,310.6,324.5,311.5
30,00Z,2,Apr,1987,5,700.0,3131.0,11.8,-9.2,22.0,2.73,300.0,36.0,315.5,324.7,316.0
32,00Z,2,Apr,1987,7,600.0,4402.0,4.0,-11.0,33.0,2.77,302.0,41.0,320.7,330.1,321.2
35,00Z,2,Apr,1987,10,500.0,5870.0,-1.9,-18.9,26.0,1.73,305.0,47.0,330.7,336.9,331.0
38,00Z,2,Apr,1987,13,400.0,7610.0,-12.5,,,,280.0,49.0,338.6,,338.6
39,00Z,2,Apr,1987,14,300.0,9740.0,-29.3,,,,,,344.0,,344.0
40,00Z,2,Apr,1987,15,250.0,11020.0,-39.7,,,,,,346.9,,346.9
41,00Z,2,Apr,1987,16,200.0,12500.0,-52.3,,,,,,349.8,,349.8
51,12Z,2,Apr,1987,0,1000.0,31.0,,,,,,,,,
53,12Z,2,Apr,1987,2,850.0,1490.0,25.0,5.0,28.0,6.47,313.0,20.0,312.3,332.8,313.5
63,00Z,3,Apr,1987,0,1000.0,39.0,,,,,,,,,
66,00Z,3,Apr,1987,3,850.0,1468.0,23.6,,,,305.0,28.0,310.9,,310.9
69,00Z,3,Apr,1987,6,700.0,3124.0,11.0,,,,285.0,29.0,314.6,,314.6
71,00Z,3,Apr,1987,8,600.0,4386.0,1.2,,,,285.0,42.0,317.5,,317.5
74,00Z,3,Apr,1987,11,500.0,5820.0,-9.7,,,,285.0,57.0,321.1,,321.1
77,00Z,3,Apr,1987,14,400.0,7530.0,-18.3,,,,290.0,79.0,331.1,,331.1
80,00Z,3,Apr,1987,17,300.0,9620.0,-23.3,,,,,,352.4,,352.4
91,12Z,3,Apr,1987,0,1000.0,18.0,,,,,,,,,
94,12Z,3,Apr,1987,3,850.0,1462.0,22.6,3.6,29.0,5.86,290.0,30.0,309.8,328.3,310.9
97,12Z,3,Apr,1987,6,700.0,3111.0,-33.3,-2.1,1406.0,4.7,,,265.6,277.8,266.3
