,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,1,May,1987,1,1000.0,61.0,20.4,18.8,91.0,13.85,70.0,12.0,293.6,333.2,296.0
4,00Z,1,May,1987,4,850.0,1478.0,21.3,18.7,85.0,16.24,245.0,3.0,308.4,357.9,311.4
7,00Z,1,May,1987,7,700.0,3114.0,8.5,-4.9,38.0,3.81,,,311.9,324.2,312.6
9,00Z,1,May,1987,9,600.0,4371.0,0.8,-6.2,59.0,4.03,,,317.0,330.3,317.8
25,12Z,1,May,1987,0,1000.0,47.0,,,,,,,,,
29,12Z,1,May,1987,4,850.0,1474.0,22.6,7.6,38.0,7.76,175.0,6.0,309.8,334.0,311.3
33,12Z,1,May,1987,8,700.0,3129.0,10.4,-3.6,37.0,4.21,280.0,18.0,314.0,327.6,314.8
34,12Z,1,May,1987,9,600.0,4395.0,2.0,-12.0,35.0,2.55,287.0,26.0,318.4,327.0,318.9
38,12Z,1,May,1987,13,500.0,5840.0,-8.1,-19.1,41.0,1.7,295.0,36.0,323.1,329.1,323.4
41,12Z,1,May,1987,16,400.0,7540.0,-18.3,,,,280.0,27.0,331.1,,331.1
43,12Z,1,May,1987,18,300.0,9630.0,-31.3,,,,260.0,56.0,341.1,,341.1
45,12Z,1,May,1987,20,250.0,10910.0,-39.1,,,,250.0,101.0,347.8,,347.8
49,12Z,1,May,1987,24,200.0,12420.0,-44.7,,,,260.0,68.0,361.8,,361.8
55,00Z,2,May,1987,1,1000.0,70.0,23.8,21.5,87.0,16.44,90.0,10.0,296.9,344.6,299.9
56,00Z,2,May,1987,2,850.0,1494.0,21.6,6.6,38.0,7.24,190.0,10.0,308.8,331.2,310.1
57,00Z,2,May,1987,3,700.0,3146.0,10.0,1.0,54.0,5.91,275.0,23.0,313.5,332.4,314.6
58,00Z,2,May,1987,4,500.0,5850.0,-6.9,-11.9,68.0,3.09,280.0,26.0,324.6,335.2,325.2
59,00Z,2,May,1987,5,400.0,7570.0,-16.3,-31.3,26.0,0.7,260.0,36.0,333.7,336.4,333.9
60,00Z,2,May,1987,6,300.0,9670.0,-31.5,,,,265.0,51.0,340.9,,340.9
61,00Z,2,May,1987,7,250.0,10940.0,-36.5,,,,245.0,58.0,351.7,,351.7
62,00Z,2,May,1987,8,200.0,12450.0,-46.7,,,,,,358.7,,358.7
75,12Z,2,May,1987,1,1000.0,61.0,30.2,17.2,46.0,12.5,90.0,12.0,303.4,340.7,305.6
78,12Z,2,May,1987,4,850.0,1480.0,19.2,-3.8,21.0,3.41,165.0,5.0,306.2,317.1,306.9
80,12Z,2,May,1987,6,700.0,3112.0,7.2,-5.8,39.0,3.56,275.0,15.0,310.4,321.9,311.1
84,12Z,2,May,1987,10,600.0,4362.0,-1.1,-15.1,34.0,1.98,266.0,26.0,314.8,321.5,315.2
87,12Z,2,May,1987,13,500.0,5790.0,-10.1,-15.1,67.0,2.38,255.0,40.0,320.7,328.8,321.1
90,12Z,2,May,1987,16,400.0,7490.0,-19.3,,,,240.0,35.0,329.8,,329.8
93,00Z,3,May,1987,1,1000.0,102.0,21.0,17.4,80.0,12.66,89.0,13.0,294.1,330.5,296.4
96,00Z,3,May,1987,4,850.0,1499.0,16.4,-0.6,31.0,4.33,65.0,17.0,303.3,316.8,304.1
101,00Z,3,May,1987,9,700.0,3122.0,7.6,2.9,72.0,6.78,12.0,22.0,310.9,332.1,312.1
104,00Z,3,May,1987,12,600.0,4373.0,-0.7,-11.7,43.0,2.62,330.0,26.0,315.3,324.0,315.8
107,00Z,3,May,1987,15,500.0,5810.0,-7.9,-22.9,29.0,1.22,280.0,31.0,323.3,327.7,323.6
109,00Z,3,May,1987,17,400.0,7510.0,-19.3,-31.3,34.0,0.7,240.0,38.0,329.8,332.5,330.0
111,00Z,3,May,1987,19,300.0,9590.0,-33.7,-49.1,20.0,0.15,220.0,60.0,337.8,338.4,337.8
113,00Z,3,May,1987,21,250.0,10840.0,-43.7,-59.4,16.0,0.05,220.0,74.0,341.0,341.2,341.0
115,00Z,3,May,1987,23,200.0,10890.0,-51.0,-72.0,6.0,0.01,255.0,71.0,351.9,351.9,351.9
131,12Z,3,May,1987,1,1000.0,70.0,25.8,20.8,74.0,15.73,30.0,7.0,298.9,345.0,301.8
133,12Z,3,May,1987,3,850.0,1481.0,18.0,5.0,42.0,6.47,10.0,6.0,305.0,324.9,306.2
134,12Z,3,May,1987,4,700.0,3113.0,7.0,-6.0,39.0,3.51,315.0,14.0,310.2,321.5,310.9
135,12Z,3,May,1987,5,500.0,5810.0,-6.7,,,,270.0,24.0,324.8,,324.8
136,12Z,3,May,1987,6,400.0,7510.0,-18.1,,,,255.0,39.0,331.4,,331.4
137,12Z,3,May,1987,7,300.0,9610.0,-37.3,,,,,,332.7,,332.7
