,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,19,Jun,1985,0,1000.0,-40.0,,,,,,,,,
4,00Z,19,Jun,1985,4,850.0,1396.0,23.8,7.8,36.0,7.87,255.0,18.0,311.1,335.7,312.5
7,00Z,19,Jun,1985,7,700.0,3065.0,13.6,-2.4,33.0,4.6,285.0,17.0,317.5,332.6,318.4
8,00Z,19,Jun,1985,8,500.0,5820.0,-2.1,-8.1,63.0,4.18,,,330.4,344.9,331.2
9,00Z,19,Jun,1985,9,300.0,9750.0,-22.3,,,,,,353.8,,353.8
10,00Z,19,Jun,1985,10,250.0,11070.0,-32.1,,,,,,358.2,,358.2
11,00Z,19,Jun,1985,11,200.0,12620.0,-43.7,,,,,,363.4,,363.4
22,12Z,19,Jun,1985,0,1000.0,-40.0,,,,,,,,,
24,12Z,19,Jun,1985,2,850.0,1434.0,29.0,7.0,25.0,7.44,300.0,13.0,316.5,340.4,317.9
25,12Z,19,Jun,1985,3,700.0,3124.0,16.0,-1.0,31.0,5.11,295.0,23.0,320.2,337.0,321.2
26,12Z,19,Jun,1985,4,500.0,5890.0,0.0,-16.0,29.0,2.21,320.0,19.0,333.0,340.9,333.4
27,12Z,19,Jun,1985,5,300.0,9850.0,-21.1,,,,130.0,3.0,355.5,,355.5
28,12Z,19,Jun,1985,6,250.0,11170.0,-31.3,,,,195.0,8.0,359.4,,359.4
29,12Z,19,Jun,1985,7,200.0,12716.0,-42.1,,,,150.0,,365.9,,365.9
34,00Z,20,Jun,1985,0,1000.0,-24.0,,,,,,,,,
38,00Z,20,Jun,1985,4,850.0,1424.0,28.2,8.2,28.0,8.09,80.0,10.0,315.7,341.4,317.2
41,00Z,20,Jun,1985,7,700.0,3106.0,15.0,4.0,48.0,7.33,,,319.1,342.8,320.5
43,00Z,20,Jun,1985,9,600.0,4374.0,9.0,-8.0,29.0,3.51,,,326.5,338.5,327.2
44,00Z,20,Jun,1985,10,500.0,5840.0,1.6,-15.4,27.0,2.32,,,334.9,343.3,335.4
54,12Z,20,Jun,1985,0,1000.0,-38.0,,,,,,,,,
57,12Z,20,Jun,1985,3,850.0,1442.0,30.8,23.8,66.0,22.43,275.0,11.0,318.4,390.0,322.6
60,12Z,20,Jun,1985,6,700.0,3135.0,17.6,8.6,56.0,10.12,285.0,14.0,321.9,354.7,323.9
63,12Z,20,Jun,1985,9,600.0,4431.0,9.0,-8.0,29.0,3.51,,,326.5,338.5,327.2
67,12Z,20,Jun,1985,13,500.0,5920.0,1.4,-10.6,40.0,3.43,,,334.7,346.8,335.4
70,12Z,20,Jun,1985,16,400.0,7690.0,-7.9,-14.9,57.0,3.03,,,344.6,355.8,345.3
77,00Z,21,Jun,1985,0,1000.0,-27.0,,,,,,,,,
81,00Z,21,Jun,1985,4,850.0,1410.0,22.8,,,,215.0,9.0,310.0,,310.0
84,00Z,21,Jun,1985,7,700.0,3068.0,12.6,,,,325.0,15.0,316.4,,316.4
87,00Z,21,Jun,1985,10,600.0,4343.0,4.8,,,,,,321.6,,321.6
88,00Z,21,Jun,1985,11,500.0,5810.0,-3.3,,,,,,328.9,,328.9
89,00Z,21,Jun,1985,12,400.0,7550.0,-11.1,,,,,,340.5,,340.5
90,00Z,21,Jun,1985,13,300.0,9710.0,-24.7,,,,,,350.5,,350.5
91,00Z,21,Jun,1985,14,250.0,11020.0,-33.7,,,,,,355.8,,355.8
92,00Z,21,Jun,1985,15,200.0,12550.0,-46.3,,,,,,359.3,,359.3
