,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Jul,1985,0,1000.0,-10.0,,,,,,,,,
5,00Z,1,Jul,1985,5,850.0,1425.0,23.0,19.4,80.0,16.99,300.0,11.0,310.2,362.4,313.4
7,00Z,1,Jul,1985,7,700.0,3092.0,11.8,10.7,93.0,11.68,90.0,17.0,315.5,352.2,317.7
8,00Z,1,Jul,1985,8,600.0,4374.0,5.0,4.0,93.0,8.57,83.0,21.0,321.9,349.7,323.5
10,00Z,1,Jul,1985,10,500.0,5850.0,-2.7,-4.6,87.0,5.47,75.0,25.0,329.7,348.3,330.8
12,00Z,1,Jul,1985,12,400.0,7590.0,-11.5,-19.5,52.0,2.05,,,339.9,347.6,340.4
14,00Z,1,Jul,1985,14,300.0,9740.0,-24.7,-35.7,35.0,0.61,,,350.5,353.0,350.6
15,00Z,1,Jul,1985,15,250.0,11040.0,-34.1,-45.1,32.0,0.27,,,355.2,356.4,355.3
16,00Z,1,Jul,1985,16,200.0,12570.0,-47.1,,,,,,358.0,,358.0
21,12Z,1,Jul,1985,0,1000.0,-13.0,,,,,,,,,
24,12Z,1,Jul,1985,3,850.0,1407.0,18.0,16.5,91.0,14.09,40.0,8.0,305.0,347.3,307.6
26,12Z,1,Jul,1985,5,700.0,3049.0,10.0,3.0,62.0,6.83,65.0,18.0,313.5,335.2,314.8
27,12Z,1,Jul,1985,6,500.0,5847.0,-2.3,-13.3,43.0,2.76,,,330.2,339.9,330.7
28,12Z,1,Jul,1985,7,400.0,7590.0,-11.1,-22.1,40.0,1.64,,,340.5,346.6,340.8
29,12Z,1,Jul,1985,8,300.0,9690.0,-23.9,-40.9,19.0,0.36,,,351.6,353.1,351.7
30,12Z,1,Jul,1985,9,250.0,11000.0,-33.9,,,,,,355.5,,355.5
31,12Z,1,Jul,1985,10,200.0,12510.0,-48.9,,,,,,355.2,,355.2
34,00Z,2,Jul,1985,0,1000.0,0.0,,,,,,,,,
49,00Z,3,Jul,1985,0,1000.0,-9.0,,,,,,,,,
53,00Z,3,Jul,1985,4,850.0,1434.0,23.2,19.3,79.0,16.88,110.0,8.0,310.4,362.3,313.6
56,00Z,3,Jul,1985,7,700.0,3108.0,14.4,12.9,91.0,13.54,40.0,13.0,318.4,361.4,321.0
58,00Z,3,Jul,1985,9,600.0,4431.0,8.4,0.4,57.0,6.61,58.0,14.0,325.8,347.8,327.1
61,00Z,3,Jul,1985,12,500.0,5890.0,1.4,-11.6,37.0,3.17,80.0,16.0,334.7,345.9,335.3
62,00Z,3,Jul,1985,13,300.0,9860.0,-20.3,,,,,,356.7,,356.7
63,00Z,3,Jul,1985,14,250.0,11180.0,-30.9,,,,,,360.0,,360.0
64,00Z,3,Jul,1985,15,200.0,12723.0,-43.3,,,,,,364.0,,364.0
72,12Z,3,Jul,1985,0,1000.0,-19.0,,,,,,,,,
76,12Z,3,Jul,1985,4,850.0,1440.0,24.8,14.8,54.0,12.61,80.0,13.0,312.1,351.2,314.5
79,12Z,3,Jul,1985,7,700.0,3112.0,14.4,2.4,44.0,6.54,80.0,15.0,318.4,339.6,319.7
81,12Z,3,Jul,1985,9,600.0,4401.0,7.2,-7.8,34.0,3.56,82.0,16.0,324.4,336.5,325.1
83,12Z,3,Jul,1985,11,500.0,5880.0,-1.1,-17.1,29.0,2.01,85.0,17.0,331.6,338.9,332.0
85,12Z,3,Jul,1985,13,400.0,7630.0,-11.9,-26.9,28.0,1.06,110.0,15.0,339.4,343.5,339.6
88,12Z,3,Jul,1985,16,300.0,9770.0,-26.7,,,,,,347.6,,347.6
90,12Z,3,Jul,1985,18,250.0,10100.0,-38.3,,,,,,349.0,,349.0
91,00Z,4,Jul,1985,0,1000.0,-4.0,,,,,,,,,
99,12Z,4,Jul,1985,0,1000.0,-10.0,,,,,,,,,
102,12Z,4,Jul,1985,3,850.0,1425.0,22.2,9.2,43.0,8.66,80.0,19.0,309.4,336.2,311.0
105,12Z,4,Jul,1985,6,700.0,3087.0,13.6,-3.4,31.0,4.27,50.0,17.0,317.5,331.6,318.3
106,12Z,4,Jul,1985,7,600.0,4375.0,8.4,-12.6,21.0,2.43,61.0,13.0,325.8,334.3,326.3
109,12Z,4,Jul,1985,10,500.0,5860.0,0.2,,,,75.0,9.0,333.2,,333.2
110,12Z,4,Jul,1985,11,400.0,7610.0,-10.5,,,,145.0,2.0,341.2,,341.2
112,12Z,4,Jul,1985,13,300.0,9764.0,-24.0,,,,,,351.4,,351.4
113,12Z,4,Jul,1985,14,250.0,11067.0,-34.0,,,,,,355.4,,355.4
117,00Z,5,Jul,1985,0,1000.0,-12.0,,,,,,,,,
119,00Z,5,Jul,1985,2,850.0,1418.0,21.0,16.0,73.0,13.64,120.0,12.0,308.1,349.7,310.6
