,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Aug,1985,0,1000.0,-5.0,,,,,,,,,
3,00Z,1,Aug,1985,3,850.0,1425.0,20.2,18.2,88.0,15.73,105.0,21.0,307.3,355.0,310.2
5,00Z,1,Aug,1985,5,700.0,3079.0,11.8,5.8,67.0,8.33,90.0,17.0,315.5,341.9,317.1
7,00Z,1,Aug,1985,7,600.0,4361.0,6.0,-1.0,61.0,5.96,81.0,23.0,323.0,342.7,324.2
9,00Z,1,Aug,1985,9,500.0,5830.0,-3.7,-13.7,46.0,2.67,70.0,29.0,328.5,337.8,329.0
11,00Z,1,Aug,1985,11,400.0,7560.0,-13.3,-20.3,56.0,1.92,85.0,27.0,337.6,344.7,338.0
13,00Z,1,Aug,1985,13,300.0,9700.0,-27.1,,,,145.0,31.0,347.1,,347.1
14,00Z,1,Aug,1985,14,250.0,10990.0,-36.5,,,,190.0,31.0,351.7,,351.7
15,00Z,1,Aug,1985,15,200.0,12490.0,-50.7,,,,235.0,18.0,352.3,,352.3
30,12Z,2,Aug,1985,0,1000.0,6.0,,,,,,,,,
33,12Z,2,Aug,1985,3,850.0,1441.0,20.6,17.4,82.0,14.94,130.0,35.0,307.7,353.1,310.5
35,12Z,2,Aug,1985,5,700.0,3103.0,12.2,8.2,77.0,9.84,135.0,22.0,316.0,347.1,317.8
37,12Z,2,Aug,1985,7,500.0,5870.0,-1.1,-10.1,50.0,3.57,145.0,15.0,331.6,344.1,332.4
38,12Z,2,Aug,1985,8,400.0,7620.0,-10.9,-27.9,23.0,0.97,,,340.7,344.5,340.9
39,12Z,2,Aug,1985,9,300.0,8630.0,-27.3,,,,,,346.8,,346.8
40,12Z,2,Aug,1985,10,250.0,11060.0,-36.5,,,,,,351.7,,351.7
41,12Z,2,Aug,1985,11,200.0,12560.0,-50.9,,,,,,352.0,,352.0
43,00Z,3,Aug,1985,0,1000.0,25.0,,,,,,,,,
47,00Z,3,Aug,1985,4,850.0,1465.0,23.2,18.2,73.0,15.73,115.0,8.0,310.4,358.8,313.4
49,00Z,3,Aug,1985,6,700.0,3142.0,15.4,13.4,88.0,14.0,115.0,9.0,319.5,364.1,322.2
52,12Z,3,Aug,1985,0,1000.0,10.0,,,,,,,,,
55,12Z,3,Aug,1985,3,850.0,1454.0,24.4,22.9,91.0,21.2,125.0,9.0,311.7,377.4,315.6
56,12Z,3,Aug,1985,4,700.0,3146.0,17.4,16.0,91.0,16.63,160.0,3.0,321.7,375.2,324.9
58,12Z,3,Aug,1985,6,600.0,4446.0,10.2,6.3,77.0,10.08,,,327.9,361.3,329.9
61,12Z,3,Aug,1985,9,500.0,5934.0,1.8,,,,,,335.2,,335.2
66,12Z,4,Aug,1985,0,1000.0,12.0,,,,,,,,,
69,12Z,4,Aug,1985,3,850.0,1444.0,21.2,17.5,79.0,15.04,310.0,10.0,308.3,354.1,311.1
71,12Z,4,Aug,1985,5,700.0,3110.0,13.6,10.1,79.0,11.21,345.0,5.0,317.5,353.1,319.6
73,12Z,4,Aug,1985,7,600.0,4405.0,9.2,4.6,73.0,8.94,359.0,9.0,326.7,356.3,328.5
75,12Z,4,Aug,1985,9,500.0,5910.0,3.0,-4.0,60.0,5.73,15.0,14.0,336.6,356.6,337.8
80,12Z,4,Aug,1985,14,300.0,9870.0,-30.1,-46.1,20.0,0.2,,,342.8,343.7,342.9
82,12Z,4,Aug,1985,16,250.0,11210.0,-31.7,,,,,,358.8,,358.8
84,12Z,4,Aug,1985,18,200.0,12745.0,-45.1,,,,,,361.2,,361.2
88,00Z,5,Aug,1985,0,1000.0,17.0,,,,,,,,,
92,00Z,5,Aug,1985,4,850.0,1456.0,23.2,17.2,69.0,14.75,230.0,259.0,310.4,355.8,313.2
94,00Z,5,Aug,1985,6,700.0,3115.0,14.7,5.8,55.0,8.33,,,318.7,345.5,320.3
96,00Z,5,Aug,1985,8,600.0,4402.0,8.4,-3.6,43.0,4.91,,,325.8,342.4,326.8
98,00Z,5,Aug,1985,10,500.0,5890.0,1.7,-11.4,37.0,3.21,,,335.1,346.5,335.7
112,00Z,6,Aug,1985,0,1000.0,3.0,,,,,,,,,
115,00Z,6,Aug,1985,3,850.0,1427.0,21.8,14.8,64.0,12.61,85.0,21.0,309.0,347.5,311.3
116,00Z,6,Aug,1985,4,700.0,3076.0,10.8,0.8,50.0,5.83,85.0,25.0,314.4,333.1,315.5
117,00Z,6,Aug,1985,5,500.0,5810.0,-3.5,-20.5,26.0,1.51,115.0,15.0,328.7,334.2,329.0
118,00Z,6,Aug,1985,6,400.0,7540.0,-14.3,-31.3,22.0,0.7,130.0,11.0,336.3,339.1,336.5
119,00Z,6,Aug,1985,7,300.0,9670.0,-26.9,,,,115.0,12.0,347.4,,347.4
120,00Z,6,Aug,1985,8,250.0,10970.0,-36.3,,,,110.0,19.0,352.0,,352.0
121,00Z,6,Aug,1985,9,200.0,12470.0,-51.9,,,,90.0,22.0,350.4,,350.4
123,12Z,6,Aug,1985,0,1000.0,-491.0,-31.0,-37.0,56.0,0.16,90.0,6.0,242.2,242.6,242.2
126,12Z,6,Aug,1985,3,600.0,4360.0,5.4,-12.6,26.0,2.43,,,322.3,330.7,322.8
136,00Z,7,Aug,1985,0,1000.0,-31.0,,,,,,,,,
138,00Z,7,Aug,1985,2,850.0,1388.0,16.8,13.5,81.0,11.57,100.0,37.0,303.7,338.4,305.8
139,00Z,7,Aug,1985,3,700.0,3027.0,11.2,4.2,62.0,7.44,90.0,38.0,314.9,338.5,316.3
140,00Z,7,Aug,1985,4,500.0,5770.0,-1.3,,,,90.0,25.0,331.4,,331.4
141,00Z,7,Aug,1985,5,400.0,7510.0,-14.1,,,,95.0,24.0,336.6,,336.6
152,12Z,7,Aug,1985,0,1000.0,-39.0,,,,,,,,,
155,12Z,7,Aug,1985,3,850.0,1404.0,20.8,19.1,90.0,16.67,100.0,38.0,307.9,358.6,311.0
158,12Z,7,Aug,1985,6,700.0,3089.0,13.2,11.4,89.0,12.24,105.0,35.0,317.1,355.8,319.4
160,12Z,7,Aug,1985,8,600.0,4281.0,6.8,1.8,70.0,7.32,110.0,36.0,323.9,348.0,325.4
162,12Z,7,Aug,1985,10,500.0,5650.0,-1.5,-7.5,64.0,4.38,115.0,38.0,331.1,346.3,332.0
164,12Z,7,Aug,1985,12,400.0,7400.0,-10.5,-22.5,37.0,1.58,155.0,30.0,341.2,347.2,341.6
167,12Z,7,Aug,1985,15,300.0,9560.0,-23.9,,,,,,351.6,,351.6
169,12Z,7,Aug,1985,17,250.0,10870.0,-32.7,,,,,,357.3,,357.3
170,12Z,7,Aug,1985,18,200.0,12400.0,-44.7,,,,,,361.8,,361.8
174,00Z,8,Aug,1985,0,1000.0,-26.0,,,,,,,,,
177,00Z,8,Aug,1985,3,850.0,1402.0,19.4,17.5,89.0,15.04,120.0,29.0,306.4,351.9,309.2
179,00Z,8,Aug,1985,5,700.0,3155.0,12.4,7.8,74.0,9.57,,,316.2,346.5,318.0
181,00Z,8,Aug,1985,7,600.0,4433.0,7.6,-2.4,49.0,5.38,,,324.9,342.9,325.9
183,00Z,8,Aug,1985,9,500.0,5906.0,-0.6,-11.3,44.0,3.24,,,332.2,343.6,332.9
198,12Z,8,Aug,1985,0,1000.0,-32.0,,,,,,,,,
201,12Z,8,Aug,1985,3,850.0,1415.0,22.4,17.7,75.0,15.23,130.0,20.0,309.6,356.2,312.4
204,12Z,8,Aug,1985,6,700.0,3083.0,-14.3,-17.6,76.0,1.38,130.0,20.0,286.6,290.9,286.9
