,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,12,Sep,1985,0,1000.0,28.0,,,,,,,,,
4,00Z,12,Sep,1985,4,850.0,1448.0,20.4,16.4,78.0,14.0,120.0,26.0,307.5,350.0,310.1
6,00Z,12,Sep,1985,6,700.0,3104.0,12.0,5.0,62.0,7.87,125.0,25.0,315.7,340.8,317.2
8,00Z,12,Sep,1985,8,600.0,4381.0,4.8,-1.2,65.0,5.88,136.0,19.0,321.6,341.0,322.8
11,00Z,12,Sep,1985,11,500.0,5850.0,-3.9,-9.9,63.0,3.63,150.0,11.0,328.2,340.7,328.9
12,00Z,12,Sep,1985,12,400.0,7590.0,-13.5,-22.5,47.0,1.58,150.0,11.0,337.4,343.2,337.7
13,00Z,12,Sep,1985,13,300.0,9730.0,-27.3,-40.3,28.0,0.38,60.0,17.0,346.8,348.4,346.9
14,00Z,12,Sep,1985,14,250.0,11010.0,-38.3,,,,70.0,17.0,349.0,,349.0
15,00Z,12,Sep,1985,15,200.0,12510.0,-51.1,,,,60.0,21.0,351.7,,351.7
19,12Z,12,Sep,1985,0,1000.0,22.0,,,,,,,,,
21,12Z,12,Sep,1985,2,850.0,1433.0,15.0,6.0,55.0,6.94,130.0,25.0,301.9,322.8,303.1
22,12Z,12,Sep,1985,3,700.0,3052.0,6.4,-2.6,53.0,4.54,115.0,24.0,309.5,323.9,310.4
23,12Z,12,Sep,1985,4,500.0,5750.0,-8.3,-12.5,72.0,2.94,175.0,11.0,322.9,332.9,323.4
24,12Z,12,Sep,1985,5,300.0,9570.0,-31.3,,,,40.0,10.0,341.1,,341.1
25,12Z,12,Sep,1985,6,250.0,10830.0,-41.3,,,,35.0,39.0,344.5,,344.5
26,12Z,12,Sep,1985,7,200.0,12310.0,-59.5,,,,35.0,13.0,338.4,,338.4
28,12Z,13,Sep,1985,0,1000.0,-10.0,,,,,,,,,
31,12Z,13,Sep,1985,3,850.0,1426.0,21.2,16.2,73.0,13.82,,,308.3,350.4,310.9
34,12Z,13,Sep,1985,6,600.0,4367.0,5.2,-9.8,33.0,3.04,,,322.1,332.5,322.7
50,12Z,14,Sep,1985,0,1000.0,,,,,,,,,,
56,00Z,15,Sep,1985,0,1000.0,17.0,,,,,,,,,
59,00Z,15,Sep,1985,3,850.0,1435.0,18.4,17.9,97.0,15.43,105.0,26.0,305.4,351.8,308.2
62,00Z,15,Sep,1985,6,700.0,3085.0,10.0,7.2,83.0,9.18,85.0,15.0,313.5,342.3,315.3
63,00Z,15,Sep,1985,7,600.0,4357.0,4.0,0.0,75.0,6.42,112.0,11.0,320.7,341.7,321.9
65,00Z,15,Sep,1985,9,500.0,5820.0,-4.7,-9.1,71.0,3.86,145.0,6.0,327.2,340.5,328.0
66,00Z,15,Sep,1985,10,400.0,7550.0,-13.1,-23.1,43.0,1.5,,,337.9,343.5,338.2
72,12Z,15,Sep,1985,0,1000.0,18.0,,,,,,,,,
79,00Z,17,Sep,1985,0,1000.0,48.0,,,,,,,,,
84,00Z,17,Sep,1985,5,600.0,4383.0,-2.3,-3.3,93.0,5.02,,,313.4,329.5,314.4
85,12Z,17,Sep,1985,0,1000.0,44.0,,,,,,,,,
89,12Z,17,Sep,1985,4,850.0,1456.0,17.0,13.4,79.0,11.49,15.0,3.0,303.9,338.4,306.0
92,12Z,17,Sep,1985,7,700.0,3092.0,8.6,4.6,76.0,7.65,255.0,7.0,312.0,336.0,313.4
93,12Z,17,Sep,1985,8,600.0,4352.0,1.6,-4.4,64.0,4.62,,,317.9,333.1,318.8
96,00Z,18,Sep,1985,0,1000.0,60.0,25.2,25.0,99.0,20.44,90.0,2.0,298.4,358.1,302.0
98,00Z,18,Sep,1985,2,850.0,1465.0,18.6,9.6,56.0,8.9,285.0,1.0,305.6,332.7,307.3
99,00Z,18,Sep,1985,3,700.0,3109.0,10.4,-3.6,37.0,4.21,195.0,7.0,314.0,327.6,314.8
101,00Z,18,Sep,1985,5,600.0,4376.0,3.2,-10.8,35.0,2.81,204.0,8.0,319.8,329.3,320.3
103,00Z,18,Sep,1985,7,500.0,5830.0,-5.3,-18.3,35.0,1.82,215.0,10.0,326.5,333.0,326.9
105,00Z,18,Sep,1985,9,400.0,7550.0,-15.9,-28.9,32.0,0.88,205.0,7.0,334.2,337.6,334.4
106,00Z,18,Sep,1985,10,300.0,9680.0,-28.9,,,,205.0,3.0,344.5,,344.5
107,00Z,18,Sep,1985,11,250.0,10960.0,-39.5,,,,325.0,5.0,347.2,,347.2
108,00Z,18,Sep,1985,12,200.0,12450.0,-53.1,,,,30.0,2.0,348.5,,348.5
120,00Z,19,Sep,1985,0,1000.0,45.0,,,,,,,,,
123,00Z,19,Sep,1985,3,850.0,1459.0,17.4,14.2,81.0,12.12,65.0,3.0,304.4,340.7,306.6
125,00Z,19,Sep,1985,5,700.0,3097.0,8.0,5.0,81.0,7.87,175.0,8.0,311.3,335.9,312.8
126,00Z,19,Sep,1985,6,600.0,4358.0,1.4,-13.6,32.0,2.24,191.0,12.0,317.7,325.3,318.1
129,00Z,19,Sep,1985,9,500.0,5810.0,-6.1,-15.1,49.0,2.38,210.0,16.0,325.5,333.9,326.0
132,00Z,19,Sep,1985,12,400.0,7527.0,-15.1,-24.1,46.0,1.37,190.0,13.0,335.3,340.4,335.6
134,00Z,19,Sep,1985,14,300.0,9660.0,-30.1,-41.1,33.0,0.35,141.0,8.0,342.8,344.3,342.9
135,00Z,19,Sep,1985,15,250.0,10930.0,-39.7,-50.7,30.0,0.15,110.0,5.0,346.9,347.6,346.9
137,00Z,19,Sep,1985,17,200.0,12420.0,-53.1,,,,150.0,,348.5,,348.5
150,12Z,19,Sep,1985,0,1000.0,35.0,,,,,,,,,
154,12Z,19,Sep,1985,4,850.0,1458.0,18.7,17.2,91.0,14.75,,,305.7,350.1,308.4
157,12Z,19,Sep,1985,7,600.0,4365.0,2.2,-0.4,83.0,6.23,,,318.6,338.8,319.8
159,00Z,20,Sep,1985,0,1000.0,44.0,,,,,,,,,
162,00Z,20,Sep,1985,3,850.0,1478.0,24.0,10.0,41.0,9.15,130.0,12.0,311.3,339.8,313.0
163,00Z,20,Sep,1985,4,700.0,3146.0,12.8,6.8,67.0,8.93,130.0,11.0,316.6,345.0,318.3
164,00Z,20,Sep,1985,5,500.0,5890.0,-3.1,-16.1,36.0,2.19,190.0,7.0,329.2,337.0,329.6
165,00Z,20,Sep,1985,6,400.0,7630.0,-12.3,-26.3,30.0,1.12,200.0,9.0,338.9,343.2,339.1
166,00Z,20,Sep,1985,7,300.0,9780.0,-27.1,-40.1,28.0,0.39,220.0,11.0,347.1,348.7,347.1
167,00Z,20,Sep,1985,8,250.0,11070.0,-34.5,,,,215.0,17.0,354.6,,354.6
168,00Z,20,Sep,1985,9,200.0,12590.0,-47.7,,,,150.0,,357.1,,357.1
169,12Z,20,Sep,1985,0,1000.0,41.0,,,,,,,,,
171,12Z,20,Sep,1985,2,850.0,1469.0,21.4,14.4,64.0,12.28,130.0,21.0,308.6,346.1,310.8
175,12Z,20,Sep,1985,6,700.0,3124.0,10.0,3.0,62.0,6.83,85.0,9.0,313.5,335.2,314.8
177,12Z,20,Sep,1985,8,600.0,4392.0,1.4,-3.0,73.0,5.14,103.0,9.0,317.7,334.4,318.7
180,12Z,20,Sep,1985,11,500.0,5840.0,-5.1,-9.1,73.0,3.86,125.0,8.0,326.8,340.0,327.5
181,12Z,20,Sep,1985,12,400.0,7570.0,-15.1,-30.1,27.0,0.79,,,335.3,338.3,335.4
182,12Z,20,Sep,1985,13,300.0,9710.0,-27.5,-36.5,42.0,0.56,,,346.5,348.8,346.6
183,12Z,20,Sep,1985,14,250.0,10100.0,-38.9,-49.9,30.0,0.16,,,348.1,348.8,348.1
