,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,1,Jan,1994,0,1000.0,139.0,,,,,,,,,
4,12Z,1,Jan,1994,4,850.0,1523.0,13.2,1.2,44.0,4.93,40.0,4.0,300.0,315.0,300.9
8,12Z,1,Jan,1994,8,700.0,3130.0,5.8,-9.2,33.0,2.73,270.0,19.0,308.9,317.8,309.4
11,12Z,1,Jan,1994,11,600.0,4368.0,-3.3,-12.3,50.0,2.49,275.0,29.0,312.2,320.5,312.7
14,12Z,1,Jan,1994,14,500.0,5780.0,-11.5,,,,280.0,41.0,318.9,,318.9
16,12Z,1,Jan,1994,16,400.0,7460.0,-22.9,,,,280.0,54.0,325.1,,325.1
18,12Z,1,Jan,1994,18,300.0,9500.0,-38.7,,,,,,330.7,,330.7
19,12Z,1,Jan,1994,19,250.0,10730.0,-47.3,,,,,,335.6,,335.6
21,00Z,2,Jan,1994,0,1000.0,150.0,,,,,,,,,
25,00Z,2,Jan,1994,4,850.0,1512.0,12.4,-10.6,19.0,2.02,360.0,4.0,299.1,305.5,299.5
29,00Z,2,Jan,1994,8,700.0,3124.0,4.0,-10.0,35.0,2.57,355.0,22.0,306.9,315.2,307.4
32,00Z,2,Jan,1994,11,600.0,4364.0,-1.7,,,,,,314.1,,314.1
33,00Z,2,Jan,1994,12,500.0,5790.0,-10.7,,,,,,319.9,,319.9
35,00Z,2,Jan,1994,14,400.0,7460.0,-24.9,,,,,,322.5,,322.5
37,00Z,2,Jan,1994,16,300.0,9450.0,38.8,,,,,,440.0,,440.0
39,00Z,2,Jan,1994,18,250.0,10730.0,-45.9,,,,,,337.7,,337.7
40,00Z,2,Jan,1994,19,200.0,12190.0,-56.7,,,,,,342.8,,342.8
41,12Z,4,Jan,1994,0,1000.0,123.0,,,,,,,,,
45,12Z,4,Jan,1994,4,850.0,1525.0,14.0,5.0,55.0,6.47,325.0,8.0,300.8,320.3,302.0
48,12Z,4,Jan,1994,7,700.0,3133.0,4.0,-5.0,52.0,3.78,245.0,18.0,306.9,318.9,307.6
51,12Z,4,Jan,1994,10,600.0,4377.0,0.0,-19.0,22.0,1.43,256.0,29.0,316.1,321.0,316.4
53,12Z,4,Jan,1994,12,500.0,5810.0,-9.5,-20.5,40.0,1.51,270.0,43.0,321.4,326.7,321.7
54,00Z,5,Jan,1994,0,1000.0,0.0,,,,,,,,,
58,00Z,5,Jan,1994,4,850.0,1524.0,14.0,8.0,67.0,7.98,300.0,6.0,300.8,324.7,302.2
61,00Z,5,Jan,1994,7,700.0,3128.0,2.2,-11.8,35.0,2.22,300.0,21.0,304.9,312.1,305.3
63,00Z,5,Jan,1994,9,600.0,4364.0,-2.5,-22.5,20.0,1.05,291.0,30.0,313.2,316.9,313.4
65,00Z,5,Jan,1994,11,500.0,5780.0,-14.5,-25.5,39.0,0.97,280.0,41.0,315.3,318.7,315.5
68,00Z,5,Jan,1994,14,400.0,7430.0,-24.5,,,,267.0,49.0,323.1,,323.1
71,00Z,5,Jan,1994,17,300.0,9460.0,-40.7,,,,251.0,59.0,327.9,,327.9
73,00Z,5,Jan,1994,19,250.0,10680.0,66.4,,,,240.0,65.0,504.6,,504.6
81,00Z,6,Jan,1994,0,1000.0,148.0,,,,,,,,,
85,00Z,6,Jan,1994,4,850.0,1511.0,10.8,4.8,66.0,6.38,,,297.4,316.4,298.6
88,00Z,6,Jan,1994,7,700.0,3093.0,-0.5,-11.5,43.0,2.28,,,301.9,309.2,302.3
91,00Z,6,Jan,1994,10,600.0,4320.0,-5.1,-22.1,25.0,1.09,,,310.2,313.9,310.4
93,00Z,6,Jan,1994,12,500.0,5730.0,-15.3,-30.3,27.0,0.62,,,314.3,316.6,314.4
96,00Z,6,Jan,1994,15,400.0,7370.0,-26.3,,,,,,320.7,,320.7
97,00Z,7,Jan,1994,0,1000.0,156.0,,,,,,,,,
101,00Z,7,Jan,1994,4,850.0,1529.0,13.6,-2.4,33.0,3.79,345.0,1.0,300.4,312.1,301.1
105,00Z,7,Jan,1994,8,700.0,3128.0,2.6,-17.4,21.0,1.4,320.0,8.0,305.3,310.0,305.6
109,00Z,7,Jan,1994,12,600.0,4362.0,-2.9,,,,306.0,10.0,312.7,,312.7
111,00Z,7,Jan,1994,14,500.0,5790.0,-10.3,,,,290.0,13.0,320.4,,320.4
114,00Z,7,Jan,1994,17,400.0,7470.0,-20.3,,,,,,328.5,,328.5
117,00Z,7,Jan,1994,20,300.0,9630.0,-37.3,,,,,,332.7,,332.7
119,00Z,7,Jan,1994,22,250.0,10860.0,-77.9,,,,,,290.1,,290.1
120,00Z,8,Jan,1994,0,1000.0,171.0,,,,,,,,,
124,00Z,8,Jan,1994,4,850.0,1545.0,13.4,-2.6,33.0,3.73,335.0,15.0,300.2,311.7,300.9
127,00Z,8,Jan,1994,7,700.0,3145.0,4.6,-12.4,28.0,2.12,290.0,19.0,307.6,314.5,307.9
130,00Z,8,Jan,1994,10,600.0,4390.0,1.6,,,,295.0,25.0,317.9,,317.9
132,00Z,8,Jan,1994,12,500.0,5830.0,-8.5,,,,300.0,33.0,322.6,,322.6
133,00Z,8,Jan,1994,13,300.0,9560.0,-37.3,,,,,,332.7,,332.7
134,00Z,8,Jan,1994,14,250.0,10790.0,-46.5,,,,,,336.8,,336.8
135,00Z,8,Jan,1994,15,200.0,12240.0,-57.5,,,,,,341.6,,341.6
136,12Z,8,Jan,1994,0,1000.0,122.0,,,,,,,,,
140,12Z,8,Jan,1994,4,850.0,1514.0,14.6,3.6,48.0,5.86,300.0,11.0,301.4,319.2,302.5
144,12Z,8,Jan,1994,8,700.0,3114.0,4.8,-15.2,22.0,1.68,275.0,20.0,307.8,313.4,308.1
147,12Z,8,Jan,1994,11,600.0,4364.0,2.4,,,,268.0,33.0,318.9,,318.9
150,12Z,8,Jan,1994,14,500.0,5800.0,-8.7,,,,260.0,48.0,322.4,,322.4
152,12Z,8,Jan,1994,16,400.0,7480.0,-24.7,,,,250.0,37.0,322.8,,322.8
153,12Z,9,Jan,1994,0,1000.0,117.0,,,,,,,,,
156,12Z,9,Jan,1994,3,850.0,1517.0,17.4,10.4,63.0,9.4,310.0,14.0,304.4,332.8,306.1
157,12Z,9,Jan,1994,4,700.0,3135.0,6.0,,,,295.0,21.0,309.1,,309.1
158,12Z,9,Jan,1994,5,500.0,5850.0,-5.7,,,,275.0,52.0,326.0,,326.0
159,12Z,9,Jan,1994,6,400.0,7570.0,-19.1,,,,250.0,51.0,330.1,,330.1
160,12Z,9,Jan,1994,7,300.0,9630.0,-34.5,,,,270.0,59.0,336.6,,336.6
161,12Z,9,Jan,1994,8,250.0,10890.0,-42.1,,,,,,343.3,,343.3
162,00Z,10,Jan,1994,0,1000.0,138.0,,,,,,,,,
167,00Z,10,Jan,1994,5,850.0,1518.0,12.6,5.6,62.0,6.75,,,299.3,319.5,300.6
172,00Z,10,Jan,1994,10,700.0,3127.0,7.6,,,,,,310.9,,310.9
173,00Z,10,Jan,1994,11,600.0,4378.0,0.6,,,,,,316.8,,316.8
174,12Z,10,Jan,1994,0,1000.0,133.0,,,,,,,,,
178,12Z,10,Jan,1994,4,850.0,1516.0,12.0,-2.0,38.0,3.9,305.0,10.0,298.7,310.7,299.4
183,12Z,10,Jan,1994,9,700.0,3115.0,6.0,-6.0,42.0,3.51,285.0,23.0,309.1,320.4,309.8
186,12Z,10,Jan,1994,12,600.0,4357.0,-2.1,-10.1,54.0,2.97,,,313.6,323.4,314.2
189,12Z,10,Jan,1994,15,500.0,5770.0,-13.1,-20.1,56.0,1.56,,,317.0,322.4,317.3
190,00Z,11,Jan,1994,0,1000.0,132.0,,,,,,,,,
194,00Z,11,Jan,1994,4,850.0,1517.0,15.0,3.0,44.0,5.62,355.0,12.0,301.9,319.0,302.9
197,00Z,11,Jan,1994,7,700.0,3147.0,9.8,-6.2,32.0,3.45,355.0,15.0,313.3,324.6,314.0
200,00Z,11,Jan,1994,10,600.0,4401.0,-2.9,-5.1,85.0,4.38,,,312.7,326.8,313.6
202,12Z,11,Jan,1994,0,1000.0,111.0,,,,,,,,,
207,12Z,11,Jan,1994,5,850.0,1508.0,14.0,5.0,55.0,6.47,325.0,6.0,300.8,320.3,302.0
213,12Z,11,Jan,1994,11,700.0,3125.0,8.0,-4.0,42.0,4.08,215.0,7.0,311.3,324.4,312.1
216,12Z,11,Jan,1994,14,600.0,4376.0,-0.9,-9.9,50.0,3.02,231.0,24.0,315.0,325.0,315.6
220,12Z,11,Jan,1994,18,500.0,5810.0,-8.9,-17.9,48.0,1.88,250.0,45.0,322.1,328.7,322.5
222,12Z,11,Jan,1994,20,400.0,7500.0,-20.5,-32.5,33.0,0.63,250.0,61.0,328.3,330.6,328.4
229,18Z,11,Jan,1994,6,600.0,4385.0,-0.9,-9.9,50.0,3.02,,,315.0,325.0,315.6
235,00Z,12,Jan,1994,0,1000.0,142.0,,,,,,,,,
240,00Z,12,Jan,1994,5,850.0,1514.0,11.2,0.2,47.0,4.59,5.0,17.0,297.9,311.8,298.7
244,00Z,12,Jan,1994,9,700.0,3119.0,7.4,-12.6,23.0,2.08,,,310.6,317.6,311.0
248,00Z,12,Jan,1994,13,600.0,4277.0,-0.1,-7.1,59.0,3.76,,,316.0,328.3,316.7
250,00Z,12,Jan,1994,15,250.0,10140.0,-50.5,-81.5,1.0,0.0,,,330.9,330.9,330.9
251,12Z,12,Jan,1994,0,1000.0,115.0,,,,,,,,,
255,12Z,12,Jan,1994,4,850.0,1515.0,15.4,4.4,48.0,6.2,70.0,6.0,302.3,321.1,303.4
260,12Z,12,Jan,1994,9,700.0,3133.0,6.2,-2.8,53.0,4.47,345.0,10.0,309.3,323.5,310.2
263,12Z,12,Jan,1994,12,600.0,4380.0,-0.9,-10.9,47.0,2.79,,,315.0,324.3,315.6
265,12Z,13,Jan,1994,0,1000.0,112.0,,,,,,,,,
268,12Z,13,Jan,1994,3,850.0,1510.0,14.0,8.0,67.0,7.98,295.0,6.0,300.8,324.7,302.2
269,12Z,13,Jan,1994,4,700.0,3120.0,4.0,-3.0,60.0,4.4,260.0,12.0,306.9,320.7,307.7
270,12Z,13,Jan,1994,5,500.0,5790.0,-10.9,-27.9,23.0,0.78,,,319.7,322.5,319.8
271,12Z,13,Jan,1994,6,400.0,7470.0,-21.1,,,,,,327.5,,327.5
272,00Z,14,Jan,1994,0,1000.0,125.0,,,,,,,,,
277,00Z,14,Jan,1994,5,850.0,1512.0,14.4,6.4,59.0,7.14,330.0,7.0,301.2,322.7,302.5
