,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,1,Oct,1993,0,1000.0,,,,,,,,,,
4,12Z,1,Oct,1993,4,850.0,1466.0,20.4,16.4,78.0,14.0,,,307.5,350.0,310.1
7,12Z,1,Oct,1993,7,700.0,3116.0,10.0,2.0,58.0,6.36,,,313.5,333.7,314.7
9,12Z,1,Oct,1993,9,600.0,4385.0,4.0,3.1,94.0,8.04,,,320.7,346.7,322.3
12,12Z,1,Oct,1993,12,500.0,5850.0,-4.3,-14.3,46.0,2.54,,,327.7,336.6,328.2
15,12Z,1,Oct,1993,15,400.0,7590.0,-12.5,-24.5,36.0,1.32,,,338.6,343.7,338.9
18,12Z,1,Oct,1993,18,300.0,9730.0,-28.9,-35.7,52.0,0.61,,,344.5,347.0,344.7
20,00Z,2,Oct,1993,0,1000.0,61.0,,,,,,,,,
24,00Z,2,Oct,1993,4,850.0,1473.0,19.2,9.2,52.0,8.66,315.0,17.0,306.2,332.7,307.8
27,00Z,2,Oct,1993,7,700.0,3122.0,10.8,-4.2,35.0,4.02,280.0,14.0,314.4,327.5,315.2
29,00Z,2,Oct,1993,9,600.0,4372.0,4.0,-27.0,8.0,0.7,269.0,13.0,320.7,323.3,320.8
32,00Z,2,Oct,1993,12,500.0,5810.0,-2.9,-18.9,28.0,1.73,255.0,12.0,329.4,335.7,329.8
34,00Z,2,Oct,1993,14,400.0,7560.0,-12.7,-28.7,25.0,0.9,265.0,25.0,338.4,341.9,338.6
36,00Z,2,Oct,1993,16,300.0,9700.0,-26.5,,,,245.0,9.0,347.9,,347.9
38,00Z,2,Oct,1993,18,250.0,10990.0,-36.5,,,,240.0,15.0,351.7,,351.7
40,12Z,3,Oct,1993,0,1000.0,40.0,,,,,,,,,
44,12Z,3,Oct,1993,4,850.0,1469.0,25.0,10.0,39.0,9.15,315.0,9.0,312.3,340.9,314.0
48,12Z,3,Oct,1993,8,700.0,3107.0,7.8,-11.2,25.0,2.33,310.0,15.0,311.1,318.8,311.5
