,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Nov,1993,0,1000.0,130.0,,,,,,,,,
4,00Z,1,Nov,1993,4,850.0,1519.0,14.4,9.4,72.0,8.78,100.0,10.0,301.2,327.4,302.8
6,00Z,1,Nov,1993,6,700.0,3129.0,4.8,-2.2,60.0,4.67,125.0,19.0,307.8,322.5,308.6
9,00Z,1,Nov,1993,9,600.0,4376.0,0.2,,,,,,316.3,,316.3
12,00Z,1,Nov,1993,12,500.0,5820.0,-7.3,,,,,,324.1,,324.1
14,00Z,1,Nov,1993,14,400.0,7520.0,-18.7,,,,,,330.6,,330.6
16,00Z,1,Nov,1993,16,300.0,9600.0,-31.5,,,,,,340.9,,340.9
17,12Z,1,Nov,1993,0,1000.0,109.0,,,,,,,,,
21,12Z,1,Nov,1993,4,850.0,1510.0,15.8,13.2,85.0,11.34,85.0,5.0,302.7,336.5,304.8
23,12Z,1,Nov,1993,6,700.0,3124.0,5.2,-2.8,56.0,4.47,80.0,7.0,308.2,322.3,309.0
26,12Z,1,Nov,1993,9,600.0,4368.0,-0.7,-19.7,22.0,1.34,,,315.3,319.9,315.5
27,00Z,2,Nov,1993,0,1000.0,122.0,,,,,,,,,
32,00Z,2,Nov,1993,5,850.0,1577.0,15.4,15.0,97.0,12.77,,,302.3,340.2,304.6
34,00Z,2,Nov,1993,7,700.0,3134.0,5.0,2.0,81.0,6.36,,,308.0,327.7,309.2
38,00Z,2,Nov,1993,11,600.0,4370.0,-2.5,-18.5,28.0,1.49,,,313.2,318.3,313.5
40,00Z,2,Nov,1993,13,500.0,5800.0,-13.9,-20.9,55.0,1.45,,,316.0,321.1,316.3
43,00Z,2,Nov,1993,16,400.0,7470.0,-22.3,,,,,,325.9,,325.9
46,00Z,2,Nov,1993,19,300.0,9530.0,-36.5,,,,,,333.8,,333.8
48,00Z,2,Nov,1993,21,250.0,10780.0,-42.5,,,,,,342.7,,342.7
50,00Z,2,Nov,1993,23,200.0,12210.0,-53.1,,,,,,348.5,,348.5
63,00Z,4,Nov,1993,0,1000.0,137.0,,,,,,,,,
67,00Z,4,Nov,1993,4,850.0,1550.0,14.8,7.8,63.0,7.87,70.0,4.0,301.6,325.3,303.1
