,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Dec,1993,0,1000.0,137.0,,,,,,,,,
4,00Z,1,Dec,1993,4,850.0,1520.0,13.0,6.0,62.0,6.94,350.0,8.0,299.8,320.6,301.0
8,00Z,1,Dec,1993,8,700.0,3143.0,10.0,,,,300.0,16.0,313.5,,313.5
10,00Z,1,Dec,1993,10,600.0,4406.0,3.8,,,,295.0,22.0,320.5,,320.5
14,00Z,1,Dec,1993,14,500.0,5860.0,-2.9,,,,290.0,29.0,329.4,,329.4
18,00Z,1,Dec,1993,18,300.0,9640.0,-39.5,,,,275.0,48.0,329.6,,329.6
21,00Z,1,Dec,1993,21,250.0,5560.0,-88.9,,,,,,273.8,,273.8
22,00Z,2,Dec,1993,0,1000.0,125.0,,,,,,,,,
26,00Z,2,Dec,1993,4,850.0,1502.0,13.8,-1.2,36.0,4.14,345.0,9.0,300.6,313.3,301.3
28,00Z,2,Dec,1993,6,700.0,3120.0,10.0,,,,310.0,17.0,313.5,,313.5
31,00Z,2,Dec,1993,9,600.0,4392.0,4.2,,,,289.0,29.0,320.9,,320.9
33,00Z,2,Dec,1993,11,500.0,5850.0,-6.1,,,,265.0,43.0,325.5,,325.5
36,00Z,2,Dec,1993,14,400.0,7550.0,-20.1,,,,260.0,72.0,328.8,,328.8
38,00Z,2,Dec,1993,16,300.0,9610.0,-35.5,,,,255.0,46.0,335.2,,335.2
40,00Z,2,Dec,1993,18,250.0,10860.0,-40.9,,,,250.0,93.0,345.1,,345.1
42,00Z,2,Dec,1993,20,200.0,12340.0,-52.5,,,,255.0,62.0,349.5,,349.5
57,12Z,2,Dec,1993,0,1000.0,104.0,,,,,,,,,
60,12Z,2,Dec,1993,3,850.0,1501.0,14.4,3.4,48.0,5.78,320.0,6.0,301.2,318.8,302.3
61,12Z,2,Dec,1993,4,700.0,3121.0,10.4,,,,275.0,5.0,314.0,,314.0
62,12Z,2,Dec,1993,5,500.0,5850.0,-4.1,,,,265.0,8.0,328.0,,328.0
63,12Z,2,Dec,1993,6,400.0,7570.0,-15.1,,,,295.0,13.0,335.3,,335.3
64,12Z,2,Dec,1993,7,300.0,9670.0,-31.1,,,,285.0,20.0,341.4,,341.4
65,12Z,2,Dec,1993,8,250.0,10930.0,-39.7,,,,250.0,14.0,346.9,,346.9
66,12Z,2,Dec,1993,9,200.0,12430.0,-51.1,,,,240.0,29.0,351.7,,351.7
77,12Z,3,Dec,1993,0,1000.0,100.0,,,,,,,,,
81,12Z,3,Dec,1993,4,850.0,1497.0,13.0,1.0,44.0,4.86,320.0,10.0,299.8,314.6,300.6
85,12Z,3,Dec,1993,8,700.0,3121.0,11.0,,,,325.0,15.0,314.6,,314.6
86,12Z,3,Dec,1993,9,600.0,4392.0,4.8,,,,302.0,24.0,321.6,,321.6
89,12Z,3,Dec,1993,12,500.0,5860.0,-3.1,,,,275.0,35.0,329.2,,329.2
90,12Z,3,Dec,1993,13,400.0,7590.0,-15.1,,,,285.0,53.0,335.3,,335.3
92,12Z,3,Dec,1993,15,300.0,9690.0,-33.7,,,,275.0,51.0,337.8,,337.8
94,12Z,3,Dec,1993,17,250.0,10950.0,-40.5,,,,250.0,58.0,345.7,,345.7
96,12Z,3,Dec,1993,19,200.0,12450.0,-50.1,,,,265.0,100.0,353.3,,353.3
97,00Z,4,Dec,1993,0,1000.0,34.0,,,,,,,,,
101,00Z,4,Dec,1993,4,850.0,1509.0,12.8,1.8,47.0,5.15,320.0,6.0,299.5,315.2,300.5
106,00Z,4,Dec,1993,9,700.0,3139.0,11.0,,,,305.0,7.0,314.6,,314.6
107,00Z,4,Dec,1993,10,600.0,4407.0,4.4,,,,284.0,13.0,321.2,,321.2
110,00Z,4,Dec,1993,13,500.0,5870.0,-2.9,,,,260.0,21.0,329.4,,329.4
112,00Z,4,Dec,1993,15,400.0,7600.0,-17.7,,,,285.0,28.0,331.9,,331.9
114,00Z,4,Dec,1993,17,300.0,9680.0,-32.3,,,,255.0,45.0,339.7,,339.7
