,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,4,Feb,1994,0,1000.0,115.0,,,,,,,,,
4,12Z,4,Feb,1994,4,850.0,1510.0,13.2,4.2,54.0,6.12,325.0,10.0,300.0,318.4,301.1
9,12Z,4,Feb,1994,9,700.0,3120.0,6.0,-12.0,26.0,2.19,280.0,21.0,309.1,316.3,309.5
12,12Z,4,Feb,1994,12,600.0,4372.0,0.0,-20.0,21.0,1.31,275.0,37.0,316.1,320.6,316.3
13,12Z,4,Feb,1994,13,500.0,5810.0,-9.5,-24.5,28.0,1.06,270.0,56.0,321.4,325.2,321.6
16,12Z,4,Feb,1994,16,400.0,7490.0,-22.9,,,,285.0,61.0,325.1,,325.1
17,12Z,4,Feb,1994,17,300.0,9520.0,-40.1,,,,240.0,58.0,328.7,,328.7
20,12Z,4,Feb,1994,20,250.0,10760.0,-40.1,,,,275.0,116.0,346.3,,346.3
22,00Z,5,Feb,1994,0,1000.0,127.0,,,,,,,,,
26,00Z,5,Feb,1994,4,850.0,1497.0,12.8,3.8,54.0,5.95,305.0,15.0,299.5,317.5,300.6
31,00Z,5,Feb,1994,9,700.0,3111.0,6.0,-12.0,26.0,2.19,305.0,22.0,309.1,316.3,309.5
33,00Z,5,Feb,1994,11,600.0,4354.0,-3.7,-14.7,42.0,2.05,282.0,35.0,311.8,318.6,312.2
36,00Z,5,Feb,1994,14,500.0,5780.0,-12.5,-25.5,33.0,0.97,255.0,51.0,317.7,321.2,317.9
38,00Z,5,Feb,1994,16,400.0,7430.0,-26.1,-37.1,35.0,0.4,255.0,52.0,321.0,322.5,321.1
41,00Z,5,Feb,1994,19,300.0,9440.0,-41.3,,,,265.0,62.0,327.0,,327.0
43,00Z,5,Feb,1994,21,250.0,10670.0,-45.9,,,,255.0,85.0,337.7,,337.7
45,00Z,5,Feb,1994,23,200.0,12140.0,-53.9,,,,265.0,164.0,347.2,,347.2
54,12Z,5,Feb,1994,0,1000.0,99.0,,,,,,,,,
58,12Z,5,Feb,1994,4,850.0,1503.0,15.4,5.4,51.0,6.66,235.0,3.0,302.3,322.5,303.5
64,12Z,5,Feb,1994,10,700.0,3112.0,4.4,-9.6,35.0,2.65,295.0,17.0,307.3,315.9,307.8
67,12Z,5,Feb,1994,13,600.0,4343.0,-5.5,-20.5,30.0,1.25,272.0,33.0,309.7,314.0,309.9
69,12Z,5,Feb,1994,15,500.0,5750.0,-16.1,-30.1,29.0,0.63,245.0,51.0,313.4,315.6,313.5
71,12Z,5,Feb,1994,17,400.0,7390.0,-31.1,-37.1,56.0,0.4,240.0,58.0,314.5,316.0,314.6
74,12Z,5,Feb,1994,20,300.0,9380.0,-42.3,,,,255.0,93.0,325.6,,325.6
75,12Z,5,Feb,1994,21,250.0,10590.0,-49.5,,,,,,332.3,,332.3
77,12Z,5,Feb,1994,23,200.0,12020.0,-58.1,,,,,,340.6,,340.6
82,00Z,6,Feb,1994,0,1000.0,131.0,,,,,,,,,
86,00Z,6,Feb,1994,4,850.0,1506.0,14.2,4.2,51.0,6.12,5.0,3.0,301.0,319.5,302.1
91,00Z,6,Feb,1994,9,700.0,3122.0,5.0,-15.0,22.0,1.71,340.0,10.0,308.0,313.7,308.3
93,00Z,6,Feb,1994,11,600.0,4352.0,-5.1,-14.1,49.0,2.15,301.0,26.0,310.2,317.3,310.6
96,00Z,6,Feb,1994,14,500.0,5750.0,-16.5,-20.7,70.0,1.48,255.0,44.0,312.9,317.9,313.1
