,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,1,Mar,1994,0,1000.0,90.0,,,,,,,,,
3,12Z,1,Mar,1994,3,850.0,1511.0,16.6,1.6,36.0,5.08,260.0,14.0,303.5,319.2,304.4
5,12Z,1,Mar,1994,5,700.0,3125.0,4.0,-15.0,24.0,1.71,265.0,23.0,306.9,312.6,307.2
8,12Z,1,Mar,1994,8,600.0,4368.0,-1.7,,,,283.0,32.0,314.1,,314.1
9,12Z,1,Mar,1994,9,500.0,5790.0,-13.3,,,,305.0,43.0,316.8,,316.8
10,12Z,1,Mar,1994,10,400.0,7450.0,-27.5,,,,320.0,56.0,319.2,,319.2
12,12Z,1,Mar,1994,12,300.0,9450.0,-43.5,,,,280.0,68.0,323.9,,323.9
15,12Z,1,Mar,1994,15,250.0,10680.0,-49.3,,,,290.0,72.0,332.6,,332.6
16,00Z,2,Mar,1994,0,1000.0,136.0,,,,,,,,,
20,00Z,2,Mar,1994,4,850.0,1511.0,15.0,-6.0,23.0,2.89,290.0,12.0,301.9,311.0,302.4
25,00Z,2,Mar,1994,9,700.0,3124.0,7.6,,,,295.0,29.0,310.9,,310.9
26,00Z,2,Mar,1994,10,600.0,4375.0,0.6,,,,293.0,32.0,316.8,,316.8
29,00Z,2,Mar,1994,13,500.0,5810.0,-8.5,,,,290.0,35.0,322.6,,322.6
31,00Z,2,Mar,1994,15,400.0,7510.0,-21.1,,,,280.0,49.0,327.5,,327.5
33,00Z,2,Mar,1994,17,300.0,9570.0,-31.9,,,,285.0,55.0,340.3,,340.3
34,00Z,2,Mar,1994,18,250.0,10820.0,-41.7,,,,285.0,81.0,343.9,,343.9
35,00Z,2,Mar,1994,19,200.0,12310.0,-52.5,,,,285.0,106.0,349.5,,349.5
50,00Z,5,Mar,1994,0,1000.0,,,,,,,,,,
56,00Z,5,Mar,1994,6,600.0,4384.0,-1.1,-18.1,26.0,1.54,,,314.8,320.1,315.1
72,00Z,6,Mar,1994,0,1000.0,100.0,,,,,,,,,
76,00Z,6,Mar,1994,4,850.0,1502.0,21.4,,,,305.0,18.0,308.6,,308.6
79,00Z,6,Mar,1994,7,700.0,3150.0,9.6,,,,285.0,35.0,313.1,,313.1
81,00Z,6,Mar,1994,9,600.0,4405.0,2.4,,,,287.0,38.0,318.9,,318.9
84,00Z,6,Mar,1994,12,500.0,5850.0,-6.7,,,,290.0,41.0,324.8,,324.8
86,00Z,6,Mar,1994,14,400.0,7560.0,-19.1,,,,265.0,54.0,330.1,,330.1
89,00Z,6,Mar,1994,17,300.0,9640.0,-33.7,,,,245.0,72.0,337.8,,337.8
91,00Z,6,Mar,1994,19,250.0,10900.0,-40.9,,,,265.0,85.0,345.1,,345.1
93,00Z,6,Mar,1994,21,200.0,12400.0,-49.3,,,,260.0,148.0,354.5,,354.5
107,00Z,7,Mar,1994,0,1000.0,111.0,,,,,,,,,
112,00Z,7,Mar,1994,5,850.0,1499.0,19.6,2.6,32.0,5.46,280.0,10.0,306.7,323.7,307.7
116,00Z,7,Mar,1994,9,700.0,3131.0,8.2,-5.8,37.0,3.56,270.0,31.0,311.5,323.1,312.2
