,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Apr,1994,0,1000.0,66.0,,,,,,,,,
4,00Z,1,Apr,1994,4,850.0,1499.0,22.8,12.8,53.0,11.04,260.0,10.0,310.0,344.0,312.1
7,00Z,1,Apr,1994,7,700.0,3154.0,9.2,2.2,62.0,6.45,280.0,23.0,312.6,333.1,313.9
9,00Z,1,Apr,1994,9,600.0,4414.0,-1.3,-5.3,74.0,4.32,273.0,32.0,314.6,328.6,315.4
11,00Z,1,Apr,1994,11,500.0,5840.0,-13.3,-17.7,69.0,1.91,265.0,43.0,316.8,323.3,317.1
13,00Z,1,Apr,1994,13,400.0,7510.0,-22.7,-33.7,36.0,0.56,255.0,59.0,325.4,327.5,325.5
15,00Z,1,Apr,1994,15,300.0,9570.0,-36.7,,,,245.0,105.0,333.5,,333.5
16,00Z,1,Apr,1994,16,250.0,10820.0,-45.3,,,,245.0,78.0,338.6,,338.6
17,00Z,1,Apr,1994,17,200.0,12280.0,-55.9,,,,250.0,101.0,344.1,,344.1
26,00Z,2,Apr,1994,0,1000.0,67.0,,,,,,,,,
30,00Z,2,Apr,1994,4,850.0,1476.0,20.8,5.8,38.0,6.85,260.0,7.0,307.9,329.2,309.2
33,00Z,2,Apr,1994,7,700.0,3117.0,8.0,2.0,66.0,6.36,265.0,20.0,311.3,331.3,312.5
35,00Z,2,Apr,1994,9,600.0,4367.0,-2.9,-7.5,71.0,3.65,267.0,26.0,312.7,324.6,313.4
38,00Z,2,Apr,1994,12,500.0,5790.0,-12.1,-28.1,25.0,0.76,270.0,34.0,318.2,321.0,318.4
40,00Z,2,Apr,1994,14,400.0,7460.0,-24.5,,,,240.0,46.0,323.1,,323.1
41,00Z,2,Apr,1994,15,300.0,9480.0,-41.9,,,,245.0,52.0,326.2,,326.2
43,00Z,2,Apr,1994,17,250.0,10690.0,-48.5,,,,235.0,58.0,333.8,,333.8
44,00Z,2,Apr,1994,18,200.0,12140.0,-53.5,,,,,,347.9,,347.9
60,12Z,2,Apr,1994,0,1000.0,46.0,,,,,,,,,
64,12Z,2,Apr,1994,4,850.0,1466.0,22.8,6.8,36.0,7.34,220.0,12.0,310.0,332.9,311.4
67,12Z,2,Apr,1994,7,700.0,3120.0,9.0,0.0,53.0,5.5,265.0,20.0,312.4,329.9,313.5
70,12Z,2,Apr,1994,10,600.0,4376.0,0.4,-12.6,37.0,2.43,270.0,23.0,316.5,324.7,317.0
73,12Z,2,Apr,1994,13,500.0,5810.0,-10.7,-27.7,23.0,0.79,275.0,27.0,319.9,322.8,320.1
75,00Z,3,Apr,1994,0,1000.0,106.0,,,,,,,,,
78,00Z,3,Apr,1994,3,850.0,1513.0,17.2,9.2,59.0,8.66,305.0,2.0,304.1,330.4,305.7
79,00Z,3,Apr,1994,4,700.0,3144.0,7.0,-4.0,45.0,4.08,265.0,21.0,310.2,323.3,311.0
80,00Z,3,Apr,1994,5,500.0,5790.0,-15.9,-19.9,71.0,1.59,285.0,24.0,313.6,319.0,313.9
81,12Z,3,Apr,1994,0,1000.0,56.0,,,,,,,,,
85,12Z,3,Apr,1994,4,850.0,1479.0,19.0,12.0,64.0,10.47,220.0,19.0,306.0,337.8,308.0
86,12Z,3,Apr,1994,5,700.0,3012.0,6.8,1.8,70.0,6.27,335.0,13.0,310.0,329.6,311.2
90,12Z,3,Apr,1994,9,600.0,4258.0,-1.5,-10.5,50.0,2.88,,,314.3,323.9,314.9
92,00Z,4,Apr,1994,0,1000.0,106.0,,,,,,,,,
96,00Z,4,Apr,1994,4,850.0,1497.0,15.4,7.4,59.0,7.65,240.0,3.0,302.3,325.4,303.7
