,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,May,1994,0,1000.0,66.0,,,,,,,,,
4,00Z,1,May,1994,4,850.0,1483.0,22.0,6.0,35.0,6.94,220.0,10.0,309.2,330.8,310.5
7,00Z,1,May,1994,7,700.0,3143.0,11.0,-4.0,35.0,4.08,5.0,13.0,314.6,327.9,315.4
10,00Z,1,May,1994,10,600.0,4408.0,2.4,-5.6,56.0,4.22,3.0,7.0,318.9,332.8,319.7
13,00Z,1,May,1994,13,500.0,5850.0,-8.1,-20.1,37.0,1.56,0.0,0.0,323.1,328.6,323.4
15,00Z,1,May,1994,15,400.0,7560.0,-19.5,-28.5,45.0,0.92,260.0,19.0,329.6,333.0,329.7
17,00Z,1,May,1994,17,300.0,9630.0,-27.9,,,,240.0,69.0,345.9,,345.9
18,00Z,1,May,1994,18,250.0,10920.0,-37.3,,,,215.0,54.0,350.5,,350.5
20,00Z,1,May,1994,20,200.0,12420.0,-50.7,,,,225.0,68.0,352.3,,352.3
25,12Z,1,May,1994,0,1000.0,25.0,,,,,,,,,
29,12Z,1,May,1994,4,850.0,1148.0,26.0,4.0,24.0,6.03,90.0,3.0,313.4,332.6,314.5
31,12Z,1,May,1994,6,700.0,3314.0,12.0,-6.0,28.0,3.51,80.0,10.0,315.7,327.3,316.4
33,12Z,1,May,1994,8,600.0,4503.0,2.8,-10.2,38.0,2.95,,,319.3,329.3,319.9
37,12Z,1,May,1994,12,500.0,5860.0,-8.1,-24.1,26.0,1.1,,,323.1,327.1,323.3
41,12Z,1,May,1994,16,400.0,7600.0,-14.7,,,,,,335.8,,335.8
44,12Z,1,May,1994,19,300.0,9740.0,-24.3,,,,,,351.0,,351.0
46,12Z,1,May,1994,21,250.0,11050.0,-31.3,,,,,,359.4,,359.4
49,12Z,1,May,1994,24,200.0,12580.0,-46.1,,,,,,359.6,,359.6
51,00Z,2,May,1994,0,1000.0,11.0,,,,,,,,,
57,00Z,2,May,1994,6,700.0,3313.0,14.4,6.4,59.0,8.69,350.0,17.0,318.4,346.2,320.1
58,00Z,2,May,1994,7,600.0,4509.0,5.0,-10.0,33.0,3.0,329.0,11.0,321.9,332.1,322.4
60,00Z,2,May,1994,9,500.0,5870.0,-6.1,-23.1,25.0,1.2,305.0,3.0,325.5,329.9,325.8
64,00Z,2,May,1994,13,400.0,7630.0,-16.3,-27.3,38.0,1.02,235.0,29.0,333.7,337.6,333.9
68,00Z,2,May,1994,17,300.0,9770.0,-27.1,,,,230.0,32.0,347.1,,347.1
70,00Z,2,May,1994,19,250.0,11050.0,-37.9,,,,,,349.6,,349.6
72,00Z,2,May,1994,21,200.0,12340.0,-51.9,,,,,,350.4,,350.4
73,12Z,2,May,1994,0,1000.0,34.0,,,,,,,,,
77,12Z,2,May,1994,4,850.0,1483.0,23.4,9.4,41.0,8.78,355.0,9.0,310.6,337.9,312.3
78,12Z,2,May,1994,5,700.0,3129.0,8.4,7.0,91.0,9.06,345.0,18.0,311.8,340.0,313.5
81,12Z,2,May,1994,8,600.0,4378.0,0.8,-15.2,29.0,1.97,,,317.0,323.7,317.4
85,12Z,2,May,1994,12,500.0,5830.0,-6.9,-23.9,24.0,1.12,,,324.6,328.6,324.8
87,12Z,2,May,1994,14,400.0,7540.0,-18.5,,,,,,330.9,,330.9
88,00Z,3,May,1994,0,1000.0,43.0,,,,,,,,,
92,00Z,3,May,1994,4,850.0,1148.0,26.6,1.6,20.0,5.08,325.0,12.0,314.0,330.4,315.0
95,00Z,3,May,1994,7,700.0,3313.0,10.2,,,,355.0,35.0,313.8,,313.8
97,00Z,3,May,1994,9,600.0,4487.0,3.0,,,,,,319.5,,319.5
99,00Z,3,May,1994,11,500.0,5840.0,-4.5,,,,,,327.5,,327.5
102,00Z,3,May,1994,14,400.0,7560.0,-13.1,,,,,,337.9,,337.9
106,00Z,3,May,1994,18,300.0,9700.0,-28.9,,,,,,344.5,,344.5
108,00Z,3,May,1994,20,250.0,10990.0,-38.1,,,,,,349.3,,349.3
110,00Z,3,May,1994,22,200.0,12480.0,-48.7,,,,,,355.5,,355.5
121,12Z,3,May,1994,0,1000.0,29.0,,,,,,,,,
125,12Z,3,May,1994,4,850.0,1493.0,30.0,17.0,46.0,14.56,315.0,12.0,317.6,363.6,320.3
127,12Z,3,May,1994,6,700.0,3183.0,15.0,6.0,55.0,8.45,315.0,16.0,319.1,346.2,320.7
129,12Z,3,May,1994,8,600.0,4462.0,2.8,-3.2,65.0,5.06,294.0,16.0,319.3,335.9,320.3
133,12Z,3,May,1994,12,500.0,5930.0,-2.5,-17.5,31.0,1.95,270.0,16.0,329.9,336.9,330.3
135,12Z,3,May,1994,14,400.0,7680.0,-10.1,,,,260.0,39.0,341.8,,341.8
137,00Z,4,May,1994,0,1000.0,40.0,,,,,,,,,
141,00Z,4,May,1994,4,850.0,1478.0,27.8,10.8,35.0,9.66,320.0,12.0,315.2,345.8,317.1
143,00Z,4,May,1994,6,700.0,3148.0,12.8,4.8,58.0,7.76,300.0,13.0,316.6,341.4,318.1
144,00Z,4,May,1994,7,600.0,4416.0,1.2,-2.5,76.0,5.34,289.0,13.0,317.5,334.8,318.5
147,00Z,4,May,1994,10,500.0,5870.0,-8.3,-18.3,44.0,1.82,275.0,12.0,322.9,329.2,323.2
150,00Z,4,May,1994,13,400.0,7600.0,-13.9,-26.9,32.0,1.06,225.0,25.0,336.8,340.9,337.1
154,00Z,4,May,1994,17,300.0,9720.0,-30.9,-33.5,78.0,0.76,235.0,27.0,341.7,344.7,341.9
