,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,2,Jun,1994,0,1000.0,-27.0,,,,,,,,,
3,00Z,2,Jun,1994,3,850.0,1419.0,29.0,13.0,37.0,11.19,255.0,14.0,316.5,351.9,318.6
4,00Z,2,Jun,1994,4,700.0,3164.0,18.0,6.0,45.0,8.45,270.0,16.0,322.4,349.9,324.0
5,00Z,2,Jun,1994,5,500.0,5870.0,-4.9,-14.9,45.0,2.42,305.0,27.0,327.0,335.5,327.5
6,00Z,2,Jun,1994,6,400.0,7610.0,-10.3,,,,240.0,10.0,341.5,,341.5
7,00Z,2,Jun,1994,7,300.0,9750.0,-29.3,,,,275.0,20.0,344.0,,344.0
8,00Z,2,Jun,1994,8,250.0,11030.0,-39.3,,,,265.0,5.0,347.5,,347.5
9,00Z,2,Jun,1994,9,200.0,12510.0,-52.9,,,,275.0,4.0,348.8,,348.8
15,12Z,2,Jun,1994,4,700.0,3123.0,21.2,6.2,38.0,8.57,,,325.9,354.2,327.6
16,12Z,2,Jun,1994,5,600.0,4417.0,4.0,-5.0,52.0,4.42,,,320.7,335.4,321.6
24,00Z,3,Jun,1994,0,1000.0,-46.0,,,,,,,,,
28,00Z,3,Jun,1994,4,850.0,1404.0,28.8,7.8,27.0,7.87,270.0,6.0,316.3,341.4,317.8
30,00Z,3,Jun,1994,6,700.0,3081.0,13.0,3.0,51.0,6.83,315.0,5.0,316.9,338.8,318.1
32,00Z,3,Jun,1994,8,600.0,4352.0,2.4,-3.6,65.0,4.91,288.0,11.0,318.9,335.0,319.8
35,00Z,3,Jun,1994,11,500.0,5800.0,-6.5,-13.5,58.0,2.71,255.0,19.0,325.1,334.4,325.6
36,00Z,3,Jun,1994,12,400.0,7510.0,-15.9,-25.9,42.0,1.16,275.0,41.0,334.2,338.6,334.5
38,00Z,3,Jun,1994,14,300.0,9630.0,-29.5,,,,260.0,27.0,343.7,,343.7
40,00Z,3,Jun,1994,16,250.0,10910.0,-37.9,,,,270.0,23.0,349.6,,349.6
42,00Z,3,Jun,1994,18,200.0,12410.0,-50.7,,,,195.0,17.0,352.3,,352.3
46,12Z,4,Jun,1994,0,1000.0,-63.0,,,,,,,,,
49,12Z,4,Jun,1994,3,850.0,1407.0,32.2,11.2,28.0,9.92,215.0,13.0,319.9,351.8,321.8
50,12Z,4,Jun,1994,4,700.0,3107.0,18.6,6.6,45.0,8.81,320.0,10.0,323.1,351.8,324.8
51,12Z,4,Jun,1994,5,600.0,4403.0,7.2,2.2,71.0,7.53,299.0,14.0,324.4,349.2,325.9
54,12Z,4,Jun,1994,8,500.0,5870.0,-2.9,-6.5,76.0,4.73,275.0,18.0,329.4,345.6,330.4
55,00Z,5,Jun,1994,0,1000.0,10.0,,,,,,,,,
59,00Z,5,Jun,1994,4,850.0,1453.0,25.8,-8.2,10.0,2.43,240.0,19.0,313.2,321.3,313.6
62,00Z,5,Jun,1994,7,700.0,3119.0,12.0,,,,330.0,12.0,315.7,,315.7
65,00Z,5,Jun,1994,10,600.0,4361.0,-2.1,,,,309.0,10.0,313.6,,313.6
68,00Z,5,Jun,1994,13,500.0,5830.0,-6.1,,,,285.0,8.0,325.5,,325.5
69,00Z,5,Jun,1994,14,400.0,7550.0,-13.3,,,,240.0,8.0,337.6,,337.6
72,00Z,5,Jun,1994,17,300.0,9680.0,-30.1,,,,255.0,15.0,342.8,,342.8
74,00Z,5,Jun,1994,19,250.0,10970.0,-40.1,,,,185.0,10.0,346.3,,346.3
76,12Z,5,Jun,1994,0,1000.0,-33.0,,,,,,,,,
79,12Z,5,Jun,1994,3,850.0,1422.0,27.2,17.2,54.0,14.75,80.0,3.0,314.6,360.8,317.4
82,12Z,5,Jun,1994,6,700.0,3108.0,16.0,6.0,51.0,8.45,335.0,10.0,320.2,347.5,321.8
84,12Z,5,Jun,1994,8,600.0,4400.0,7.4,3.0,74.0,7.98,314.0,16.0,324.6,350.9,326.2
