,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,1,Jul,1993,0,1000.0,-16.0,,,,,,,,,
6,00Z,1,Jul,1993,6,850.0,1413.0,21.0,14.0,64.0,11.96,280.0,16.0,308.1,344.6,310.3
8,00Z,1,Jul,1993,8,700.0,3075.0,13.0,8.0,72.0,9.71,325.0,18.0,316.9,347.7,318.7
11,00Z,1,Jul,1993,11,600.0,4354.0,4.8,-1.2,65.0,5.88,325.0,11.0,321.6,341.0,322.8
15,00Z,1,Jul,1993,15,500.0,5820.0,-2.3,-9.3,59.0,3.8,325.0,2.0,330.2,343.4,330.9
18,00Z,1,Jul,1993,18,400.0,7550.0,-15.3,-24.3,46.0,1.35,165.0,5.0,335.0,340.0,335.3
20,00Z,2,Jul,1993,0,1000.0,1.0,,,,,,,,,
23,00Z,2,Jul,1993,3,850.0,1435.0,24.2,17.2,65.0,14.75,220.0,8.0,311.5,357.0,314.2
25,00Z,2,Jul,1993,5,700.0,3109.0,13.0,5.0,58.0,7.87,215.0,7.0,316.9,342.0,318.4
26,00Z,2,Jul,1993,6,600.0,4385.0,5.0,-3.0,56.0,5.14,293.0,5.0,321.9,338.9,322.9
32,00Z,2,Jul,1993,12,500.0,5920.0,-2.3,-10.3,54.0,3.51,25.0,3.0,330.2,342.4,330.9
33,00Z,2,Jul,1993,13,400.0,7660.0,-13.3,-17.6,70.0,2.41,85.0,250.0,337.6,346.4,338.1
36,00Z,2,Jul,1993,16,300.0,9800.0,-25.1,-37.1,32.0,0.53,155.0,13.0,349.9,352.1,350.0
37,00Z,2,Jul,1993,17,250.0,11100.0,-36.5,-41.5,60.0,0.4,115.0,9.0,351.7,353.4,351.8
40,00Z,2,Jul,1993,20,200.0,12600.0,-50.3,,,,80.0,21.0,352.9,,352.9
50,12Z,2,Jul,1993,0,1000.0,1.0,,,,,,,,,
53,12Z,2,Jul,1993,3,850.0,1442.0,23.8,19.1,75.0,16.67,120.0,10.0,311.1,362.4,314.2
54,12Z,2,Jul,1993,4,700.0,3115.0,14.2,7.2,63.0,9.18,,,318.2,347.5,319.9
55,12Z,2,Jul,1993,5,500.0,5890.0,0.2,-3.5,76.0,5.95,,,333.2,353.6,334.4
59,00Z,3,Jul,1993,2,600.0,5268.0,5.2,-0.8,65.0,6.05,,,322.1,342.0,323.3
66,12Z,3,Jul,1993,0,1000.0,-1.0,,,,,,,,,
69,12Z,3,Jul,1993,3,850.0,1661.0,29.4,23.4,70.0,21.88,115.0,15.0,316.9,386.3,321.1
70,12Z,3,Jul,1993,4,700.0,3104.0,13.4,-3.6,31.0,4.21,100.0,14.0,317.3,331.1,318.1
71,12Z,3,Jul,1993,5,500.0,5870.0,-2.1,-7.1,69.0,4.52,,,330.4,346.0,331.3
72,12Z,3,Jul,1993,6,400.0,7620.0,-11.7,-22.7,40.0,1.55,,,339.7,345.5,340.0
73,12Z,3,Jul,1993,7,300.0,9750.0,-30.7,-37.7,50.0,0.5,,,342.0,344.0,342.1
74,12Z,3,Jul,1993,8,250.0,11020.0,-39.9,,,,,,346.6,,346.6
75,12Z,3,Jul,1993,9,200.0,12500.0,-54.5,,,,,,346.3,,346.3
78,00Z,4,Jul,1993,0,1000.0,23.0,,,,,,,,,
81,00Z,4,Jul,1993,3,850.0,1446.0,21.0,17.6,81.0,15.13,185.0,11.0,308.1,354.2,310.9
83,00Z,4,Jul,1993,5,700.0,3110.0,13.4,7.4,67.0,9.31,160.0,11.0,317.3,346.9,319.1
84,00Z,4,Jul,1993,6,600.0,4400.0,8.2,-0.8,53.0,6.05,155.0,10.0,325.6,345.8,326.8
86,00Z,4,Jul,1993,8,500.0,5890.0,1.0,-10.0,44.0,3.6,150.0,9.0,334.2,346.9,334.9
90,00Z,4,Jul,1993,12,400.0,7630.0,-11.5,-31.5,17.0,0.69,160.0,6.0,339.9,342.7,340.1
93,00Z,4,Jul,1993,15,300.0,9790.0,-24.7,,,,115.0,13.0,350.5,,350.5
94,00Z,4,Jul,1993,16,250.0,11090.0,-35.7,,,,10.0,96.0,352.9,,352.9
96,00Z,4,Jul,1993,18,200.0,12600.0,-48.1,,,,120.0,28.0,356.4,,356.4
109,00Z,5,Jul,1993,0,1000.0,28.0,,,,,,,,,
114,00Z,5,Jul,1993,5,850.0,1461.0,22.2,17.2,73.0,14.75,260.0,15.0,309.4,354.5,312.1
115,00Z,5,Jul,1993,6,700.0,3126.0,12.2,9.5,84.0,10.76,255.0,7.0,316.0,349.9,318.0
116,00Z,5,Jul,1993,7,600.0,4412.0,8.0,2.0,66.0,7.43,232.0,7.0,325.3,349.9,326.8
118,00Z,5,Jul,1993,9,500.0,5900.0,1.8,-11.2,37.0,3.27,205.0,8.0,335.2,346.8,335.8
122,00Z,5,Jul,1993,13,400.0,7660.0,-10.1,-27.1,24.0,1.04,165.0,8.0,341.8,345.8,342.0
124,12Z,5,Jul,1993,0,1000.0,-14.0,,,,,,,,,
128,12Z,5,Jul,1993,4,850.0,1436.0,23.0,18.0,73.0,15.53,240.0,9.0,310.2,357.9,313.1
129,12Z,5,Jul,1993,5,700.0,3107.0,14.6,10.4,76.0,11.44,295.0,9.0,318.6,355.1,320.8
131,12Z,5,Jul,1993,7,600.0,4396.0,7.0,2.0,70.0,7.43,290.0,8.0,324.2,348.6,325.6
