,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,12Z,1,Aug,1993,0,1000.0,-46.0,,,,,,,,,
2,12Z,1,Aug,1993,2,850.0,1396.0,24.2,19.2,74.0,16.77,45.0,20.0,311.5,363.2,314.6
5,12Z,1,Aug,1993,5,700.0,3077.0,16.8,12.4,75.0,13.1,55.0,27.0,321.1,363.1,323.6
8,12Z,1,Aug,1993,8,600.0,4380.0,10.0,4.0,66.0,8.57,135.0,16.0,327.6,356.1,329.3
10,12Z,1,Aug,1993,10,500.0,5880.0,2.4,-4.6,60.0,5.47,230.0,4.0,335.9,355.0,337.0
12,12Z,1,Aug,1993,12,400.0,7640.0,-11.3,-18.3,56.0,2.27,165.0,4.0,340.2,348.6,340.7
18,12Z,1,Aug,1993,18,300.0,9780.0,-26.9,-41.9,23.0,0.32,75.0,11.0,347.4,348.7,347.4
19,12Z,1,Aug,1993,19,250.0,11070.0,-34.5,,,,5.0,16.0,354.6,,354.6
23,00Z,5,Aug,1993,0,1000.0,652.0,11.8,1.8,50.0,4.38,0.0,0.0,284.9,297.5,285.7
25,00Z,5,Aug,1993,2,850.0,1412.0,20.8,16.6,77.0,14.18,190.0,7.0,307.9,351.1,310.5
29,00Z,5,Aug,1993,6,700.0,3065.0,12.4,8.4,77.0,9.98,180.0,7.0,316.2,347.8,318.1
31,00Z,5,Aug,1993,8,600.0,4348.0,7.2,3.2,76.0,8.09,,,324.4,351.0,326.0
32,12Z,5,Aug,1993,0,1000.0,10.0,,,,,,,,,
35,12Z,5,Aug,1993,3,850.0,1420.0,21.0,18.5,86.0,16.04,200.0,3.0,308.1,356.9,311.1
36,12Z,5,Aug,1993,4,700.0,3053.0,7.4,2.6,72.0,6.64,175.0,3.0,310.6,331.5,311.9
37,12Z,5,Aug,1993,5,500.0,5760.0,-5.9,-6.9,93.0,4.59,,,325.8,341.3,326.7
38,12Z,5,Aug,1993,6,400.0,7480.0,-13.5,-21.5,51.0,1.73,,,337.4,343.8,337.7
39,12Z,5,Aug,1993,7,300.0,9610.0,-29.5,-34.5,62.0,0.69,,,343.7,346.4,343.8
40,12Z,5,Aug,1993,8,250.0,10890.0,-39.5,-46.5,47.0,0.24,,,347.2,348.2,347.2
41,00Z,6,Aug,1993,0,1000.0,50.0,,,,,,,,,
44,00Z,6,Aug,1993,3,850.0,1453.0,-16.3,-22.3,60.0,0.76,210.0,6.0,269.1,271.3,269.2
47,00Z,6,Aug,1993,6,700.0,3001.0,7.4,0.4,61.0,5.66,,,310.6,328.5,311.7
49,12Z,6,Aug,1993,0,1000.0,56.0,,,,,,,,,
53,12Z,6,Aug,1993,4,850.0,1480.0,21.0,15.0,69.0,12.77,255.0,13.0,308.1,347.1,310.5
55,12Z,6,Aug,1993,6,700.0,3137.0,15.2,9.2,67.0,10.54,240.0,18.0,319.3,353.0,321.3
58,12Z,6,Aug,1993,9,600.0,4425.0,9.0,-2.0,46.0,5.54,,,326.5,345.1,327.6
62,12Z,6,Aug,1993,13,500.0,5910.0,2.2,-4.8,60.0,5.39,,,335.7,354.4,336.8
65,12Z,6,Aug,1993,16,400.0,7680.0,-9.5,-16.5,57.0,2.65,,,342.6,352.3,343.1
71,00Z,8,Aug,1993,5,600.0,4399.0,6.2,0.2,65.0,6.51,,,323.2,344.7,324.5
77,00Z,9,Aug,1993,0,1000.0,35.0,,,,,,,,,
81,00Z,9,Aug,1993,4,850.0,1448.0,22.4,20.8,91.0,18.57,315.0,26.0,309.6,366.5,313.0
83,00Z,9,Aug,1993,6,700.0,3105.0,13.4,8.6,73.0,10.12,315.0,7.0,317.3,349.4,319.2
85,00Z,10,Aug,1993,0,1000.0,-6.0,,,,,,,,,
90,00Z,10,Aug,1993,5,850.0,1412.0,25.8,18.8,65.0,16.35,310.0,18.0,313.2,364.0,316.2
93,00Z,10,Aug,1993,8,700.0,3080.0,16.2,0.2,34.0,5.58,325.0,21.0,320.4,338.7,321.5
