,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
0,00Z,2,Sep,1993,0,1000.0,51.0,,,,,,,,,
4,00Z,2,Sep,1993,4,850.0,1454.0,20.2,18.0,87.0,15.53,210.0,6.0,307.3,354.4,310.1
7,00Z,2,Sep,1993,7,700.0,3097.0,11.6,10.8,95.0,11.76,240.0,7.0,315.3,352.2,317.5
9,00Z,2,Sep,1993,9,600.0,4363.0,4.8,2.6,86.0,7.75,242.0,11.0,321.6,346.9,323.1
13,00Z,2,Sep,1993,13,500.0,5830.0,-2.7,-5.2,83.0,5.23,245.0,15.0,329.7,347.5,330.7
16,00Z,2,Sep,1993,16,400.0,7570.0,-13.1,-13.2,99.0,3.48,,,337.9,350.3,338.6
17,12Z,2,Sep,1993,0,1000.0,27.0,,,,,,,,,
21,12Z,2,Sep,1993,4,850.0,1450.0,20.8,14.8,69.0,12.61,235.0,8.0,307.9,346.3,310.2
23,12Z,2,Sep,1993,6,700.0,3098.0,12.0,9.0,82.0,10.4,250.0,11.0,315.7,348.5,317.7
25,12Z,2,Sep,1993,8,600.0,4375.0,6.0,3.0,81.0,7.98,255.0,17.0,323.0,349.1,324.6
27,12Z,2,Sep,1993,10,500.0,5850.0,-1.1,-3.3,85.0,6.04,260.0,24.0,331.6,352.2,332.8
28,12Z,2,Sep,1993,11,400.0,7600.0,-10.1,-14.9,68.0,3.03,265.0,18.0,341.8,352.8,342.4
30,12Z,2,Sep,1993,13,300.0,9770.0,-25.9,-33.9,47.0,0.73,,,348.8,351.7,348.9
33,12Z,2,Sep,1993,16,250.0,11060.0,-35.5,-45.5,35.0,0.26,,,353.1,354.3,353.2
35,12Z,2,Sep,1993,18,200.0,12580.0,-48.1,,,,,,356.4,,356.4
37,00Z,8,Sep,1993,0,1000.0,17.0,,,,,,,,,
41,00Z,8,Sep,1993,4,850.0,1434.0,18.2,15.6,85.0,13.29,125.0,9.0,305.2,345.2,307.6
44,00Z,8,Sep,1993,7,700.0,3072.0,8.6,5.4,80.0,8.1,150.0,6.0,312.0,337.3,313.5
45,00Z,8,Sep,1993,8,600.0,4333.0,2.8,-0.3,80.0,6.28,148.0,10.0,319.3,339.7,320.5
49,00Z,8,Sep,1993,12,500.0,5790.0,-4.5,-13.5,49.0,2.71,145.0,15.0,327.5,337.0,328.0
53,12Z,10,Sep,1993,0,1000.0,28.0,,,,,,,,,
57,12Z,10,Sep,1993,4,850.0,1448.0,18.2,16.2,88.0,13.82,215.0,8.0,305.2,346.7,307.7
60,12Z,10,Sep,1993,7,700.0,3081.0,9.8,8.0,89.0,9.71,225.0,17.0,313.3,343.7,315.1
62,12Z,10,Sep,1993,9,600.0,4350.0,3.8,1.1,83.0,6.96,,,320.5,343.1,321.8
65,00Z,11,Sep,1993,0,1000.0,57.0,,,,,,,,,
